San Bernardino County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195410,0.01,-0.36
195411,0.70,0.20
195412,0.32,-0.56
195501,1.94,0.77
195502,0.26,-0.91
195503,0.05,-0.91
195504,0.19,-0.19
195505,0.30,0.14
195506,0.01,-0.04
195507,1.05,0.69
195508,1.56,1.03
195509,0.00,-0.34
195510,0.01,-0.36
195511,0.29,-0.21
195512,0.19,-0.69
195601,1.42,0.25
195602,0.09,-1.08
195603,0.00,-0.96
195604,0.48,0.10
195605,0.09,-0.07
195606,0.00,-0.05
195607,0.81,0.45
195608,0.02,-0.51
195609,0.00,-0.34
195610,0.26,-0.11
195611,0.00,-0.50
195612,0.06,-0.82
195701,1.75,0.58
195702,0.37,-0.80
195703,0.36,-0.60
195704,0.42,0.04
195705,0.29,0.13
195706,0.08,0.03
195707,0.25,-0.11
195708,0.47,-0.06
195709,0.01,-0.33
195710,1.31,0.94
195711,0.47,-0.03
195712,0.74,-0.14
195801,0.48,-0.69
195802,1.83,0.66
195803,1.79,0.83
195804,1.24,0.86
195805,0.31,0.15
195806,0.02,-0.03
195807,0.23,-0.13
195808,0.95,0.42
195809,0.54,0.20
195810,0.62,0.25
195811,0.36,-0.14
195812,0.00,-0.88
195901,0.43,-0.74
195902,1.25,0.08
195903,0.00,-0.96
195904,0.06,-0.32
195905,0.01,-0.15
195906,0.01,-0.04
195907,0.36,0.00
195908,0.66,0.13
195909,0.37,0.03
195910,0.35,-0.02
195911,0.42,-0.08
195912,1.67,0.79
196001,1.01,-0.16
196002,0.94,-0.23
196003,0.14,-0.82
196004,0.22,-0.16
196005,0.03,-0.13
196006,0.02,-0.03
196007,0.22,-0.14
196008,0.02,-0.51
196009,0.72,0.38
196010,0.33,-0.04
196011,1.13,0.63
196012,0.17,-0.71
196101,0.41,-0.76
196102,0.03,-1.14
196103,0.34,-0.62
196104,0.07,-0.31
196105,0.02,-0.14
196106,0.01,-0.04
196107,0.08,-0.28
196108,1.06,0.53
196109,0.05,-0.29
196110,0.10,-0.27
196111,0.49,-0.01
196112,0.74,-0.14
196201,0.58,-0.59
196202,1.58,0.41
196203,0.35,-0.61
196204,0.00,-0.38
196205,0.21,0.05
196206,0.02,-0.03
196207,0.22,-0.14
196208,0.03,-0.50
196209,0.10,-0.24
196210,0.28,-0.09
196211,0.01,-0.49
196212,0.27,-0.61
196301,0.21,-0.96
196302,1.05,-0.12
196303,0.47,-0.49
196304,0.36,-0.02
196305,0.00,-0.16
196306,0.06,0.01
196307,0.00,-0.36
196308,0.58,0.05
196309,1.51,1.17
196310,1.01,0.64
196311,0.74,0.24
196312,0.02,-0.86
196401,0.37,-0.80
196402,0.07,-1.10
196403,0.51,-0.45
196404,0.33,-0.05
196405,0.18,0.02
196406,0.05,0.00
196407,0.36,0.00
196408,0.19,-0.34
196409,0.02,-0.32
196410,0.09,-0.28
196411,0.92,0.42
196412,0.26,-0.62
196501,0.22,-0.95
196502,0.22,-0.95
196503,0.90,-0.06
196504,1.65,1.27
196505,0.03,-0.13
196506,0.06,0.01
196507,0.43,0.07
196508,0.43,-0.10
196509,0.11,-0.23
196510,0.03,-0.34
196511,2.51,2.01
196512,2.80,1.92
196601,0.32,-0.85
196602,0.64,-0.53
196603,0.36,-0.60
196604,0.01,-0.37
196605,0.05,-0.11
196606,0.01,-0.04
196607,0.43,0.07
196608,0.09,-0.44
196609,0.16,-0.18
196610,0.40,0.03
196611,0.62,0.12
196612,1.76,0.88
196701,0.90,-0.27
196702,0.00,-1.17
196703,0.33,-0.63
196704,1.01,0.63
196705,0.05,-0.11
196706,0.02,-0.03
196707,0.51,0.15
196708,0.95,0.42
