Butte County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193405,1.16,-0.60
193406,1.07,0.44
193407,0.00,-0.03
193408,0.01,-0.09
193409,0.28,-0.37
193410,2.80,0.41
193411,8.09,2.74
193412,5.39,-2.19
193501,10.06,1.33
193502,4.78,-2.83
193503,7.35,1.01
193504,8.77,5.53
193505,0.46,-1.30
193506,0.00,-0.63
193507,0.00,-0.03
193508,0.00,-0.10
193509,0.30,-0.35
193510,2.07,-0.32
193511,2.10,-3.25
193512,5.72,-1.86
193601,11.83,3.10
193602,15.48,7.87
193603,3.21,-3.13
193604,3.84,0.60
193605,1.94,0.18
193606,1.75,1.12
193607,0.08,0.05
193608,0.01,-0.09
193609,0.42,-0.23
193610,0.39,-2.00
193611,0.03,-5.32
193612,5.39,-2.19
193701,6.63,-2.10
193702,11.86,4.25
193703,11.86,5.52
193704,2.99,-0.25
193705,0.21,-1.55
193706,1.94,1.31
193707,0.00,-0.03
193708,0.00,-0.10
193709,0.00,-0.65
193710,3.56,1.17
193711,11.44,6.09
193712,11.51,3.93
193801,7.16,-1.57
193802,18.65,11.04
193803,11.88,5.54
193804,4.15,0.91
193805,0.65,-1.11
193806,0.04,-0.59
193807,0.00,-0.03
193808,0.00,-0.10
193809,1.15,0.50
193810,3.67,1.28
193811,2.04,-3.31
193812,2.52,-5.06
193901,4.29,-4.44
193902,2.27,-5.34
193903,5.17,-1.17
193904,0.48,-2.76
193905,3.00,1.24
193906,0.18,-0.45
193907,0.01,-0.02
193908,0.00,-0.10
193909,0.83,0.18
193910,2.19,-0.20
193911,0.45,-4.90
193912,5.14,-2.44
194001,17.00,8.27
194002,16.23,8.62
194003,11.98,5.64
194004,1.14,-2.10
194005,2.24,0.48
194006,0.23,-0.40
194007,0.00,-0.03
194008,0.00,-0.10
194009,0.30,-0.35
194010,3.57,1.18
194011,3.70,-1.65
194012,17.72,10.14
194101,13.81,5.08
194102,13.48,5.87
194103,6.39,0.05
194104,7.21,3.97
194105,2.82,1.06
194106,0.50,-0.13
194107,0.03,0.00
194108,0.00,-0.10
194109,0.36,-0.29
194110,1.94,-0.45
194111,5.02,-0.33
194112,18.28,10.70
194201,9.02,0.29
194202,10.69,3.08
194203,2.86,-3.48
194204,9.47,6.23
194205,4.55,2.79
194206,0.03,-0.60
194207,0.00,-0.03
194208,0.00,-0.10
194209,0.05,-0.60
194210,0.50,-1.89
194211,6.97,1.62
194212,8.55,0.97
194301,14.19,5.46
194302,3.32,-4.29
194303,7.76,1.42
194304,4.15,0.91
194305,0.70,-1.06
194306,1.11,0.48
194307,0.06,0.03
194308,0.00,-0.10
194309,0.00,-0.65
194310,1.01,-1.38
194311,2.65,-2.70
194312,4.51,-3.07
194401,6.33,-2.40
194402,10.75,3.14
194403,3.88,-2.46
194404,3.76,0.52
194405,1.68,-0.08
194406,0.82,0.19
194407,0.01,-0.02
194408,0.00,-0.10
194409,0.02,-0.63
194410,3.40,1.01
194411,8.90,3.55
194412,7.10,-0.48
194501,2.72,-6.01
194502,9.66,2.05
194503,7.30,0.96
194504,0.81,-2.43
194505,3.00,1.24
194506,0.74,0.11
194507,0.00,-0.03
194508,0.00,-0.10
194509,0.05,-0.60
194510,5.38,2.99
194511,7.00,1.65
194512,16.10,8.52
194601,2.34,-6.39
194602,3.93,-3.68
194603,3.90,-2.44
194604,0.29,-2.95
194605,1.01,-0.75
194606,0.00,-0.63
194607,0.15,0.12
194608,0.00,-0.10
194609,0.32,-0.33
194610,1.11,-1.28
194611,6.27,0.92
194612,5.96,-1.62
194701,1.20,-7.53
194702,5.73,-1.88
194703,7.82,1.48
194704,1.91,-1.33
194705,0.76,-1.00
194706,1.75,1.12
194707,0.00,-0.03
194708,0.20,0.10
194709,0.06,-0.59
194710,7.90,5.51
194711,2.37,-2.98
194712,2.08,-5.50
194801,5.74,-2.99
194802,2.68,-4.93
194803,9.20,2.86
194804,11.60,8.36
194805,3.66,1.90
194806,1.02,0.39
194807,0.00,-0.03
194808,0.01,-0.09
194809,0.29,-0.36
194810,0.82,-1.57
194811,3.80,-1.55
194812,7.37,-0.21
194901,1.93,-6.80
194902,4.89,-2.72
194903,11.23,4.89
194904,0.17,-3.07
194905,1.94,0.18
194906,0.02,-0.61
194907,0.04,0.01
194908,0.08,-0.02
194909,0.06,-0.59
194910,0.11,-2.28
194911,2.43,-2.92
194912,3.23,-4.35
195001,12.33,3.60
195002,8.51,0.90
195003,5.39,-0.95
195004,3.11,-0.13
195005,1.92,0.16
195006,0.24,-0.39
195007,0.01,-0.02
195008,0.15,0.05
195009,0.50,-0.15
195010,6.92,4.53
195011,10.87,5.52
195012,10.79,3.21
195101,9.34,0.61
195102,6.40,-1.21
195103,2.59,-3.75
195104,1.99,-1.25
195105,2.57,0.81
195106,0.01,-0.62
195107,0.00,-0.03
195108,0.03,-0.07
195109,0.03,-0.62
195110,4.41,2.02
195111,8.32,2.97
195112,14.95,7.37
195201,16.01,7.28
195202,7.22,-0.39
195203,8.65,2.31
195204,2.14,-1.10
195205,1.30,-0.46
195206,1.45,0.82
195207,0.14,0.11
195208,0.00,-0.10
195209,0.10,-0.55
195210,0.37,-2.02
195211,2.95,-2.40
195212,16.02,8.44
195301,11.58,2.85
195302,0.35,-7.26
