Plumas County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194104,4.50,1.57
194105,3.63,1.61
194106,1.43,0.50
194107,0.50,0.28
194108,0.13,-0.14
194109,0.33,-0.51
194110,1.37,-0.99
194111,3.33,-1.53
194112,15.84,9.21
194201,8.97,1.21
194202,8.80,2.07
194203,2.48,-3.19
194204,7.43,4.50
194205,5.53,3.51
194206,0.25,-0.68
194207,0.00,-0.22
194208,0.02,-0.25
194209,0.03,-0.81
194210,0.28,-2.08
194211,7.67,2.81
194212,6.84,0.21
194301,15.47,7.71
194302,3.51,-3.22
194303,7.27,1.60
194304,2.78,-0.15
194305,0.57,-1.45
194306,2.47,1.54
194307,0.39,0.17
194308,0.00,-0.27
194309,0.02,-0.82
194310,1.76,-0.60
194311,2.04,-2.82
194312,2.37,-4.26
194401,5.31,-2.45
194402,7.86,1.13
194403,4.63,-1.04
194404,3.13,0.20
194405,1.05,-0.97
194406,1.20,0.27
194407,0.34,0.12
194408,0.01,-0.26
194409,0.29,-0.55
194410,2.91,0.55
194411,8.26,3.40
194412,5.44,-1.19
194501,1.36,-6.40
194502,9.64,2.91
194503,4.21,-1.46
194504,1.11,-1.82
194505,3.61,1.59
194506,1.74,0.81
194507,0.12,-0.10
194508,0.07,-0.20
194509,0.22,-0.62
194510,6.80,4.44
194511,6.48,1.62
194512,13.19,6.56
194601,1.79,-5.97
194602,3.68,-3.05
194603,4.45,-1.22
194604,0.34,-2.59
194605,0.63,-1.39
194606,0.01,-0.92
194607,0.60,0.38
194608,0.00,-0.27
194609,0.29,-0.55
194610,1.10,-1.26
194611,8.42,3.56
194612,4.50,-2.13
194701,1.19,-6.57
194702,4.61,-2.12
194703,6.94,1.27
194704,1.40,-1.53
194705,0.72,-1.30
194706,1.93,1.00
194707,0.00,-0.22
194708,0.22,-0.05
194709,0.08,-0.76
194710,6.45,4.09
194711,1.49,-3.37
194712,0.98,-5.65
194801,5.26,-2.50
194802,2.13,-4.60
194803,6.93,1.26
194804,11.37,8.44
194805,3.30,1.28
194806,1.61,0.68
194807,0.02,-0.20
194808,0.02,-0.25
194809,0.26,-0.58
194810,1.04,-1.32
194811,3.91,-0.95
194812,5.39,-1.24
194901,1.51,-6.25
194902,4.80,-1.93
194903,7.03,1.36
194904,0.57,-2.36
194905,2.82,0.80
194906,0.10,-0.83
194907,0.03,-0.19
194908,0.45,0.18
194909,0.34,-0.50
194910,0.22,-2.14
194911,3.50,-1.36
194912,2.31,-4.32
195001,10.58,2.82
195002,6.80,0.07
195003,6.47,0.80
195004,4.06,1.13
195005,2.71,0.69
195006,0.88,-0.05
195007,0.10,-0.12
195008,0.16,-0.11
195009,0.79,-0.05
195010,7.84,5.48
195011,10.91,6.05
195012,8.98,2.35
195101,8.09,0.33
195102,5.13,-1.60
195103,2.39,-3.28
195104,2.93,0.00
195105,2.60,0.58
195106,0.16,-0.77
195107,0.00,-0.22
195108,0.45,0.18
195109,0.12,-0.72
195110,4.82,2.46
195111,6.47,1.61
195112,14.79,8.16
195201,14.16,6.40
195202,8.03,1.30
195203,7.10,1.43
