Tehama County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194906,0.07,-0.64
194907,0.02,-0.05
194908,0.07,-0.09
194909,0.05,-0.58
194910,0.16,-1.97
194911,2.18,-2.36
194912,1.84,-4.34
195001,8.77,1.91
195002,5.60,-0.42
195003,4.26,-0.75
195004,1.69,-0.99
195005,1.11,-0.42
195006,0.53,-0.18
195007,0.00,-0.07
195008,0.05,-0.11
195009,0.63,0.00
195010,6.59,4.46
195011,5.51,0.97
195012,7.93,1.75
195101,6.98,0.12
195102,4.82,-1.20
195103,1.26,-3.75
195104,1.41,-1.27
195105,2.38,0.85
195106,0.04,-0.67
195107,0.00,-0.07
195108,0.32,0.16
195109,0.10,-0.53
195110,3.56,1.43
195111,6.49,1.95
195112,10.51,4.33
195201,10.71,3.85
195202,4.63,-1.39
195203,5.54,0.53
195204,1.32,-1.36
195205,1.30,-0.23
195206,1.72,1.01
195207,0.25,0.18
195208,0.13,-0.03
195209,0.24,-0.39
195210,0.48,-1.65
195211,3.37,-1.17
195212,15.42,9.24
195301,8.02,1.16
195302,0.43,-5.59
195303,3.24,-1.77
195304,4.56,1.88
195305,2.99,1.46
195306,1.41,0.70
195307,0.01,-0.06
195308,0.58,0.42
195309,0.02,-0.61
195310,1.42,-0.71
195311,5.40,0.86
195312,1.43,-4.75
195401,8.95,2.09
195402,5.20,-0.82
195403,6.55,1.54
195404,3.93,1.25
195405,0.04,-1.49
195406,1.62,0.91
195407,0.01,-0.06
195408,0.72,0.56
195409,0.36,-0.27
195410,0.63,-1.50
195411,7.79,3.25
195412,7.00,0.82
195501,3.61,-3.25
195502,1.38,-4.64
195503,1.45,-3.56
195504,4.20,1.52
195505,0.24,-1.29
195506,0.33,-0.38
195507,0.15,0.08
195508,0.00,-0.16
195509,0.79,0.16
195510,0.78,-1.35
195511,5.65,1.11
195512,16.78,10.60
195601,12.66,5.80
195602,6.24,0.22
195603,0.38,-4.63
195604,2.10,-0.58
195605,3.06,1.53
195606,0.57,-0.14
195607,0.02,-0.05
195608,0.01,-0.15
195609,0.48,-0.15
195610,3.77,1.64
195611,0.18,-4.36
195612,0.44,-5.74
195701,5.51,-1.35
195702,7.03,1.01
195703,4.97,-0.04
195704,2.73,0.05
195705,4.06,2.53
195706,0.13,-0.58
195707,0.01,-0.06
195708,0.00,-0.16
195709,2.84,2.21
195710,6.61,4.48
195711,2.38,-2.16
195712,5.70,-0.48
195801,7.99,1.13
195802,16.86,10.84
195803,7.91,2.90
195804,4.19,1.51
195805,1.97,0.44
195806,2.36,1.65
195807,0.42,0.35
195808,0.16,0.00
195809,0.33,-0.30
195810,0.73,-1.40
195811,1.31,-3.23
195812,2.44,-3.74
195901,9.30,2.44
195902,7.51,1.49
195903,1.27,-3.74
195904,0.92,-1.76
195905,0.56,-0.97
195906,0.07,-0.64
195907,0.00,-0.07
195908,0.25,0.09
195909,1.78,1.15
195910,0.16,-1.97
195911,0.01,-4.53
195912,2.13,-4.05
196001,6.92,0.06
