Kern County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195505,0.57,0.27
195506,0.00,-0.06
195507,0.00,-0.05
195508,0.01,-0.07
195509,0.00,-0.18
195510,0.00,-0.37
195511,0.59,-0.19
195512,2.14,0.81
195601,2.13,0.37
195602,0.57,-1.24
195603,0.01,-1.57
195604,1.69,0.93
195605,0.63,0.33
195606,0.00,-0.06
195607,0.04,-0.01
195608,0.00,-0.08
195609,0.00,-0.18
195610,0.70,0.33
195611,0.00,-0.78
195612,0.18,-1.15
195701,2.14,0.38
195702,1.26,-0.55
195703,0.87,-0.71
195704,0.89,0.13
195705,0.61,0.31
195706,0.15,0.09
195707,0.01,-0.04
195708,0.00,-0.08
195709,0.01,-0.17
195710,0.71,0.34
195711,0.56,-0.22
195712,1.68,0.35
195801,1.63,-0.13
195802,3.59,1.78
195803,3.10,1.52
195804,2.49,1.73
195805,0.43,0.13
195806,0.00,-0.06
195807,0.07,0.02
195808,0.08,0.00
195809,0.58,0.40
195810,0.26,-0.11
195811,0.43,-0.35
195812,0.04,-1.29
195901,0.86,-0.90
195902,1.92,0.11
195903,0.04,-1.54
195904,0.32,-0.44
195905,0.08,-0.22
195906,0.00,-0.06
195907,0.00,-0.05
195908,0.05,-0.03
195909,0.40,0.22
195910,0.03,-0.34
195911,0.03,-0.75
195912,0.91,-0.42
196001,1.50,-0.26
196002,2.66,0.85
196003,0.41,-1.17
196004,0.78,0.02
196005,0.02,-0.28
196006,0.01,-0.05
196007,0.02,-0.03
196008,0.00,-0.08
196009,0.12,-0.06
196010,0.19,-0.18
196011,2.47,1.69
196012,0.11,-1.22
196101,0.70,-1.06
196102,0.21,-1.60
196103,0.90,-0.68
196104,0.21,-0.55
196105,0.13,-0.17
196106,0.04,-0.02
196107,0.00,-0.05
196108,0.43,0.35
196109,0.00,-0.18
196110,0.05,-0.32
196111,1.28,0.50
196112,0.87,-0.46
196201,1.35,-0.41
196202,5.79,3.98
196203,0.79,-0.79
196204,0.02,-0.74
196205,0.14,-0.16
196206,0.00,-0.06
196207,0.00,-0.05
196208,0.00,-0.08
196209,0.02,-0.16
196210,0.20,-0.17
196211,0.00,-0.78
196212,0.04,-1.29
196301,0.56,-1.20
196302,1.98,0.17
196303,1.49,-0.09
196304,1.25,0.49
196305,0.38,0.08
196306,0.31,0.25
196307,0.00,-0.05
196308,0.27,0.19
196309,0.87,0.69
196310,1.23,0.86
196311,1.36,0.58
196312,0.14,-1.19
196401,0.80,-0.96
196402,0.23,-1.58
196403,1.00,-0.58
196404,0.64,-0.12
196405,0.37,0.07
196406,0.02,-0.04
196407,0.04,-0.01
196408,0.07,-0.01
196409,0.07,-0.11
196410,0.58,0.21
196411,1.04,0.26
196412,1.66,0.33
196501,0.88,-0.88
196502,0.27,-1.54
196503,1.22,-0.36
196504,2.52,1.76
196505,0.01,-0.29
196506,0.03,-0.03
196507,0.24,0.19
196508,0.32,0.24
196509,0.16,-0.02
196510,0.01,-0.36
196511,2.73,1.95
196512,2.61,1.28
196601,0.83,-0.93
196602,0.94,-0.87
196603,0.24,-1.34
196604,0.01,-0.75
196605,0.03,-0.27
196606,0.02,-0.04
196607,0.01,-0.04
196608,0.05,-0.03
196609,0.18,0.00
196610,0.01,-0.36
196611,1.35,0.57
196612,3.00,1.67
196701,1.60,-0.16
196702,0.13,-1.68
196703,0.87,-0.71
196704,2.81,2.05
196705,0.21,-0.09
196706,0.07,0.01
196707,0.09,0.04
196708,0.15,0.07
196709,0.56,0.38
196710,0.00,-0.37
196711,2.56,1.78
196712,1.08,-0.25
196801,0.61,-1.15
196802,1.01,-0.80
196803,1.11,-0.47
196804,0.54,-0.22
196805,0.06,-0.24
196806,0.01,-0.05
196807,0.19,0.14
196808,0.06,-0.02
196809,0.00,-0.18
196810,0.96,0.59
196811,0.71,-0.07
196812,1.15,-0.18
196901,5.23,3.47
196902,5.37,3.56
196903,0.83,-0.75
196904,1.01,0.25
196905,0.16,-0.14
196906,0.16,0.10
196907,0.20,0.15
196908,0.00,-0.08
196909,0.04,-0.14
196910,0.05,-0.32
196911,0.61,-0.17
196912,0.36,-0.97
197001,1.38,-0.38
197002,1.77,-0.04
197003,1.45,-0.13
197004,0.35,-0.41
197005,0.00,-0.30
197006,0.02,-0.04
197007,0.06,0.01
197008,0.01,-0.07
197009,0.00,-0.18
197010,0.04,-0.33
197011,3.01,2.23
197012,1.70,0.37
197101,0.54,-1.22
197102,0.49,-1.32
197103,0.35,-1.23
197104,0.67,-0.09
197105,0.94,0.64
197106,0.00,-0.06
197107,0.03,-0.02
197108,0.10,0.02
197109,0.08,-0.10
197110,0.10,-0.27
