San Francisco County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195206,0.43,0.23
195207,0.00,-0.01
195208,0.01,-0.06
195209,0.03,-0.22
195210,0.08,-1.12
195211,2.54,-0.35
195212,11.05,6.76
195301,4.10,-1.17
195302,0.02,-4.42
195303,2.07,-1.41
195304,3.19,1.65
195305,0.44,-0.24
195306,0.61,0.41
195307,0.00,-0.01
195308,0.21,0.14
195309,0.00,-0.25
195310,0.43,-0.77
195311,2.53,-0.36
195312,0.78,-3.51
195401,3.79,-1.48
195402,2.66,-1.78
195403,4.91,1.43
195404,1.37,-0.17
195405,0.13,-0.55
195406,0.28,0.08
195407,0.04,0.03
195408,0.26,0.19
195409,0.01,-0.24
195410,0.17,-1.03
195411,2.82,-0.07
195412,6.13,1.84
195501,4.70,-0.57
195502,1.68,-2.76
195503,0.36,-3.12
195504,1.85,0.31
195505,0.17,-0.51
195506,0.00,-0.20
195507,0.04,0.03
195508,0.00,-0.07
195509,0.04,-0.21
195510,0.07,-1.13
195511,2.53,-0.36
195512,14.98,10.69
195601,9.20,3.93
195602,2.65,-1.79
195603,0.17,-3.31
195604,1.77,0.23
195605,0.92,0.24
195606,0.03,-0.17
195607,0.00,-0.01
195608,0.02,-0.05
195609,0.36,0.11
195610,1.78,0.58
195611,0.04,-2.85
195612,0.52,-3.77
195701,3.62,-1.65
195702,4.54,0.10
195703,2.38,-1.10
195704,1.54,0.00
195705,3.82,3.14
195706,0.04,-0.16
195707,0.01,0.00
195708,0.00,-0.07
195709,0.99,0.74
195710,3.39,2.19
195711,0.93,-1.96
195712,4.57,0.28
195801,6.00,0.73
195802,9.67,5.23
195803,7.86,4.38
195804,6.43,4.89
195805,0.78,0.10
195806,0.33,0.13
195807,0.04,0.03
195808,0.01,-0.06
195809,0.08,-0.17
195810,0.13,-1.07
195811,0.17,-2.72
195812,1.55,-2.74
195901,4.76,-0.51
195902,5.54,1.10
195903,0.38,-3.10
195904,0.46,-1.08
195905,0.02,-0.66
195906,0.00,-0.20
195907,0.00,-0.01
195908,0.03,-0.04
195909,1.21,0.96
195910,0.02,-1.18
195911,0.01,-2.88
195912,1.94,-2.35
196001,4.76,-0.51
196002,4.92,0.48
196003,1.93,-1.55
196004,1.15,-0.39
196005,1.11,0.43
196006,0.00,-0.20
196007,0.01,0.00
196008,0.00,-0.07
196009,0.00,-0.25
196010,0.42,-0.78
196011,4.69,1.80
196012,1.82,-2.47
196101,2.80,-2.47
196102,1.20,-3.24
196103,2.92,-0.56
196104,1.27,-0.27
196105,0.73,0.05
196106,0.04,-0.16
196107,0.00,-0.01
196108,0.14,0.07
196109,0.34,0.09
196110,0.13,-1.07
196111,4.61,1.72
196112,2.50,-1.79
196201,1.61,-3.66
196202,9.31,4.87
196203,3.32,-0.16
196204,0.39,-1.15
196205,0.01,-0.67
196206,0.00,-0.20
196207,0.00,-0.01
196208,0.11,0.04
196209,0.10,-0.15
196210,6.73,5.53
196211,0.73,-2.16
196212,3.11,-1.18
196301,4.64,-0.63
196302,4.28,-0.16
196303,4.55,1.07
196304,4.51,2.97
196305,0.71,0.03
196306,0.05,-0.15
196307,0.00,-0.01
196308,0.01,-0.06
196309,0.31,0.06
196310,1.77,0.57
196311,5.16,2.27
196312,0.66,-3.63
196401,4.56,-0.71
196402,0.20,-4.24
196403,2.03,-1.45
196404,0.27,-1.27
196405,0.59,-0.09
196406,0.86,0.66
196407,0.01,0.00
196408,0.06,-0.01
196409,0.00,-0.25
196410,1.58,0.38
196411,4.65,1.76
196412,8.57,4.28
196501,5.23,-0.04
196502,1.04,-3.40
196503,2.13,-1.35
196504,4.02,2.48
196505,0.00,-0.68
196506,0.00,-0.20
196507,0.02,0.01
196508,0.33,0.26
196509,0.00,-0.25
196510,0.04,-1.16
196511,6.49,3.60
196512,4.90,0.61
196601,3.45,-1.82
196602,3.01,-1.43
196603,0.47,-3.01
196604,0.56,-0.98
196605,0.27,-0.41
196606,0.14,-0.06
196607,0.07,0.06
196608,0.33,0.26
196609,0.19,-0.06
196610,0.00,-1.20
196611,6.16,3.27
196612,4.56,0.27
196701,11.56,6.29
196702,0.40,-4.04
196703,6.13,2.65
196704,5.95,4.41
196705,0.23,-0.45
196706,0.97,0.77
196707,0.00,-0.01
196708,0.00,-0.07
196709,0.05,-0.20
196710,0.66,-0.54
196711,1.61,-1.28
196712,2.77,-1.52
196801,6.21,0.94
196802,2.53,-1.91
196803,3.32,-0.16
196804,0.54,-1.00
196805,0.22,-0.46
196806,0.00,-0.20
196807,0.00,-0.01
196808,0.23,0.16
196809,0.02,-0.23
196810,0.67,-0.53
196811,3.45,0.56
196812,5.48,1.19
196901,10.32,5.05
196902,8.76,4.32
196903,1.41,-2.07
196904,2.06,0.52
196905,0.02,-0.66
196906,0.05,-0.15
196907,0.00,-0.01
196908,0.00,-0.07
196909,0.03,-0.22
196910,2.22,1.02
196911,0.92,-1.97
196912,7.39,3.10
197001,9.81,4.54
197002,2.27,-2.17
197003,1.68,-1.80
197004,0.23,-1.31
197005,0.04,-0.64
197006,0.68,0.48
197007,0.00,-0.01
197008,0.00,-0.07
197009,0.00,-0.25
197010,0.87,-0.33
197011,8.93,6.04
197012,8.59,4.30
197101,2.10,-3.17
197102,0.47,-3.97
197103,3.28,-0.20
197104,1.05,-0.49
197105,0.44,-0.24
197106,0.01,-0.19
197107,0.01,0.00
197108,0.05,-0.02
197109,0.24,-0.01
197110,0.07,-1.13
197111,1.65,-1.24
197112,5.14,0.85
197201,1.39,-3.88
197202,1.99,-2.45
197203,0.19,-3.29
197204,1.42,-0.12
197205,0.00,-0.68
197206,0.19,-0.01
197207,0.00,-0.01
197208,0.02,-0.05
197209,0.69,0.44
197210,4.68,3.48
197211,7.51,4.62
197212,3.26,-1.03
197301,10.31,5.04
197302,7.31,2.87
197303,2.80,-0.68
197304,0.16,-1.38
197305,0.05,-0.63
197306,0.00,-0.20
197307,0.00,-0.01
197308,0.00,-0.07
197309,0.35,0.10
197310,2.18,0.98
