Sutter County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194301,6.21,2.28
194302,1.15,-2.34
194303,3.41,0.74
194304,1.93,0.66
194305,0.11,-0.54
194306,0.17,-0.04
194307,0.02,0.02
194308,0.00,-0.03
194309,0.00,-0.27
194310,0.37,-0.65
194311,0.76,-1.48
194312,2.17,-1.02
194401,3.02,-0.91
194402,6.08,2.59
194403,1.20,-1.47
194404,1.72,0.45
194405,0.81,0.16
194406,0.23,0.02
194407,0.00,0.00
194408,0.00,-0.03
194409,0.00,-0.27
194410,1.50,0.48
194411,3.79,1.55
194412,2.64,-0.55
194501,1.44,-2.49
194502,4.14,0.65
194503,2.90,0.23
194504,0.20,-1.07
194505,1.03,0.38
194506,0.14,-0.07
194507,0.00,0.00
194508,0.00,-0.03
194509,0.00,-0.27
194510,2.48,1.46
194511,2.87,0.63
194512,5.78,2.59
194601,0.86,-3.07
194602,1.33,-2.16
194603,1.48,-1.19
194604,0.21,-1.06
194605,0.45,-0.20
194606,0.00,-0.21
194607,0.03,0.03
194608,0.00,-0.03
194609,0.16,-0.11
194610,0.40,-0.62
194611,2.89,0.65
194612,2.85,-0.34
194701,0.47,-3.46
194702,2.09,-1.40
194703,3.12,0.45
194704,0.48,-0.79
194705,0.19,-0.46
194706,0.70,0.49
194707,0.00,0.00
194708,0.01,-0.02
194709,0.00,-0.27
194710,2.99,1.97
194711,1.28,-0.96
194712,0.92,-2.27
194801,1.03,-2.90
194802,1.16,-2.33
194803,3.34,0.67
194804,3.71,2.44
194805,1.92,1.27
194806,0.31,0.10
194807,0.00,0.00
194808,0.00,-0.03
194809,0.26,-0.01
194810,0.60,-0.42
194811,1.17,-1.07
194812,3.56,0.37
194901,1.40,-2.53
194902,1.89,-1.60
194903,5.29,2.62
194904,0.01,-1.26
194905,0.73,0.08
194906,0.00,-0.21
194907,0.00,0.00
194908,0.06,0.03
194909,0.01,-0.26
194910,0.04,-0.98
194911,1.02,-1.22
194912,1.53,-1.66
195001,4.32,0.39
195002,3.32,-0.17
195003,1.86,-0.81
195004,1.02,-0.25
195005,0.47,-0.18
195006,0.07,-0.14
195007,0.00,0.00
195008,0.00,-0.03
195009,0.20,-0.07
195010,2.40,1.38
195011,4.81,2.57
195012,5.26,2.07
195101,3.44,-0.49
195102,2.07,-1.42
195103,0.88,-1.79
195104,0.87,-0.40
195105,0.96,0.31
195106,0.00,-0.21
195107,0.00,0.00
195108,0.00,-0.03
195109,0.02,-0.25
195110,2.57,1.55
195111,2.81,0.57
195112,5.22,2.03
195201,8.11,4.18
195202,2.14,-1.35
195203,3.47,0.80
195204,1.02,-0.25
195205,0.20,-0.45
195206,0.55,0.34
195207,0.02,0.02
195208,0.00,-0.03
195209,0.07,-0.20
195210,0.02,-1.00
195211,1.72,-0.52
195212,6.59,3.40
195301,3.34,-0.59
195302,0.04,-3.45
195303,2.09,-0.58
195304,2.52,1.25
195305,0.61,-0.04
195306,0.50,0.29
195307,0.00,0.00
195308,0.21,0.18
195309,0.00,-0.27
195310,0.53,-0.49
195311,2.31,0.07
195312,0.60,-2.59
195401,3.44,-0.49
195402,3.13,-0.36
195403,3.34,0.67
195404,2.08,0.81
195405,0.20,-0.45
195406,0.14,-0.07
195407,0.00,0.00
195408,0.16,0.13
195409,0.01,-0.26
195410,0.14,-0.88
195411,2.93,0.69
195412,4.30,1.11
195501,2.94,-0.99
195502,1.09,-2.40
195503,0.49,-2.18
195504,1.99,0.72
195505,0.41,-0.24
195506,0.01,-0.20
195507,0.00,0.00
195508,0.00,-0.03
195509,0.49,0.22
195510,0.63,-0.39
195511,1.83,-0.41
195512,10.28,7.09
195601,7.18,3.25
195602,2.75,-0.74
195603,0.09,-2.58
195604,1.58,0.31
195605,1.08,0.43
195606,0.07,-0.14
195607,0.00,0.00
195608,0.00,-0.03
195609,0.55,0.28
195610,1.51,0.49
195611,0.10,-2.14
195612,0.25,-2.94
195701,2.79,-1.14
195702,3.86,0.37
195703,2.01,-0.66
195704,1.37,0.10
195705,1.57,0.92
195706,0.01,-0.20
195707,0.00,0.00
195708,0.00,-0.03
195709,1.15,0.88
195710,2.14,1.12
195711,0.60,-1.64
195712,2.97,-0.22
195801,4.58,0.65
195802,7.99,4.50
195803,4.20,1.53
195804,3.59,2.32
195805,0.83,0.18
195806,0.54,0.33
195807,0.01,0.01
195808,0.04,0.01
195809,0.18,-0.09
195810,0.28,-0.74
195811,0.22,-2.02
195812,1.25,-1.94
195901,4.39,0.46
195902,4.36,0.87
195903,0.76,-1.91
195904,0.40,-0.87
195905,0.09,-0.56
195906,0.00,-0.21
195907,0.00,0.00
195908,0.02,-0.01
195909,1.44,1.17
195910,0.00,-1.02
195911,0.00,-2.24
195912,1.43,-1.76
196001,3.85,-0.08
196002,3.30,-0.19
196003,2.30,-0.37
196004,1.32,0.05
196005,0.56,-0.09
196006,0.00,-0.21
196007,0.01,0.01
196008,0.00,-0.03
196009,0.02,-0.25
196010,0.17,-0.85
196011,3.94,1.70
196012,1.40,-1.79
196101,2.85,-1.08
196102,1.98,-1.51
196103,2.50,-0.17
196104,0.69,-0.58
196105,0.42,-0.23
196106,0.17,-0.04
196107,0.00,0.00
196108,0.03,0.00
196109,0.18,-0.09
196110,0.22,-0.80
196111,2.48,0.24
196112,2.36,-0.83
196201,1.19,-2.74
196202,7.40,3.91
196203,2.13,-0.54
196204,0.36,-0.91
196205,0.19,-0.46
196206,0.03,-0.18
196207,0.00,0.00
196208,0.06,0.03
196209,0.09,-0.18
196210,5.82,4.80
196211,0.82,-1.42
196212,2.46,-0.73
196301,3.48,-0.45
196302,2.41,-1.08
196303,3.29,0.62
196304,3.86,2.59
196305,0.80,0.15
196306,0.15,-0.06
196307,0.00,0.00
196308,0.00,-0.03
196309,0.23,-0.04
196310,1.86,0.84
196311,4.59,2.35
196312,0.46,-2.73
196401,3.63,-0.30
196402,0.25,-3.24
196403,1.36,-1.31
196404,0.43,-0.84
196405,0.48,-0.17
196406,0.41,0.20
196407,0.01,0.01
196408,0.04,0.01
196409,0.09,-0.18
196410,1.48,0.46
196411,3.43,1.19
196412,5.14,1.95
196501,4.21,0.28
196502,0.65,-2.84
196503,0.97,-1.70
196504,2.81,1.54
196505,0.09,-0.56
196506,0.03,-0.18
196507,0.01,0.01
196508,0.28,0.25
196509,0.04,-0.23
196510,0.09,-0.93
196511,4.12,1.88
196512,2.44,-0.75
196601,2.40,-1.53
196602,2.09,-1.40
196603,0.45,-2.22
196604,0.82,-0.45
196605,0.20,-0.45
196606,0.04,-0.17
196607,0.03,0.03
196608,0.02,-0.01
196609,0.06,-0.21
196610,0.00,-1.02
196611,6.09,3.85
196612,3.31,0.12
196701,7.51,3.58
196702,0.54,-2.95
196703,3.58,0.91
196704,3.76,2.49
196705,0.15,-0.50
196706,0.95,0.74
196707,0.01,0.01
196708,0.01,-0.02
196709,0.09,-0.18
196710,0.50,-0.52
196711,1.63,-0.61
196712,1.45,-1.74
196801,4.53,0.60
196802,3.42,-0.07
196803,2.44,-0.23
196804,0.25,-1.02
196805,0.28,-0.37
196806,0.34,0.13
196807,0.00,0.00
196808,0.24,0.21
196809,0.02,-0.25
