Sierra County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193812,1.43,-5.78
193901,6.00,-2.57
193902,4.18,-3.59
193903,5.79,-0.68
193904,0.59,-2.73
193905,2.71,0.54
193906,0.26,-0.63
193907,0.10,-0.13
193908,0.10,-0.18
193909,1.13,0.26
193910,3.88,1.28
193911,0.74,-4.62
193912,3.24,-3.97
194001,17.29,8.72
194002,16.98,9.21
194003,11.94,5.47
194004,1.63,-1.69
194005,1.62,-0.55
194006,0.27,-0.62
194007,0.02,-0.21
194008,0.11,-0.17
194009,1.35,0.48
194010,2.33,-0.27
194011,4.82,-0.54
194012,15.88,8.67
194101,9.87,1.30
194102,8.58,0.81
194103,3.71,-2.76
194104,5.16,1.84
194105,3.41,1.24
194106,1.53,0.64
194107,0.59,0.36
194108,0.09,-0.19
194109,0.25,-0.62
194110,1.70,-0.90
194111,3.60,-1.76
194112,17.21,10.00
194201,10.40,1.83
194202,9.03,1.26
194203,3.39,-3.08
194204,8.38,5.06
194205,5.83,3.66
194206,0.20,-0.69
194207,0.04,-0.19
194208,0.01,-0.27
194209,0.10,-0.77
194210,0.41,-2.19
194211,12.52,7.16
194212,8.48,1.27
194301,16.31,7.74
194302,3.59,-4.18
194303,9.52,3.05
194304,2.90,-0.42
194305,0.64,-1.53
194306,1.30,0.41
194307,0.53,0.30
194308,0.00,-0.28
194309,0.00,-0.87
194310,2.36,-0.24
194311,1.66,-3.70
194312,2.72,-4.49
194401,6.37,-2.20
194402,9.29,1.52
194403,4.73,-1.74
194404,3.46,0.14
194405,1.40,-0.77
194406,0.89,0.00
194407,0.37,0.14
194408,0.00,-0.28
194409,0.28,-0.59
194410,3.13,0.53
194411,9.48,4.12
194412,5.76,-1.45
194501,1.47,-7.10
194502,13.50,5.73
194503,5.97,-0.50
194504,1.13,-2.19
194505,3.94,1.77
194506,2.27,1.38
194507,0.20,-0.03
194508,0.05,-0.23
194509,0.02,-0.85
194510,7.74,5.14
194511,7.69,2.33
194512,15.31,8.10
194601,2.26,-6.31
194602,4.41,-3.36
194603,6.33,-0.14
194604,0.45,-2.87
194605,0.96,-1.21
194606,0.00,-0.89
194607,0.72,0.49
194608,0.00,-0.28
194609,0.71,-0.16
194610,1.39,-1.21
194611,10.00,4.64
194612,4.19,-3.02
194701,1.74,-6.83
194702,4.84,-2.93
194703,8.66,2.19
194704,1.40,-1.92
194705,0.66,-1.51
194706,1.94,1.05
194707,0.00,-0.23
194708,0.12,-0.16
194709,0.11,-0.76
194710,7.37,4.77
194711,1.37,-3.99
194712,0.82,-6.39
194801,6.18,-2.39
194802,3.11,-4.66
194803,6.91,0.44
194804,11.18,7.86
194805,3.33,1.16
194806,0.76,-0.13
194807,0.00,-0.23
194808,0.03,-0.25
194809,0.20,-0.67
194810,0.75,-1.85
194811,4.35,-1.01
194812,6.51,-0.70
194901,2.30,-6.27
194902,5.71,-2.06
194903,7.97,1.50
194904,0.43,-2.89
194905,3.70,1.53
194906,0.07,-0.82
194907,0.06,-0.17
194908,0.73,0.45
194909,0.29,-0.58
194910,0.30,-2.30
194911,3.80,-1.56
194912,2.64,-4.57
195001,14.89,6.32
195002,6.15,-1.62
195003,7.29,0.82
195004,4.29,0.97
195005,2.86,0.69
195006,0.93,0.04
195007,0.13,-0.10
195008,0.16,-0.12
195009,0.68,-0.19
195010,7.23,4.63
195011,14.43,9.07
195012,12.40,5.19
195101,8.26,-0.31
195102,5.38,-2.39
195103,3.13,-3.34
195104,3.48,0.16
195105,3.05,0.88
195106,0.16,-0.73
195107,0.00,-0.23
195108,0.27,-0.01
195109,0.13,-0.74
195110,5.94,3.34
195111,6.80,1.44
195112,15.07,7.86
195201,15.10,6.53
195202,8.92,1.15
195203,9.43,2.96
195204,2.18,-1.14
195205,1.08,-1.09
195206,1.13,0.24
195207,0.93,0.70
195208,0.03,-0.25
195209,0.68,-0.19
195210,0.09,-2.51
195211,3.46,-1.90
195212,12.27,5.06
195301,11.75,3.18
195302,0.53,-7.24
195303,5.28,-1.19
195304,6.02,2.70
195305,4.64,2.47
195306,1.25,0.36
195307,0.08,-0.15
195308,0.41,0.13
195309,0.07,-0.80
195310,1.83,-0.77
195311,5.15,-0.21
195312,2.07,-5.14
195401,8.04,-0.53
195402,7.08,-0.69
195403,7.98,1.51
195404,4.03,0.71
195405,0.08,-2.09
195406,1.42,0.53
195407,0.01,-0.22
195408,0.22,-0.06
195409,0.18,-0.69
195410,0.28,-2.32
195411,5.10,-0.26
195412,8.87,1.66
195501,5.50,-3.07
195502,3.20,-4.57
195503,2.11,-4.36
195504,5.55,2.23
195505,1.65,-0.52
195506,0.37,-0.52
195507,0.18,-0.05
195508,0.00,-0.28
195509,1.03,0.16
195510,0.94,-1.66
195511,4.60,-0.76
195512,31.34,24.13
195601,14.72,6.15
195602,6.86,-0.91
195603,0.78,-5.69
195604,3.09,-0.23
195605,3.65,1.48
195606,0.08,-0.81
195607,0.37,0.14
195608,0.03,-0.25
195609,0.77,-0.10
195610,6.90,4.30
195611,0.07,-5.29
195612,1.90,-5.31
195701,5.49,-3.08
195702,9.11,1.34
195703,5.66,-0.81
195704,3.34,0.02
195705,7.33,5.16
195706,0.13,-0.76
195707,0.05,-0.18
195708,0.00,-0.28
195709,1.66,0.79
195710,4.24,1.64
195711,3.17,-2.19
195712,8.48,1.27
195801,7.59,-0.98
195802,15.12,7.35
195803,11.09,4.62
195804,7.14,3.82
195805,1.11,-1.06
195806,1.69,0.80
195807,0.79,0.56
195808,0.50,0.22
195809,0.68,-0.19
195810,0.65,-1.95
195811,2.01,-3.35
195812,2.52,-4.69
