Merced County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194211,1.01,-0.17
194212,1.24,-0.54
194301,2.23,-0.03
194302,1.28,-0.82
194303,3.70,1.81
194304,0.80,-0.12
194305,0.00,-0.39
194306,0.00,-0.07
194307,0.00,0.00
194308,0.00,-0.01
194309,0.00,-0.16
194310,0.22,-0.30
194311,0.44,-0.74
194312,1.36,-0.42
194401,1.95,-0.31
194402,3.18,1.08
194403,0.59,-1.30
194404,1.28,0.36
194405,0.44,0.05
194406,0.23,0.16
194407,0.00,0.00
194408,0.00,-0.01
194409,0.06,-0.10
194410,0.71,0.19
194411,2.66,1.48
194412,1.44,-0.34
194501,0.29,-1.97
194502,2.56,0.46
194503,2.47,0.58
194504,0.26,-0.66
194505,0.25,-0.14
194506,0.02,-0.05
194507,0.00,0.00
194508,0.03,0.02
194509,0.03,-0.13
194510,1.55,1.03
194511,1.62,0.44
194512,2.79,1.01
194601,0.64,-1.62
194602,1.60,-0.50
194603,1.08,-0.81
194604,0.09,-0.83
194605,0.82,0.43
194606,0.00,-0.07
194607,0.03,0.03
194608,0.00,-0.01
194609,0.01,-0.15
194610,0.52,0.00
194611,2.61,1.43
194612,1.95,0.17
194701,0.39,-1.87
194702,0.92,-1.18
194703,1.00,-0.89
194704,0.32,-0.60
194705,0.18,-0.21
194706,0.12,0.05
194707,0.00,0.00
194708,0.00,-0.01
194709,0.02,-0.14
194710,1.07,0.55
194711,0.76,-0.42
194712,0.57,-1.21
194801,0.09,-2.17
194802,0.91,-1.19
194803,2.78,0.89
194804,2.52,1.60
194805,1.34,0.95
194806,0.00,-0.07
194807,0.00,0.00
194808,0.00,-0.01
194809,0.00,-0.16
194810,0.44,-0.08
194811,0.06,-1.12
194812,1.89,0.11
194901,0.98,-1.28
194902,1.37,-0.73
194903,2.81,0.92
194904,0.01,-0.91
194905,0.64,0.25
194906,0.00,-0.07
194907,0.00,0.00
194908,0.00,-0.01
194909,0.01,-0.15
194910,0.02,-0.50
194911,0.94,-0.24
194912,1.44,-0.34
195001,2.98,0.72
195002,1.21,-0.89
195003,1.07,-0.82
195004,0.83,-0.09
195005,0.09,-0.30
195006,0.00,-0.07
195007,0.01,0.01
195008,0.00,-0.01
195009,0.30,0.14
195010,1.31,0.79
195011,2.43,1.25
195012,2.38,0.60
195101,1.56,-0.70
195102,1.63,-0.47
195103,0.51,-1.38
195104,0.86,-0.06
195105,0.20,-0.19
195106,0.01,-0.06
195107,0.00,0.00
195108,0.00,-0.01
195109,0.00,-0.16
195110,0.71,0.19
195111,1.47,0.29
195112,4.02,2.24
195201,4.29,2.03
195202,0.78,-1.32
195203,3.04,1.15
195204,1.78,0.86
195205,0.10,-0.29
195206,0.01,-0.06
195207,0.01,0.01
195208,0.00,-0.01
195209,0.19,0.03
195210,0.03,-0.49
195211,1.19,0.01
195212,3.61,1.83
195301,0.86,-1.40
195302,0.05,-2.05
195303,0.61,-1.28
195304,1.35,0.43
