Inyo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194801,0.01,-1.02
194802,0.54,-0.53
194803,0.39,-0.45
194804,0.40,-0.04
194805,0.15,-0.13
194806,0.31,0.20
194807,0.00,-0.29
194808,0.00,-0.33
194809,0.01,-0.27
194810,0.16,-0.16
194811,0.00,-0.48
194812,0.44,-0.34
194901,1.21,0.18
194902,1.23,0.16
194903,0.95,0.11
194904,0.05,-0.39
194905,0.73,0.45
194906,0.11,0.00
194907,0.28,-0.01
194908,0.40,0.07
194909,0.04,-0.24
194910,0.15,-0.17
194911,0.45,-0.03
194912,0.43,-0.35
195001,0.34,-0.69
195002,0.52,-0.55
195003,0.20,-0.64
195004,0.08,-0.36
195005,0.02,-0.26
195006,0.00,-0.11
195007,0.77,0.48
195008,0.15,-0.18
195009,0.76,0.48
195010,0.19,-0.13
195011,1.06,0.58
195012,0.39,-0.39
195101,0.59,-0.44
195102,0.19,-0.88
195103,0.13,-0.71
195104,0.53,0.09
195105,0.31,0.03
195106,0.08,-0.03
195107,0.24,-0.05
195108,0.04,-0.29
195109,0.08,-0.20
195110,0.23,-0.09
195111,0.30,-0.18
195112,1.59,0.81
195201,2.56,1.53
195202,0.09,-0.98
195203,2.55,1.71
195204,1.30,0.86
195205,0.00,-0.28
195206,0.02,-0.09
195207,0.51,0.22
195208,0.01,-0.32
195209,0.43,0.15
195210,0.00,-0.32
195211,0.73,0.25
195212,1.10,0.32
195301,0.18,-0.85
195302,0.01,-1.06
195303,0.33,-0.51
195304,0.41,-0.03
195305,0.35,0.07
195306,0.02,-0.09
195307,0.15,-0.14
195308,0.06,-0.27
195309,0.00,-0.28
195310,0.08,-0.24
195311,0.19,-0.29
195312,0.19,-0.59
195401,2.07,1.04
195402,0.76,-0.31
195403,1.16,0.32
195404,0.05,-0.39
195405,0.05,-0.23
195406,0.05,-0.06
195407,0.73,0.44
195408,0.01,-0.32
195409,0.18,-0.10
195410,0.00,-0.32
195411,0.86,0.38
195412,0.65,-0.13
195501,0.97,-0.06
195502,0.20,-0.87
195503,0.00,-0.84
195504,0.36,-0.08
195505,0.56,0.28
195506,0.03,-0.08
195507,0.23,-0.06
195508,0.67,0.34
195509,0.05,-0.23
195510,0.00,-0.32
195511,0.17,-0.31
195512,1.64,0.86
195601,1.58,0.55
195602,0.05,-1.02
195603,0.00,-0.84
195604,1.53,1.09
195605,0.15,-0.13
195606,0.00,-0.11
195607,0.44,0.15
195608,0.00,-0.33
195609,0.02,-0.26
195610,0.50,0.18
195611,0.00,-0.48
195612,0.04,-0.74
195701,1.41,0.38
195702,0.54,-0.53
195703,0.51,-0.33
195704,0.73,0.29
195705,0.68,0.40
195706,0.09,-0.02
195707,0.03,-0.26
195708,0.04,-0.29
195709,0.11,-0.17
195710,0.45,0.13
195711,0.52,0.04
195712,0.85,0.07
195801,0.80,-0.23
195802,1.77,0.70
195803,1.22,0.38
195804,1.44,1.00
195805,0.18,-0.10
195806,0.04,-0.07
195807,0.07,-0.22
195808,0.64,0.31
195809,0.32,0.04
195810,0.41,0.09
195811,0.31,-0.17
195812,0.01,-0.77
195901,0.53,-0.50
195902,1.64,0.57
195903,0.03,-0.81
195904,0.02,-0.42
195905,0.06,-0.22
195906,0.02,-0.09
195907,0.10,-0.19
195908,0.10,-0.23
195909,0.77,0.49
195910,0.05,-0.27
195911,0.20,-0.28
195912,0.79,0.01
196001,0.55,-0.48
196002,1.21,0.14
196003,0.08,-0.76
196004,0.10,-0.34
196005,0.02,-0.26
196006,0.02,-0.09
196007,0.12,-0.17
196008,0.01,-0.32
196009,0.25,-0.03
196010,0.61,0.29
196011,1.80,1.32
196012,0.07,-0.71
196101,0.55,-0.48
196102,0.07,-1.00
196103,0.16,-0.68
196104,0.10,-0.34
196105,0.05,-0.23
196106,0.05,-0.06
196107,0.16,-0.13
196108,1.14,0.81
196109,0.01,-0.27
196110,0.08,-0.24
196111,0.87,0.39
196112,0.49,-0.29
196201,0.71,-0.32
196202,2.73,1.66
196203,0.34,-0.50
196204,0.00,-0.44
196205,0.41,0.13
196206,0.12,0.01
196207,0.27,-0.02
196208,0.00,-0.33
196209,0.46,0.18
196210,0.13,-0.19
196211,0.02,-0.46
196212,0.09,-0.69
196301,1.02,-0.01
196302,1.67,0.60
196303,0.87,0.03
196304,0.39,-0.05
196305,0.19,-0.09
196306,0.49,0.38
196307,0.00,-0.29
196308,0.87,0.54
196309,1.23,0.95
196310,0.62,0.30
196311,0.70,0.22
196312,0.04,-0.74
196401,0.24,-0.79
196402,0.04,-1.03
196403,0.21,-0.63
196404,0.23,-0.21
196405,0.42,0.14
196406,0.02,-0.09
196407,0.57,0.28
196408,0.40,0.07
196409,0.02,-0.26
196410,0.19,-0.13
