Solano County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199110,1.47,0.54
199111,0.46,-1.76
199112,2.12,-1.38
199201,1.81,-2.56
199202,6.51,2.75
199203,3.37,0.53
199204,0.61,-0.63
199205,0.01,-0.54
199206,0.39,0.25
199207,0.00,0.00
199208,0.00,-0.03
199209,0.00,-0.20
199210,2.03,1.10
199211,0.20,-2.02
199212,6.85,3.35
199301,10.02,5.65
199302,5.12,1.36
199303,2.24,-0.60
199304,0.71,-0.53
199305,0.87,0.32
199306,0.61,0.47
199307,0.00,0.00
199308,0.00,-0.03
199309,0.00,-0.20
199310,0.62,-0.31
199311,2.40,0.18
199312,2.20,-1.30
199401,2.09,-2.28
199402,3.72,-0.04
199403,0.19,-2.65
