Lassen County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195406,1.56,0.52
195407,0.02,-0.29
195408,0.27,-0.03
195409,0.33,-0.30
195410,0.15,-1.14
195411,2.05,-0.20
195412,2.96,-0.04
195501,1.23,-2.10
195502,0.99,-1.81
195503,0.95,-1.49
195504,1.95,0.44
195505,0.47,-1.02
195506,0.63,-0.41
195507,0.23,-0.08
195508,0.00,-0.30
195509,0.92,0.29
195510,0.46,-0.83
195511,2.00,-0.25
195512,10.79,7.79
195601,6.08,2.75
195602,3.45,0.65
195603,0.58,-1.86
195604,1.40,-0.11
195605,1.99,0.50
195606,0.69,-0.35
195607,0.41,0.10
195608,0.09,-0.21
195609,0.72,0.09
195610,3.19,1.90
195611,0.24,-2.01
195612,0.93,-2.07
195701,2.91,-0.42
195702,3.69,0.89
195703,2.31,-0.13
195704,1.61,0.10
195705,3.03,1.54
195706,0.39,-0.65
195707,0.02,-0.29
195708,0.00,-0.30
195709,1.53,0.90
195710,2.53,1.24
195711,2.26,0.01
195712,3.33,0.33
195801,2.97,-0.36
195802,4.42,1.62
195803,3.43,0.99
195804,1.70,0.19
195805,1.34,-0.15
195806,3.38,2.34
195807,1.30,0.99
195808,0.67,0.37
195809,0.50,-0.13
195810,0.63,-0.66
195811,1.11,-1.14
195812,1.66,-1.34
195901,3.06,-0.27
195902,3.26,0.46
195903,0.50,-1.94
195904,0.23,-1.28
195905,1.43,-0.06
195906,0.35,-0.69
195907,0.04,-0.27
195908,0.28,-0.02
195909,0.93,0.30
195910,0.20,-1.09
195911,0.00,-2.25
195912,1.13,-1.87
196001,3.00,-0.33
196002,4.50,1.70
196003,2.16,-0.28
196004,1.07,-0.44
196005,1.16,-0.33
196006,0.20,-0.84
196007,0.53,0.22
196008,0.02,-0.28
196009,0.17,-0.46
196010,0.33,-0.96
196011,4.58,2.33
196012,1.30,-1.70
196101,0.91,-2.42
196102,2.70,-0.10
196103,1.91,-0.53
196104,0.88,-0.63
196105,1.54,0.05
196106,0.78,-0.26
196107,0.07,-0.24
196108,0.67,0.37
196109,0.20,-0.43
196110,0.74,-0.55
196111,1.40,-0.85
196112,1.88,-1.12
196201,1.53,-1.80
196202,5.97,3.17
196203,2.55,0.11
196204,0.53,-0.98
196205,1.84,0.35
196206,0.10,-0.94
196207,0.13,-0.18
196208,0.35,0.05
196209,0.22,-0.41
196210,6.40,5.11
196211,1.55,-0.70
196212,1.73,-1.27
196301,2.64,-0.69
196302,2.39,-0.41
196303,2.20,-0.24
196304,3.99,2.48
196305,2.12,0.63
196306,1.41,0.37
196307,0.16,-0.15
196308,0.22,-0.08
196309,1.50,0.87
196310,1.20,-0.09
196311,3.43,1.18
196312,1.17,-1.83
196401,3.36,0.03
196402,0.37,-2.43
196403,1.38,-1.06
196404,0.60,-0.91
196405,1.91,0.42
196406,2.29,1.25
196407,0.11,-0.20
196408,0.04,-0.26
196409,0.21,-0.42
196410,0.32,-0.97
196411,2.42,0.17
196412,10.33,7.33
196501,4.65,1.32
196502,0.57,-2.23
196503,1.09,-1.35
196504,2.63,1.12
196505,0.69,-0.80
196506,1.64,0.60
196507,0.45,0.14
196508,1.33,1.03
196509,0.14,-0.49
196510,0.07,-1.22
196511,4.04,1.79
196512,2.47,-0.53
196601,0.84,-2.49
196602,0.89,-1.91
196603,1.07,-1.37
196604,1.00,-0.51
196605,0.88,-0.61
196606,0.20,-0.84
196607,0.28,-0.03
196608,0.10,-0.20
196609,0.34,-0.29
196610,0.02,-1.27
196611,4.71,2.46
196612,3.60,0.60
196701,6.36,3.03
196702,0.37,-2.43
196703,3.79,1.35
196704,3.56,2.05
196705,1.52,0.03
196706,2.12,1.08
196707,0.31,0.00
196708,0.24,-0.06
196709,0.36,-0.27
196710,1.03,-0.26
196711,2.19,-0.06
196712,2.18,-0.82
196801,4.02,0.69
196802,2.44,-0.36
196803,1.50,-0.94
196804,0.26,-1.25
196805,1.24,-0.25
196806,0.57,-0.47
196807,0.19,-0.12
196808,1.34,1.04
196809,0.03,-0.60
196810,0.89,-0.40
196811,3.35,1.10
196812,4.21,1.21
196901,8.56,5.23
196902,3.15,0.35
196903,0.66,-1.78
196904,1.19,-0.32
196905,0.51,-0.98
