Imperial County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195604,0.03,-0.07
195605,0.01,-0.03
195606,0.00,-0.01
195607,0.16,-0.02
195608,0.00,-0.39
195609,0.00,-0.27
195610,0.04,-0.20
195611,0.00,-0.21
195612,0.01,-0.54
195701,0.99,0.46
195702,0.04,-0.46
195703,0.11,-0.26
195704,0.04,-0.06
195705,0.02,-0.02
195706,0.00,-0.01
195707,0.02,-0.16
195708,0.56,0.17
195709,0.00,-0.27
195710,1.17,0.93
195711,0.01,-0.20
195712,0.08,-0.47
195801,0.04,-0.49
195802,1.47,0.97
195803,0.67,0.30
195804,0.34,0.24
195805,0.16,0.12
195806,0.01,0.00
195807,0.19,0.01
195808,0.15,-0.24
195809,0.02,-0.25
195810,0.06,-0.18
195811,0.07,-0.14
195812,0.00,-0.55
195901,0.10,-0.43
195902,0.32,-0.18
195903,0.00,-0.37
195904,0.00,-0.10
195905,0.00,-0.04
195906,0.00,-0.01
195907,0.05,-0.13
195908,0.28,-0.11
195909,0.07,-0.20
195910,0.24,0.00
195911,0.06,-0.15
195912,1.67,1.12
196001,0.67,0.14
196002,0.21,-0.29
196003,0.06,-0.31
196004,0.00,-0.10
196005,0.01,-0.03
196006,0.00,-0.01
196007,0.03,-0.15
196008,0.07,-0.32
196009,0.65,0.38
196010,0.01,-0.23
196011,0.35,0.14
196012,0.12,-0.43
196101,0.26,-0.27
196102,0.00,-0.50
196103,0.09,-0.28
196104,0.00,-0.10
196105,0.00,-0.04
196106,0.00,-0.01
196107,0.04,-0.14
196108,0.69,0.30
196109,0.01,-0.26
196110,0.00,-0.24
196111,0.05,-0.16
196112,1.18,0.63
196201,0.88,0.35
196202,0.25,-0.25
196203,0.18,-0.19
196204,0.00,-0.10
196205,0.02,-0.02
196206,0.00,-0.01
196207,0.07,-0.11
196208,0.02,-0.37
196209,0.03,-0.24
196210,0.02,-0.22
196211,0.02,-0.19
196212,0.87,0.32
196301,0.24,-0.29
196302,0.25,-0.25
196303,0.22,-0.15
196304,0.01,-0.09
196305,0.00,-0.04
196306,0.00,-0.01
196307,0.02,-0.16
