Napa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195206,0.79,0.56
195207,0.02,0.01
195208,0.00,-0.07
195209,0.02,-0.27
195210,0.05,-1.45
195211,2.89,-0.65
195212,14.72,9.08
195301,6.82,-0.05
195302,0.04,-5.84
195303,3.88,-0.44
195304,3.57,1.66
195305,0.96,0.11
195306,0.60,0.37
195307,0.00,-0.01
195308,0.30,0.23
195309,0.00,-0.29
195310,0.85,-0.65
195311,4.31,0.77
195312,1.12,-4.52
195401,7.44,0.57
195402,4.92,-0.96
195403,5.51,1.19
195404,2.76,0.85
195405,0.26,-0.59
195406,0.25,0.02
195407,0.02,0.01
195408,0.44,0.37
195409,0.02,-0.27
195410,0.36,-1.14
195411,4.94,1.40
195412,5.75,0.11
195501,3.59,-3.28
195502,1.90,-3.98
195503,0.68,-3.64
195504,3.30,1.39
195505,0.15,-0.70
195506,0.01,-0.22
195507,0.00,-0.01
195508,0.00,-0.07
195509,0.58,0.29
195510,0.28,-1.22
195511,2.81,-0.73
195512,20.83,15.19
195601,10.76,3.89
195602,7.42,1.54
195603,0.27,-4.05
195604,2.21,0.30
195605,0.96,0.11
195606,0.04,-0.19
195607,0.01,0.00
195608,0.00,-0.07
195609,0.28,-0.01
195610,2.58,1.08
195611,0.11,-3.43
195612,0.39,-5.25
195701,4.28,-2.59
195702,6.53,0.65
195703,2.72,-1.60
195704,2.11,0.20
195705,3.72,2.87
195706,0.15,-0.08
195707,0.00,-0.01
195708,0.00,-0.07
195709,1.37,1.08
195710,5.05,3.55
195711,1.02,-2.52
195712,4.80,-0.84
195801,7.53,0.66
195802,14.54,8.66
195803,7.39,3.07
195804,6.24,4.33
195805,0.90,0.05
195806,0.61,0.38
195807,0.04,0.03
195808,0.02,-0.05
195809,0.03,-0.26
195810,0.14,-1.36
195811,0.25,-3.29
195812,1.83,-3.81
195901,8.06,1.19
195902,7.95,2.07
195903,1.04,-3.28
195904,0.39,-1.52
195905,0.12,-0.73
195906,0.00,-0.23
195907,0.00,-0.01
195908,0.00,-0.07
195909,1.53,1.24
195910,0.01,-1.49
195911,0.02,-3.52
195912,2.29,-3.35
196001,6.09,-0.78
196002,7.68,1.80
196003,4.17,-0.15
196004,1.59,-0.32
196005,1.44,0.59
196006,0.00,-0.23
196007,0.00,-0.01
196008,0.00,-0.07
196009,0.01,-0.28
196010,0.57,-0.93
196011,4.87,1.33
196012,3.68,-1.96
196101,5.16,-1.71
196102,2.42,-3.46
196103,4.05,-0.27
196104,1.57,-0.34
196105,0.35,-0.50
196106,0.13,-0.10
196107,0.00,-0.01
196108,0.12,0.05
196109,0.39,0.10
196110,0.23,-1.27
196111,4.19,0.65
196112,4.12,-1.52
196201,1.85,-5.02
196202,11.13,5.25
196203,4.48,0.16
196204,0.36,-1.55
196205,0.14,-0.71
196206,0.01,-0.22
196207,0.00,-0.01
196208,0.10,0.03
196209,0.20,-0.09
196210,8.23,6.73
196211,1.01,-2.53
196212,4.46,-1.18
196301,6.67,-0.20
196302,5.00,-0.88
196303,5.76,1.44
196304,6.25,4.34
196305,0.89,0.04
196306,0.05,-0.18
196307,0.00,-0.01
196308,0.01,-0.06
196309,0.17,-0.12
196310,2.35,0.85
196311,6.74,3.20
196312,0.80,-4.84
196401,5.23,-1.64
196402,0.17,-5.71
196403,2.26,-2.06
196404,0.24,-1.67
196405,0.49,-0.36
196406,0.74,0.51
196407,0.04,0.03
196408,0.05,-0.02
196409,0.01,-0.28
196410,2.32,0.82
196411,5.69,2.15
196412,11.31,5.67
196501,7.53,0.66
196502,1.16,-4.72
196503,1.46,-2.86
196504,4.35,2.44
196505,0.04,-0.81
196506,0.00,-0.23
196507,0.03,0.02
196508,0.53,0.46
196509,0.00,-0.29
196510,0.06,-1.44
196511,7.49,3.95
196512,4.85,-0.79
196601,6.51,-0.36
196602,3.94,-1.94
196603,0.64,-3.68
196604,0.98,-0.93
196605,0.21,-0.64
196606,0.12,-0.11
196607,0.04,0.03
196608,0.34,0.27
196609,0.24,-0.05
196610,0.00,-1.50
196611,8.72,5.18
196612,6.41,0.77
196701,14.18,7.31
196702,0.49,-5.39
196703,6.80,2.48
196704,5.90,3.99
196705,0.17,-0.68
196706,1.08,0.85
196707,0.01,0.00
196708,0.00,-0.07
196709,0.10,-0.19
196710,0.87,-0.63
196711,2.10,-1.44
196712,3.44,-2.20
196801,9.05,2.18
196802,4.28,-1.60
196803,3.76,-0.56
196804,0.51,-1.40
196805,0.45,-0.40
196806,0.00,-0.23
196807,0.00,-0.01
196808,0.43,0.36
196809,0.01,-0.28
196810,1.79,0.29
196811,3.55,0.01
196812,8.59,2.95
196901,13.60,6.73
196902,9.92,4.04
196903,1.88,-2.44
196904,2.42,0.51
196905,0.04,-0.81
196906,0.09,-0.14
196907,0.00,-0.01
196908,0.00,-0.07
196909,0.01,-0.28
196910,2.36,0.86
196911,1.16,-2.38
196912,11.18,5.54
197001,16.72,9.85
197002,3.11,-2.77
197003,2.62,-1.70
197004,0.27,-1.64
197005,0.02,-0.83
197006,0.42,0.19
197007,0.00,-0.01
197008,0.00,-0.07
197009,0.02,-0.27
197010,1.61,0.11
197011,10.08,6.54
197012,10.38,4.74
197101,2.97,-3.90
197102,0.25,-5.63
197103,4.43,0.11
197104,0.90,-1.01
197105,0.70,-0.15
197106,0.01,-0.22
197107,0.00,-0.01
197108,0.02,-0.05
197109,0.21,-0.08
197110,0.23,-1.27
197111,2.24,-1.30
197112,7.25,1.61
197201,2.16,-4.71
197202,2.87,-3.01
197203,0.59,-3.73
197204,1.92,0.01
197205,0.20,-0.65
197206,0.20,-0.03
197207,0.00,-0.01
197208,0.02,-0.05
197209,0.83,0.54
197210,3.82,2.32
197211,7.27,3.73
197212,3.91,-1.73
197301,14.30,7.43
197302,8.65,2.77
197303,3.40,-0.92
197304,0.18,-1.73
197305,0.10,-0.75
197306,0.00,-0.23
197307,0.00,-0.01
197308,0.01,-0.06
197309,0.50,0.21
197310,2.34,0.84
197311,12.11,8.57
197312,6.12,0.48
197401,6.44,-0.43
197402,2.59,-3.29
197403,8.15,3.83
197404,2.26,0.35
197405,0.03,-0.82
197406,0.03,-0.20
197407,0.07,0.06
197408,0.06,-0.01
197409,0.00,-0.29
197410,1.30,-0.20
197411,1.15,-2.39
197412,4.73,-0.91
197501,1.99,-4.88
197502,10.63,4.75
197503,8.72,4.40
197504,1.82,-0.09
197505,0.05,-0.80
197506,0.03,-0.20
197507,0.07,0.06
197508,0.14,0.07
197509,0.00,-0.29
197510,3.92,2.42
197511,0.77,-2.77
197512,0.75,-4.89
197601,0.43,-6.44
197602,1.93,-3.95
197603,1.43,-2.89
197604,1.86,-0.05
197605,0.01,-0.84
197606,0.08,-0.15
197607,0.00,-0.01
197608,0.56,0.49
197609,0.63,0.34
197610,0.37,-1.13
197611,1.26,-2.28
197612,1.44,-4.20
197701,2.21,-4.66
197702,2.02,-3.86
197703,2.68,-1.64
197704,0.21,-1.70
197705,1.55,0.70
197706,0.00,-0.23
197707,0.00,-0.01
197708,0.01,-0.06
197709,1.10,0.81
197710,0.51,-0.99
197711,5.97,2.43
197712,7.25,1.61
197801,14.43,7.56
197802,6.62,0.74
197803,6.00,1.68
197804,3.53,1.62
197805,0.11,-0.74
197806,0.02,-0.21
197807,0.00,-0.01
197808,0.00,-0.07
197809,0.93,0.64
197810,0.00,-1.50
197811,2.14,-1.40
197812,0.88,-4.76
197901,10.46,3.59
197902,7.35,1.47
197903,3.07,-1.25
197904,2.05,0.14
197905,0.79,-0.06
197906,0.00,-0.23
197907,0.01,0.00
197908,0.02,-0.05
197909,0.04,-0.25
197910,4.00,2.50
197911,3.68,0.14
197912,7.54,1.90
198001,8.53,1.66
198002,11.61,5.73
198003,2.50,-1.82
198004,1.98,0.07
198005,0.45,-0.40
198006,0.13,-0.10
198007,0.06,0.05
198008,0.00,-0.07
198009,0.02,-0.27
198010,0.28,-1.22
198011,0.35,-3.19
198012,5.52,-0.12
198101,7.71,0.84
198102,2.24,-3.64
198103,4.08,-0.24
198104,0.52,-1.39
198105,0.36,-0.49
198106,0.00,-0.23
198107,0.01,0.00
198108,0.00,-0.07
198109,0.39,0.10
198110,3.31,1.81
198111,9.49,5.95
198112,9.36,3.72
198201,9.23,2.36
198202,5.34,-0.54
198203,8.89,4.57
198204,6.10,4.19
198205,0.00,-0.85
198206,0.12,-0.11
198207,0.02,0.01
198208,0.02,-0.05
198209,1.35,1.06
198210,3.94,2.44
198211,8.63,5.09
198212,4.66,-0.98
198301,10.03,3.16
198302,11.94,6.06
198303,14.11,9.79
198304,4.41,2.50
198305,0.65,-0.20
198306,0.07,-0.16
198307,0.00,-0.01
198308,0.42,0.35
198309,0.56,0.27
198310,1.14,-0.36
198311,10.88,7.34
198312,11.80,6.16
198401,0.60,-6.27
198402,2.52,-3.36
198403,2.29,-2.03
198404,1.13,-0.78
198405,0.13,-0.72
198406,0.25,0.02
198407,0.01,0.00
198408,0.47,0.40
198409,0.10,-0.19
198410,2.05,0.55
198411,10.01,6.47
198412,2.24,-3.40
198501,1.38,-5.49
198502,3.77,-2.11
198503,4.86,0.54
198504,0.16,-1.75
198505,0.02,-0.83
198506,0.05,-0.18
198507,0.03,0.02
198508,0.02,-0.05
198509,0.92,0.63
198510,1.14,-0.36
198511,4.99,1.45
198512,3.72,-1.92
198601,6.87,0.00
198602,19.53,13.65
198603,7.77,3.45
198604,0.80,-1.11
198605,0.59,-0.26
198606,0.00,-0.23
198607,0.00,-0.01
198608,0.00,-0.07
198609,1.32,1.03
198610,0.31,-1.19
198611,0.13,-3.41
198612,1.97,-3.67
198701,3.84,-3.03
198702,5.25,-0.63
198703,4.98,0.66
198704,0.16,-1.75
198705,0.12,-0.73
198706,0.01,-0.22
198707,0.00,-0.01
198708,0.00,-0.07
198709,0.00,-0.29
198710,1.60,0.10
198711,3.29,-0.25
198712,8.98,3.34
198801,7.00,0.13
198802,0.55,-5.33
198803,0.18,-4.14
198804,2.16,0.25
198805,1.03,0.18
198806,0.41,0.18
198807,0.00,-0.01
198808,0.00,-0.07
198809,0.00,-0.29
198810,0.13,-1.37
198811,4.94,1.40
198812,3.99,-1.65
198901,1.28,-5.59
198902,1.24,-4.64
198903,8.75,4.43
198904,0.76,-1.15
198905,0.08,-0.77
198906,0.23,0.00
198907,0.00,-0.01
198908,0.03,-0.04
198909,1.52,1.23
198910,3.16,1.66
198911,1.66,-1.88
