Yuba County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197006,0.84,0.39
197007,0.00,-0.01
197008,0.00,-0.07
197009,0.01,-0.50
197010,2.10,0.12
197011,10.88,6.31
197012,10.54,4.36
197101,3.67,-3.76
197102,0.55,-6.25
197103,6.32,0.80
197104,1.51,-1.27
197105,1.55,0.12
197106,0.59,0.14
197107,0.00,-0.01
197108,0.06,-0.01
197109,0.62,0.11
197110,0.51,-1.47
197111,3.06,-1.51
197112,7.98,1.80
197201,2.88,-4.55
197202,4.30,-2.50
197203,1.31,-4.21
197204,3.02,0.24
197205,0.71,-0.72
197206,0.36,-0.09
197207,0.00,-0.01
197208,0.01,-0.06
197209,1.45,0.94
197210,2.99,1.01
197211,8.41,3.84
197212,5.07,-1.11
197301,14.18,6.75
197302,10.39,3.59
197303,4.58,-0.94
197304,0.49,-2.29
197305,0.39,-1.04
197306,0.08,-0.37
197307,0.00,-0.01
197308,0.03,-0.04
197309,0.89,0.38
197310,3.61,1.63
197311,14.98,10.41
197312,7.94,1.76
197401,7.37,-0.06
197402,2.87,-3.93
197403,10.56,5.04
197404,2.59,-0.19
197405,0.06,-1.37
197406,0.38,-0.07
197407,0.08,0.07
197408,0.03,-0.04
197409,0.00,-0.51
197410,2.05,0.07
197411,2.23,-2.34
197412,3.45,-2.73
197501,2.69,-4.74
197502,13.21,6.41
197503,8.90,3.38
197504,3.02,0.24
197505,0.36,-1.07
197506,0.26,-0.19
197507,0.07,0.06
197508,0.50,0.43
197509,0.09,-0.42
197510,5.00,3.02
197511,2.12,-2.45
197512,1.90,-4.28
197601,0.84,-6.59
197602,3.44,-3.36
197603,1.44,-4.08
197604,2.23,-0.55
197605,0.02,-1.41
197606,0.16,-0.29
197607,0.00,-0.01
197608,0.61,0.54
197609,0.85,0.34
197610,0.14,-1.84
197611,1.39,-3.18
197612,0.62,-5.56
197701,2.77,-4.66
197702,2.71,-4.09
197703,1.93,-3.59
197704,0.36,-2.42
197705,2.48,1.05
197706,0.02,-0.43
197707,0.06,0.05
197708,0.07,0.00
197709,1.23,0.72
197710,0.46,-1.52
197711,3.65,-0.92
197712,8.22,2.04
197801,15.01,7.58
197802,6.40,-0.40
197803,8.26,2.74
197804,6.69,3.91
197805,0.53,-0.90
197806,0.08,-0.37
197807,0.01,0.00
197808,0.00,-0.07
197809,1.66,1.15
197810,0.00,-1.98
197811,4.97,0.40
197812,1.72,-4.46
197901,8.16,0.73
197902,9.64,2.84
197903,5.57,0.05
197904,2.56,-0.22
197905,1.22,-0.21
197906,0.01,-0.44
197907,0.08,0.07
197908,0.24,0.17
197909,0.12,-0.39
197910,4.63,2.65
197911,4.27,-0.30
197912,5.70,-0.48
198001,9.64,2.21
198002,10.83,4.03
198003,3.09,-2.43
198004,1.75,-1.03
198005,1.21,-0.22
198006,0.41,-0.04
198007,0.08,0.07
198008,0.06,-0.01
198009,0.05,-0.46
198010,0.81,-1.17
198011,1.04,-3.53
198012,4.58,-1.60
198101,8.18,0.75
198102,2.19,-4.61
198103,6.64,1.12
198104,1.51,-1.27
198105,0.81,-0.62
198106,0.02,-0.43
198107,0.00,-0.01
198108,0.00,-0.07
198109,1.07,0.56
198110,5.52,3.54
198111,13.25,8.68
198112,10.14,3.96
198201,7.38,-0.05
198202,5.51,-1.29
198203,9.53,4.01
198204,8.66,5.88
198205,0.10,-1.33
198206,0.52,0.07
198207,0.05,0.04
198208,0.05,-0.02
198209,1.67,1.16
198210,4.98,3.00
198211,9.39,4.82
198212,6.81,0.63
198301,8.21,0.78
198302,11.09,4.29
198303,14.40,8.88
198304,5.93,3.15
198305,0.88,-0.55
198306,0.54,0.09
198307,0.02,0.01
198308,0.20,0.13
198309,1.34,0.83
198310,1.79,-0.19
198311,12.13,7.56
198312,12.77,6.59
198401,0.64,-6.79
198402,4.91,-1.89
198403,2.99,-2.53
198404,1.83,-0.95
198405,0.53,-0.90
198406,0.57,0.12
198407,0.00,-0.01
198408,0.42,0.35
198409,0.36,-0.15
198410,3.07,1.09
198411,9.30,4.73
198412,2.41,-3.77
198501,1.25,-6.18
198502,4.37,-2.43
198503,5.41,-0.11
198504,0.35,-2.43
198505,0.02,-1.41
198506,0.08,-0.37
198507,0.03,0.02
198508,0.11,0.04
198509,1.39,0.88
198510,1.34,-0.64
198511,7.08,2.51
198512,3.58,-2.60
198601,6.89,-0.54
198602,17.02,10.22
198603,7.51,1.99
198604,1.33,-1.45
198605,0.91,-0.52
198606,0.00,-0.45
198607,0.02,0.01
198608,0.00,-0.07
198609,2.64,2.13
198610,0.64,-1.34
198611,0.70,-3.87
198612,2.17,-4.01
198701,4.93,-2.50
198702,5.26,-1.54
198703,6.09,0.57
198704,0.40,-2.38
198705,0.32,-1.11
198706,0.02,-0.43
198707,0.03,0.02
198708,0.00,-0.07
198709,0.00,-0.51
198710,0.98,-1.00
198711,3.37,-1.20
198712,8.89,2.71
198801,6.51,-0.92
198802,0.58,-6.22
198803,1.10,-4.42
198804,4.03,1.25
198805,1.90,0.47
198806,0.72,0.27
198807,0.02,0.01
198808,0.00,-0.07
198809,0.01,-0.50
198810,0.06,-1.92
198811,9.86,5.29
198812,4.61,-1.57
198901,2.68,-4.75
198902,2.66,-4.14
198903,13.29,7.77
198904,1.63,-1.15
198905,0.53,-0.90
198906,0.41,-0.04
198907,0.00,-0.01
198908,0.30,0.23
198909,2.51,2.00
198910,4.58,2.60
198911,2.54,-2.03
198912,0.01,-6.17
199001,8.10,0.67
199002,4.98,-1.82
199003,2.74,-2.78
199004,1.02,-1.76
199005,4.79,3.36
199006,0.02,-0.43
199007,0.02,0.01
199008,0.02,-0.05
199009,0.14,-0.37
199010,0.72,-1.26
199011,1.56,-3.01
199012,1.58,-4.60
199101,1.10,-6.33
199102,3.46,-3.34
199103,16.45,10.93
199104,1.22,-1.56
199105,1.65,0.22
199106,1.07,0.62
199107,0.01,0.00
199108,0.15,0.08
199109,0.03,-0.48
199110,2.85,0.87
199111,1.66,-2.91
199112,3.81,-2.37
199201,3.12,-4.31
199202,11.09,4.29
199203,4.29,-1.23
199204,1.94,-0.84
199205,0.04,-1.39
199206,1.03,0.58
199207,0.00,-0.01
199208,0.02,-0.05
199209,0.01,-0.50
199210,3.22,1.24
199211,0.79,-3.78
199212,11.77,5.59
199301,14.48,7.05
199302,9.44,2.64
199303,4.68,-0.84
199304,2.68,-0.10
199305,2.27,0.84
199306,1.69,1.24
199307,0.00,-0.01
199308,0.29,0.22
199309,0.01,-0.50
199310,1.65,-0.33
199311,3.19,-1.38
