Modoc County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196407,0.30,-0.09
196408,0.26,-0.08
196409,0.33,-0.36
196410,0.37,-0.88
196411,2.21,0.11
196412,8.20,5.87
196501,3.74,1.04
196502,0.33,-1.88
196503,0.37,-1.66
196504,2.37,0.89
196505,0.98,-0.51
196506,2.51,1.43
196507,0.35,-0.04
196508,1.56,1.22
196509,0.06,-0.63
196510,0.10,-1.15
196511,3.13,1.03
196512,2.05,-0.28
196601,1.34,-1.36
196602,0.90,-1.31
196603,1.22,-0.81
196604,1.10,-0.38
196605,0.88,-0.61
196606,0.53,-0.55
196607,0.50,0.11
196608,0.21,-0.13
196609,0.54,-0.15
196610,0.21,-1.04
196611,4.38,2.28
196612,2.69,0.36
196701,4.65,1.95
196702,0.42,-1.79
196703,2.11,0.08
196704,3.22,1.74
196705,1.41,-0.08
196706,1.12,0.04
196707,0.29,-0.10
196708,0.12,-0.22
196709,0.14,-0.55
196710,0.90,-0.35
196711,1.45,-0.65
196712,1.80,-0.53
196801,2.79,0.09
196802,2.12,-0.09
196803,1.00,-1.03
196804,0.31,-1.17
196805,1.98,0.49
196806,0.77,-0.31
196807,0.06,-0.33
196808,1.72,1.38
196809,0.07,-0.62
196810,1.03,-0.22
196811,3.02,0.92
196812,2.59,0.26
196901,6.46,3.76
196902,1.82,-0.39
196903,0.76,-1.27
196904,1.55,0.07
196905,0.52,-0.97
196906,2.27,1.19
196907,0.19,-0.20
196908,0.00,-0.34
196909,0.08,-0.61
196910,2.29,1.04
196911,0.94,-1.16
196912,5.16,2.83
197001,6.67,3.97
197002,1.06,-1.15
197003,1.94,-0.09
197004,1.17,-0.31
197005,0.92,-0.57
197006,2.65,1.57
197007,0.04,-0.35
197008,0.02,-0.32
197009,0.29,-0.40
197010,1.37,0.12
197011,5.07,2.97
197012,3.82,1.49
197101,1.28,-1.42
197102,0.74,-1.47
197103,4.35,2.32
197104,1.43,-0.05
197105,3.84,2.35
197106,1.85,0.77
197107,0.47,0.08
197108,0.12,-0.22
197109,2.01,1.32
197110,0.83,-0.42
197111,1.96,-0.14
197112,2.34,0.01
197201,2.79,0.09
197202,2.96,0.75
197203,1.65,-0.38
197204,1.47,-0.01
197205,0.90,-0.59
197206,0.38,-0.70
197207,0.03,-0.36
197208,0.18,-0.16
197209,1.33,0.64
197210,1.42,0.17
197211,2.41,0.31
197212,1.89,-0.44
197301,2.75,0.05
197302,1.39,-0.82
197303,1.49,-0.54
197304,1.16,-0.32
197305,1.07,-0.42
197306,0.04,-1.04
197307,0.20,-0.19
197308,0.05,-0.29
197309,1.22,0.53
197310,1.53,0.28
197311,4.26,2.16
197312,2.66,0.33
197401,3.26,0.56
197402,1.33,-0.88
197403,3.89,1.86
197404,1.13,-0.35
197405,0.29,-1.20
197406,0.05,-1.03
197407,1.05,0.66
197408,0.32,-0.02
197409,0.01,-0.68
197410,0.75,-0.50
197411,0.71,-1.39
197412,2.39,0.06
197501,1.39,-1.31
197502,4.18,1.97
197503,2.26,0.23
197504,2.34,0.86
197505,0.36,-1.13
197506,0.95,-0.13
197507,0.78,0.39
197508,0.90,0.56
197509,0.26,-0.43
197510,2.49,1.24
197511,1.10,-1.00
197512,1.11,-1.22
197601,0.82,-1.88
197602,2.90,0.69
197603,1.33,-0.70
197604,0.53,-0.95
197605,0.22,-1.27
197606,0.67,-0.41
197607,0.78,0.39
197608,1.66,1.32
197609,1.05,0.36
197610,0.58,-0.67
197611,0.41,-1.69
197612,0.12,-2.21
197701,1.68,-1.02
197702,0.78,-1.43
197703,1.06,-0.97
197704,0.23,-1.25
197705,2.81,1.32
197706,1.15,0.07
197707,0.48,0.09
197708,0.65,0.31
197709,1.85,1.16
197710,0.41,-0.84
197711,1.74,-0.36
197712,3.93,1.60
197801,2.75,0.05
197802,1.44,-0.77
197803,2.37,0.34
197804,4.24,2.76
197805,0.94,-0.55
197806,0.33,-0.75
197807,0.24,-0.15
197808,0.54,0.20
197809,0.81,0.12
197810,0.01,-1.24
197811,1.15,-0.95
197812,1.09,-1.24
197901,2.21,-0.49
197902,3.10,0.89
197903,1.66,-0.37
197904,1.74,0.26
197905,1.18,-0.31
197906,0.34,-0.74
197907,0.40,0.01
197908,1.05,0.71
197909,0.14,-0.55
197910,3.25,2.00
197911,2.82,0.72
197912,1.57,-0.76
198001,5.48,2.78
198002,3.48,1.27
198003,1.88,-0.15
198004,1.21,-0.27
198005,1.64,0.15
198006,1.16,0.08
198007,0.44,0.05
198008,0.11,-0.23
198009,0.74,0.05
198010,1.13,-0.12
198011,0.91,-1.19
198012,2.01,-0.32
198101,2.03,-0.67
198102,2.02,-0.19
198103,2.16,0.13
198104,1.11,-0.37
198105,2.14,0.65
198106,0.77,-0.31
198107,0.15,-0.24
198108,0.03,-0.31
198109,0.79,0.10
198110,2.45,1.20
198111,5.48,3.38
198112,4.41,2.08
198201,1.80,-0.90
198202,1.91,-0.30
198203,2.83,0.80
198204,1.43,-0.05
198205,0.73,-0.76
198206,1.67,0.59
198207,0.60,0.21
198208,0.28,-0.06
198209,1.05,0.36
198210,2.13,0.88
198211,2.56,0.46
198212,2.72,0.39
198301,1.79,-0.91
198302,3.54,1.33
198303,4.11,2.08
198304,1.95,0.47
198305,1.27,-0.22
198306,0.69,-0.39
198307,0.27,-0.12
198308,1.17,0.83
198309,0.72,0.03
198310,0.96,-0.29
198311,4.01,1.91
198312,6.19,3.86
198401,0.35,-2.35
198402,1.98,-0.23
198403,2.04,0.01
198404,1.68,0.20
198405,1.02,-0.47
198406,1.71,0.63
198407,0.39,0.00
198408,0.94,0.60
198409,0.37,-0.32
198410,2.20,0.95
198411,4.33,2.23
198412,1.15,-1.18
198501,0.61,-2.09
198502,1.41,-0.80
198503,1.63,-0.40
198504,0.52,-0.96
198505,0.97,-0.52
198506,0.27,-0.81
198507,0.26,-0.13
198508,0.07,-0.27
198509,2.52,1.83
198510,0.56,-0.69
198511,2.71,0.61
198512,0.98,-1.35
198601,1.97,-0.73
198602,6.91,4.70
198603,3.03,1.00
198604,2.01,0.53
198605,2.10,0.61
198606,0.39,-0.69
198607,0.24,-0.15
198608,0.02,-0.32
198609,2.46,1.77
198610,0.63,-0.62
198611,0.94,-1.16
198612,0.84,-1.49
198701,1.93,-0.77
198702,1.47,-0.74
198703,2.11,0.08
198704,0.99,-0.49
198705,1.31,-0.18
198706,1.02,-0.06
198707,1.63,1.24
198708,0.04,-0.30
198709,0.02,-0.67
198710,0.16,-1.09
198711,1.25,-0.85
198712,3.03,0.70
198801,3.06,0.36
198802,0.41,-1.80
198803,1.13,-0.90
198804,2.82,1.34
198805,1.45,-0.04
198806,0.55,-0.53
198807,0.18,-0.21
198808,0.13,-0.21
198809,0.49,-0.20
198810,0.05,-1.20
198811,4.70,2.60
198812,1.72,-0.61
198901,2.35,-0.35
198902,1.09,-1.12
198903,3.89,1.86
198904,1.15,-0.33
198905,1.63,0.14
198906,0.59,-0.49
198907,0.01,-0.38
198908,0.93,0.59
198909,1.58,0.89
198910,1.32,0.07
198911,1.43,-0.67
198912,0.35,-1.98
199001,2.27,-0.43
199002,1.61,-0.60
199003,1.81,-0.22
199004,1.23,-0.25
199005,2.39,0.90
199006,0.52,-0.56
199007,0.37,-0.02
199008,0.85,0.51
199009,0.31,-0.38
199010,0.67,-0.58
199011,1.15,-0.95
199012,0.88,-1.45
199101,0.99,-1.71
199102,0.81,-1.40
199103,3.77,1.74
199104,2.24,0.76
199105,3.12,1.63
199106,0.89,-0.19
199107,0.32,-0.07
199108,0.37,0.03
199109,0.08,-0.61
199110,1.11,-0.14
199111,1.65,-0.45
199112,1.01,-1.32
199201,0.47,-2.23
199202,1.01,-1.20
199203,1.58,-0.45
199204,1.00,-0.48
199205,0.29,-1.20
199206,1.87,0.79
199207,0.20,-0.19
199208,0.11,-0.23
199209,0.10,-0.59
199210,2.47,1.22
199211,1.25,-0.85
199212,3.54,1.21
199301,4.29,1.59
199302,2.18,-0.03
199303,2.47,0.44
199304,2.50,1.02
199305,1.89,0.40
199306,2.10,1.02
199307,0.30,-0.09
199308,0.93,0.59
199309,0.49,-0.20
199310,1.40,0.15
199311,0.93,-1.17
199312,1.71,-0.62
199401,0.70,-2.00
