Glenn County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193309,0.03,-0.35
193310,1.23,-0.11
193311,0.00,-3.06
193312,9.82,5.11
193401,1.71,-3.45
193402,4.55,-0.11
193403,0.96,-2.56
193404,1.14,-0.54
193405,0.66,-0.19
193406,0.43,0.02
193407,0.00,-0.03
193408,0.00,-0.07
193409,0.02,-0.36
193410,1.91,0.57
193411,4.91,1.85
193412,2.44,-2.27
193501,6.91,1.75
193502,3.52,-1.14
193503,4.08,0.56
193504,4.56,2.88
193505,0.18,-0.67
193506,0.00,-0.41
193507,0.03,0.00
193508,0.00,-0.07
193509,0.30,-0.08
193510,1.22,-0.12
193511,1.71,-1.35
193512,3.23,-1.48
193601,5.36,0.20
193602,7.25,2.59
193603,1.90,-1.62
193604,2.47,0.79
193605,0.58,-0.27
193606,1.47,1.06
193607,0.03,0.00
193608,0.00,-0.07
193609,0.48,0.10
193610,0.16,-1.18
193611,0.02,-3.04
193612,2.49,-2.22
193701,3.17,-1.99
193702,8.10,3.44
193703,6.37,2.85
193704,0.83,-0.85
193705,0.02,-0.83
193706,1.22,0.81
193707,0.02,-0.01
193708,0.00,-0.07
193709,0.01,-0.37
193710,2.05,0.71
193711,6.70,3.64
193712,6.55,1.84
193801,5.05,-0.11
193802,9.04,4.38
193803,7.73,4.21
193804,2.12,0.44
193805,0.24,-0.61
193806,0.01,-0.40
193807,0.00,-0.03
193808,0.00,-0.07
193809,0.72,0.34
193810,1.99,0.65
193811,1.54,-1.52
193812,1.49,-3.22
193901,1.91,-3.25
193902,0.87,-3.79
193903,1.71,-1.81
193904,0.09,-1.59
193905,1.08,0.23
193906,0.02,-0.39
193907,0.00,-0.03
193908,0.00,-0.07
193909,0.70,0.32
193910,0.78,-0.56
193911,0.28,-2.78
193912,3.43,-1.28
194001,10.09,4.93
194002,10.41,5.75
194003,3.47,-0.05
194004,1.39,-0.29
194005,1.48,0.63
194006,0.13,-0.28
194007,0.01,-0.02
194008,0.07,0.00
194009,0.37,-0.01
194010,2.55,1.21
194011,1.86,-1.20
194012,14.15,9.44
194101,11.16,6.00
194102,11.94,7.28
194103,6.15,2.63
194104,5.49,3.81
194105,1.02,0.17
194106,0.22,-0.19
194107,0.00,-0.03
194108,0.02,-0.05
194109,0.02,-0.36
194110,1.97,0.63
194111,2.79,-0.27
194112,9.10,4.39
194201,5.52,0.36
194202,6.11,1.45
194203,2.39,-1.13
194204,5.82,4.14
194205,0.89,0.04
194206,0.23,-0.18
194207,0.00,-0.03
194208,0.00,-0.07
194209,0.37,-0.01
194210,0.50,-0.84
194211,2.84,-0.22
194212,5.23,0.52
194301,7.54,2.38
194302,1.56,-3.10
194303,3.24,-0.28
194304,2.51,0.83
194305,0.10,-0.75
194306,0.18,-0.23
194307,0.08,0.05
194308,0.00,-0.07
194309,0.00,-0.38
194310,0.95,-0.39
194311,0.84,-2.22
194312,2.85,-1.86
194401,4.48,-0.68
194402,4.75,0.09
194403,1.35,-2.17
194404,3.03,1.35
194405,0.90,0.05
194406,0.46,0.05
194407,0.00,-0.03
194408,0.00,-0.07
194409,0.00,-0.38
194410,1.32,-0.02
194411,4.39,1.33
194412,5.04,0.33
194501,2.58,-2.58
194502,2.92,-1.74
194503,4.30,0.78
194504,0.10,-1.58
194505,1.55,0.70
194506,0.75,0.34
194507,0.00,-0.03
194508,0.03,-0.04
194509,0.00,-0.38
194510,4.44,3.10
194511,3.22,0.16
194512,10.29,5.58
194601,1.21,-3.95
194602,1.72,-2.94
194603,1.70,-1.82
194604,0.33,-1.35
194605,0.37,-0.48
194606,0.00,-0.41
194607,0.22,0.19
194608,0.00,-0.07
194609,0.08,-0.30
194610,0.26,-1.08
194611,2.96,-0.10
194612,4.26,-0.45
194701,0.63,-4.53
194702,3.96,-0.70
194703,3.76,0.24
194704,0.46,-1.22
194705,0.53,-0.32
194706,0.76,0.35
194707,0.00,-0.03
194708,0.05,-0.02
194709,0.00,-0.38
194710,3.97,2.63
194711,1.02,-2.04
194712,1.92,-2.79
194801,1.44,-3.72
194802,1.29,-3.37
194803,3.77,0.25
194804,6.88,5.20
194805,2.29,1.44
194806,1.24,0.83
194807,0.03,0.00
194808,0.00,-0.07
194809,0.67,0.29
194810,0.98,-0.36
194811,0.66,-2.40
194812,5.93,1.22
194901,0.78,-4.38
194902,2.00,-2.66
194903,11.16,7.64
194904,0.02,-1.66
194905,1.60,0.75
194906,0.01,-0.40
194907,0.03,0.00
194908,0.00,-0.07
194909,0.01,-0.37
194910,0.03,-1.31
194911,1.31,-1.75
194912,1.60,-3.11
195001,5.70,0.54
195002,4.21,-0.45
195003,1.74,-1.78
195004,0.55,-1.13
195005,0.30,-0.55
195006,0.36,-0.05
195007,0.00,-0.03
195008,0.02,-0.05
195009,0.29,-0.09
195010,3.78,2.44
195011,3.59,0.53
195012,6.57,1.86
195101,4.47,-0.69
195102,2.91,-1.75
195103,0.58,-2.94
195104,0.87,-0.81
195105,1.95,1.10
195106,0.00,-0.41
195107,0.00,-0.03
195108,0.08,0.01
195109,0.02,-0.36
195110,2.34,1.00
195111,4.26,1.20
195112,7.46,2.75
195201,8.98,3.82
195202,2.23,-2.43
195203,4.37,0.85
195204,1.29,-0.39
195205,0.42,-0.43
195206,1.19,0.78
195207,0.14,0.11
195208,0.03,-0.04
195209,0.01,-0.37
195210,0.25,-1.09
195211,2.78,-0.28
195212,14.54,9.83
195301,4.81,-0.35
195302,0.10,-4.56
195303,1.93,-1.59
195304,2.43,0.75
195305,1.29,0.44
195306,0.60,0.19
195307,0.00,-0.03
