Del Norte County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198701,13.00,-0.90
198702,6.99,-4.63
198703,12.40,2.36
198704,1.32,-4.40
198705,1.89,-1.82
198706,0.39,-1.12
198707,0.49,0.12
198708,0.01,-0.51
198709,0.02,-1.76
198710,0.21,-5.32
198711,7.36,-4.53
198712,20.87,7.47
198801,13.82,-0.08
198802,0.65,-10.97
198803,3.77,-6.27
198804,5.07,-0.65
198805,4.48,0.77
198806,4.77,3.26
198807,0.04,-0.33
198808,0.01,-0.51
198809,0.42,-1.36
198810,0.53,-5.00
198811,21.36,9.47
198812,8.95,-4.45
198901,8.57,-5.33
198902,5.28,-6.34
198903,18.98,8.94
198904,4.44,-1.28
198905,3.48,-0.23
198906,1.10,-0.41
198907,0.28,-0.09
198908,0.52,0.00
198909,1.38,-0.40
198910,6.35,0.82
198911,3.18,-8.71
198912,3.23,-10.17
199001,14.86,0.96
199002,9.02,-2.60
199003,5.91,-4.13
199004,2.96,-2.76
199005,8.79,5.08
199006,2.03,0.52
199007,0.81,0.44
199008,2.15,1.63
199009,0.24,-1.54
199010,4.81,-0.72
199011,5.26,-6.63
199012,4.55,-8.85
199101,7.93,-5.97
199102,4.85,-6.77
199103,13.29,3.25
199104,4.80,-0.92
199105,3.80,0.09
199106,0.52,-0.99
199107,1.20,0.83
199108,1.23,0.71
199109,0.01,-1.77
199110,3.30,-2.23
199111,6.01,-5.88
199112,4.78,-8.62
199201,6.53,-7.37
199202,9.69,-1.93
199203,5.17,-4.87
199204,8.92,3.20
199205,0.18,-3.53
199206,2.54,1.03
199207,0.57,0.20
199208,0.04,-0.48
199209,0.64,-1.14
199210,5.04,-0.49
199211,7.35,-4.54
199212,18.71,5.31
199301,12.46,-1.44
199302,10.08,-1.54
199303,11.27,1.23
199304,14.07,8.35
199305,8.90,5.19
199306,2.51,1.00
199307,1.07,0.70
199308,0.77,0.25
199309,0.05,-1.73
199310,1.55,-3.98
199311,3.03,-8.86
199312,12.61,-0.79
199401,9.77,-4.13
