Santa Cruz County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195410,0.10,-1.33
195411,5.22,1.65
195412,7.12,1.12
195501,7.20,0.01
195502,2.75,-3.50
195503,0.48,-4.55
195504,3.89,1.69
195505,0.66,-0.16
195506,0.00,-0.21
195507,0.01,-0.01
195508,0.01,-0.04
195509,0.00,-0.28
195510,0.06,-1.37
195511,3.07,-0.50
195512,24.49,18.49
195601,10.47,3.28
195602,3.40,-2.85
195603,0.26,-4.77
195604,2.97,0.77
195605,1.22,0.40
195606,0.01,-0.20
195607,0.08,0.06
195608,0.04,-0.01
195609,0.37,0.09
195610,2.43,1.00
195611,0.03,-3.54
195612,1.11,-4.89
195701,5.99,-1.20
195702,6.76,0.51
195703,2.74,-2.29
195704,2.29,0.09
195705,4.05,3.23
195706,0.13,-0.08
195707,0.03,0.01
195708,0.02,-0.03
195709,0.66,0.38
195710,3.81,2.38
195711,1.13,-2.44
195712,6.28,0.28
195801,7.45,0.26
195802,14.58,8.33
195803,10.52,5.49
195804,7.46,5.26
195805,0.51,-0.31
195806,0.33,0.12
195807,0.06,0.04
195808,0.02,-0.03
195809,0.30,0.02
195810,0.05,-1.38
195811,0.46,-3.11
195812,1.38,-4.62
195901,11.06,3.87
195902,8.74,2.49
195903,0.73,-4.30
195904,0.80,-1.40
195905,0.04,-0.78
195906,0.00,-0.21
195907,0.00,-0.02
195908,0.05,0.00
195909,1.37,1.09
195910,0.01,-1.42
195911,0.00,-3.57
195912,1.17,-4.83
196001,7.58,0.39
196002,7.50,1.25
196003,2.05,-2.98
196004,1.96,-0.24
196005,0.55,-0.27
196006,0.01,-0.20
196007,0.02,0.00
196008,0.00,-0.05
196009,0.03,-0.25
196010,0.31,-1.12
196011,5.77,2.20
196012,2.03,-3.97
196101,3.63,-3.56
196102,1.68,-4.57
196103,4.22,-0.81
196104,1.41,-0.79
196105,0.94,0.12
196106,0.18,-0.03
196107,0.01,-0.01
196108,0.09,0.04
196109,0.21,-0.07
196110,0.14,-1.29
196111,4.27,0.70
196112,2.85,-3.15
196201,3.54,-3.65
196202,14.07,7.82
