Mariposa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196710,0.25,-1.31
196711,3.41,-0.02
196712,3.91,-1.28
196801,3.47,-2.90
196802,3.51,-2.28
196803,3.20,-2.12
196804,1.00,-1.73
196805,1.04,-0.27
196806,0.24,-0.16
196807,0.10,0.01
196808,0.29,0.20
196809,0.01,-0.51
196810,2.25,0.69
196811,4.85,1.42
196812,9.00,3.81
196901,19.79,13.42
196902,12.45,6.66
196903,3.95,-1.37
196904,4.08,1.35
196905,0.26,-1.05
196906,0.71,0.31
196907,0.10,0.01
196908,0.02,-0.07
196909,0.15,-0.37
196910,3.45,1.89
196911,2.18,-1.25
196912,4.88,-0.31
197001,11.64,5.27
197002,3.00,-2.79
197003,3.98,-1.34
197004,1.53,-1.20
197005,0.00,-1.31
197006,1.47,1.07
197007,0.01,-0.08
197008,0.00,-0.09
197009,0.00,-0.52
197010,0.67,-0.89
197011,8.06,4.63
197012,7.99,2.80
197101,2.25,-4.12
197102,1.10,-4.69
197103,3.59,-1.73
197104,1.01,-1.72
197105,3.05,1.74
197106,0.15,-0.25
197107,0.08,-0.01
197108,0.20,0.11
197109,0.72,0.20
197110,0.43,-1.13
197111,4.42,0.99
197112,8.88,3.69
197201,1.59,-4.78
197202,1.79,-4.00
197203,0.04,-5.28
197204,3.59,0.86
197205,0.24,-1.07
197206,0.54,0.14
197207,0.01,-0.08
197208,0.22,0.13
197209,0.95,0.43
197210,1.04,-0.52
197211,5.76,2.33
197212,4.33,-0.86
197301,6.97,0.60
197302,9.62,3.83
197303,5.64,0.32
197304,0.60,-2.13
197305,0.76,-0.55
197306,0.22,-0.18
197307,0.01,-0.08
197308,0.21,0.12
197309,0.05,-0.47
197310,2.80,1.24
197311,7.13,3.70
197312,6.89,1.70
197401,5.11,-1.26
197402,1.08,-4.71
197403,7.53,2.21
197404,4.24,1.51
197405,0.31,-1.00
197406,0.02,-0.38
197407,0.65,0.56
197408,0.01,-0.08
197409,0.00,-0.52
197410,2.66,1.10
197411,1.63,-1.80
197412,4.80,-0.39
