Colusa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194911,1.14,-1.40
194912,1.71,-2.45
195001,4.26,-0.20
195002,4.06,-0.02
195003,1.54,-1.50
195004,0.87,-0.45
195005,0.39,-0.28
195006,0.26,-0.03
195007,0.00,-0.01
195008,0.00,-0.04
195009,0.26,-0.01
195010,3.11,2.00
195011,3.78,1.24
195012,6.43,2.27
195101,3.48,-0.98
195102,2.51,-1.57
195103,0.73,-2.31
195104,0.90,-0.42
195105,1.53,0.86
195106,0.00,-0.29
195107,0.00,-0.01
195108,0.00,-0.04
195109,0.02,-0.25
195110,2.05,0.94
195111,3.58,1.04
195112,7.66,3.50
195201,8.08,3.62
195202,1.81,-2.27
195203,3.58,0.54
195204,1.01,-0.31
195205,0.27,-0.40
195206,0.94,0.65
195207,0.03,0.02
195208,0.00,-0.04
195209,0.02,-0.25
195210,0.15,-0.96
195211,1.74,-0.80
195212,9.92,5.76
195301,3.70,-0.76
195302,0.03,-4.05
195303,2.19,-0.85
195304,2.28,0.96
195305,0.83,0.16
195306,0.54,0.25
195307,0.00,-0.01
195308,0.26,0.22
195309,0.00,-0.27
195310,0.66,-0.45
195311,3.13,0.59
195312,0.53,-3.63
195401,4.39,-0.07
195402,2.85,-1.23
195403,3.84,0.80
195404,1.92,0.60
195405,0.15,-0.52
195406,0.52,0.23
195407,0.01,0.00
195408,0.34,0.30
195409,0.01,-0.26
195410,0.24,-0.87
195411,4.24,1.70
195412,4.39,0.23
195501,2.13,-2.33
195502,0.70,-3.38
195503,0.55,-2.49
195504,2.47,1.15
195505,0.09,-0.58
195506,0.01,-0.28
195507,0.00,-0.01
195508,0.00,-0.04
195509,0.28,0.01
195510,0.33,-0.78
195511,2.16,-0.38
195512,12.22,8.06
195601,6.69,2.23
195602,3.68,-0.40
195603,0.10,-2.94
195604,1.92,0.60
195605,0.83,0.16
195606,0.21,-0.08
195607,0.01,0.00
195608,0.00,-0.04
195609,0.30,0.03
195610,1.28,0.17
195611,0.09,-2.45
195612,0.11,-4.05
195701,3.65,-0.81
195702,3.78,-0.30
195703,1.67,-1.37
195704,1.59,0.27
195705,1.24,0.57
195706,0.02,-0.27
195707,0.00,-0.01
195708,0.00,-0.04
195709,1.32,1.05
195710,4.25,3.14
195711,0.43,-2.11
195712,3.64,-0.52
195801,5.48,1.02
195802,11.59,7.51
195803,5.42,2.38
195804,3.28,1.96
195805,1.04,0.37
195806,0.61,0.32
195807,0.08,0.07
195808,0.08,0.04
195809,0.07,-0.20
195810,0.15,-0.96
195811,0.19,-2.35
195812,1.33,-2.83
195901,5.48,1.02
195902,5.18,1.10
195903,0.42,-2.62
195904,0.37,-0.95
195905,0.03,-0.64
195906,0.00,-0.29
195907,0.00,-0.01
195908,0.04,0.00
195909,1.39,1.12
195910,0.00,-1.11
195911,0.00,-2.54
195912,1.90,-2.26
196001,4.55,0.09
196002,4.65,0.57
196003,2.67,-0.37
196004,1.31,-0.01
196005,0.93,0.26
196006,0.00,-0.29
196007,0.03,0.02
196008,0.00,-0.04
196009,0.01,-0.26
196010,0.36,-0.75
196011,4.21,1.67
196012,3.26,-0.90
196101,4.01,-0.45
196102,2.18,-1.90
196103,2.61,-0.43
196104,0.75,-0.57
196105,0.45,-0.22
196106,0.29,0.00
196107,0.00,-0.01
196108,0.16,0.12
196109,0.39,0.12
196110,0.18,-0.93
196111,3.35,0.81
196112,3.24,-0.92
196201,1.08,-3.38
196202,7.30,3.22
196203,2.96,-0.08
196204,0.20,-1.12
196205,0.32,-0.35
196206,0.09,-0.20
196207,0.00,-0.01
196208,0.03,-0.01
196209,0.18,-0.09
196210,5.76,4.65
196211,0.80,-1.74
196212,3.05,-1.11
196301,3.60,-0.86
196302,3.81,-0.27
196303,3.81,0.77
196304,3.95,2.63
196305,0.71,0.04
196306,0.20,-0.09
196307,0.00,-0.01
196308,0.00,-0.04
196309,0.07,-0.20
196310,1.67,0.56
196311,5.07,2.53
