San Luis Obispo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198305,0.31,-0.09
198306,0.00,-0.04
198307,0.00,-0.01
198308,0.21,0.19
198309,0.45,0.27
198310,1.23,0.57
198311,3.11,1.58
198312,4.60,1.76
198401,0.23,-3.48
198402,0.47,-3.12
198403,0.69,-2.21
198404,0.64,-0.63
198405,0.00,-0.40
198406,0.03,-0.01
198407,0.02,0.01
198408,0.02,0.00
198409,0.06,-0.12
198410,0.72,0.06
198411,2.98,1.45
198412,3.55,0.71
198501,0.78,-2.93
198502,1.35,-2.24
198503,2.25,-0.65
198504,0.17,-1.10
198505,0.01,-0.39
198506,0.02,-0.02
198507,0.04,0.03
198508,0.01,-0.01
198509,0.14,-0.04
198510,0.57,-0.09
198511,3.60,2.07
198512,1.17,-1.67
198601,2.17,-1.54
198602,6.87,3.28
198603,4.95,2.05
198604,0.51,-0.76
198605,0.05,-0.35
198606,0.00,-0.04
198607,0.05,0.04
198608,0.00,-0.02
198609,0.63,0.45
198610,0.03,-0.63
198611,0.45,-1.08
198612,1.12,-1.72
198701,2.19,-1.52
198702,2.16,-1.43
198703,3.23,0.33
198704,0.24,-1.03
198705,0.09,-0.31
198706,0.07,0.03
198707,0.00,-0.01
198708,0.00,-0.02
198709,0.00,-0.18
198710,1.91,1.25
198711,2.37,0.84
198712,3.90,1.06
198801,2.29,-1.42
198802,2.27,-1.32
198803,0.52,-2.38
198804,2.78,1.51
198805,0.16,-0.24
198806,0.09,0.05
198807,0.01,0.00
198808,0.00,-0.02
198809,0.00,-0.18
198810,0.01,-0.65
198811,1.32,-0.21
198812,4.58,1.74
198901,0.82,-2.89
198902,1.71,-1.88
198903,1.08,-1.82
198904,0.38,-0.89
198905,0.22,-0.18
198906,0.00,-0.04
198907,0.00,-0.01
198908,0.00,-0.02
198909,0.99,0.81
198910,0.81,0.15
198911,0.41,-1.12
198912,0.01,-2.83
199001,2.80,-0.91
199002,2.18,-1.41
199003,0.35,-2.55
199004,0.32,-0.95
199005,0.77,0.37
199006,0.00,-0.04
199007,0.00,-0.01
199008,0.00,-0.02
199009,0.56,0.38
199010,0.01,-0.65
199011,0.31,-1.22
199012,0.41,-2.43
199101,0.95,-2.76
199102,2.11,-1.48
199103,11.23,8.33
199104,0.21,-1.06
199105,0.01,-0.39
199106,0.15,0.11
199107,0.00,-0.01
199108,0.05,0.03
199109,0.02,-0.16
199110,0.53,-0.13
199111,0.28,-1.25
199112,3.87,1.03
199201,2.37,-1.34
199202,7.78,4.19
199203,2.89,-0.01
199204,0.08,-1.19
199205,0.01,-0.39
199206,0.05,0.01
199207,0.09,0.08
199208,0.00,-0.02
199209,0.00,-0.18
199210,1.32,0.66
199211,0.00,-1.53
199212,4.69,1.85
199301,9.29,5.58
199302,7.11,3.52
199303,3.56,0.66
199304,0.13,-1.14
199305,0.12,-0.28
199306,0.18,0.14
199307,0.00,-0.01
199308,0.00,-0.02
