Sonoma County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197811,2.09,-3.12
197812,0.76,-6.80
197901,11.95,2.83
197902,10.18,2.56
197903,4.13,-1.59
197904,2.68,-0.04
197905,0.97,-0.17
197906,0.00,-0.32
197907,0.03,0.02
197908,0.00,-0.07
197909,0.19,-0.20
197910,5.66,3.52
197911,7.31,2.10
197912,9.89,2.33
198001,9.78,0.66
198002,13.40,5.78
198003,2.28,-3.44
198004,3.02,0.30
198005,0.41,-0.73
198006,0.28,-0.04
198007,0.04,0.03
198008,0.00,-0.07
198009,0.03,-0.36
198010,0.70,-1.44
198011,0.80,-4.41
198012,7.58,0.02
198101,10.38,1.26
198102,3.78,-3.84
198103,5.10,-0.62
198104,0.37,-2.35
198105,0.78,-0.36
198106,0.00,-0.32
198107,0.05,0.04
198108,0.00,-0.07
198109,0.56,0.17
198110,4.47,2.33
198111,12.46,7.25
198112,14.09,6.53
198201,10.88,1.76
198202,6.98,-0.64
198203,9.36,3.64
198204,6.39,3.67
198205,0.01,-1.13
198206,0.08,-0.24
198207,0.01,0.00
198208,0.06,-0.01
198209,1.00,0.61
198210,5.25,3.11
198211,10.32,5.11
198212,7.26,-0.30
198301,13.06,3.94
198302,13.75,6.13
198303,20.57,14.85
198304,6.26,3.54
198305,0.77,-0.37
198306,0.02,-0.30
198307,0.02,0.01
198308,0.59,0.52
198309,0.67,0.28
198310,1.26,-0.88
198311,15.60,10.39
198312,16.24,8.68
198401,0.75,-8.37
198402,3.57,-4.05
198403,3.39,-2.33
198404,1.96,-0.76
198405,0.34,-0.80
198406,0.40,0.08
198407,0.00,-0.01
198408,0.26,0.19
198409,0.18,-0.21
198410,2.98,0.84
198411,14.34,9.13
198412,2.84,-4.72
198501,1.42,-7.70
198502,3.73,-3.89
198503,6.68,0.96
198504,0.37,-2.35
198505,0.05,-1.09
198506,0.04,-0.28
198507,0.05,0.04
198508,0.01,-0.06
198509,1.35,0.96
198510,2.01,-0.13
198511,5.73,0.52
198512,4.90,-2.66
198601,9.81,0.69
198602,20.66,13.04
198603,9.02,3.30
198604,1.04,-1.68
198605,0.66,-0.48
198606,0.01,-0.31
198607,0.00,-0.01
198608,0.00,-0.07
198609,1.77,1.38
198610,0.82,-1.32
198611,0.32,-4.89
198612,3.27,-4.29
198701,6.78,-2.34
198702,6.36,-1.26
198703,7.61,1.89
198704,0.21,-2.51
198705,0.14,-1.00
198706,0.02,-0.30
198707,0.00,-0.01
198708,0.00,-0.07
198709,0.00,-0.39
198710,1.96,-0.18
198711,4.85,-0.36
198712,11.59,4.03
198801,9.35,0.23
198802,0.65,-6.97
198803,0.19,-5.53
198804,2.66,-0.06
198805,0.95,-0.19
198806,0.56,0.24
198807,0.00,-0.01
198808,0.00,-0.07
198809,0.00,-0.39
198810,0.35,-1.79
198811,7.25,2.04
198812,4.74,-2.82
198901,1.79,-7.33
198902,1.46,-6.16
198903,12.52,6.80
198904,1.69,-1.03
198905,0.20,-0.94
198906,0.36,0.04
198907,0.00,-0.01
198908,0.01,-0.06
198909,1.84,1.45
198910,4.09,1.95
198911,2.27,-2.94
198912,0.00,-7.56
199001,7.86,-1.26
199002,4.19,-3.43
199003,2.04,-3.68
199004,0.49,-2.23
199005,5.74,4.60
199006,0.01,-0.31
199007,0.00,-0.01
199008,0.02,-0.05
199009,0.22,-0.17
199010,0.74,-1.40
199011,0.58,-4.63
199012,1.56,-6.00
199101,1.14,-7.98
199102,5.08,-2.54
199103,17.21,11.49
199104,0.70,-2.02
199105,0.27,-0.87
199106,0.71,0.39
199107,0.01,0.00
199108,0.10,0.03
199109,0.01,-0.38
199110,2.47,0.33
199111,2.06,-3.15
199112,4.56,-3.00
199201,3.08,-6.04
199202,11.89,4.27
199203,5.82,0.10
199204,2.07,-0.65
199205,0.02,-1.12
199206,1.10,0.78
199207,0.00,-0.01
199208,0.00,-0.07
199209,0.02,-0.37
199210,3.93,1.79
199211,0.82,-4.39
199212,12.94,5.38
199301,15.47,6.35
199302,9.06,1.44
199303,3.90,-1.82
199304,2.43,-0.29
199305,2.74,1.60
199306,1.24,0.92
199307,0.01,0.00
199308,0.00,-0.07
199309,0.00,-0.39
199310,1.32,-0.82
