Mono County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193705,0.08,-0.83
193706,0.18,-0.32
193707,0.73,0.26
193708,0.03,-0.47
193709,0.01,-0.52
193710,0.18,-0.62
193711,1.08,-0.40
193712,4.70,2.50
193801,1.53,-1.11
193802,5.72,3.30
193803,6.95,4.91
193804,1.62,0.51
193805,1.55,0.64
193806,1.57,1.07
193807,0.62,0.15
193808,0.19,-0.31
193809,0.72,0.19
193810,1.45,0.65
193811,0.58,-0.90
193812,0.75,-1.45
193901,2.04,-0.60
193902,1.32,-1.10
193903,2.11,0.07
193904,0.73,-0.38
193905,0.58,-0.33
193906,0.32,-0.18
193907,0.57,0.10
193908,0.51,0.01
193909,1.19,0.66
193910,1.08,0.28
193911,0.11,-1.37
193912,0.36,-1.84
194001,6.73,4.09
194002,4.69,2.27
194003,2.39,0.35
194004,0.73,-0.38
194005,0.14,-0.77
194006,0.23,-0.27
194007,0.03,-0.44
194008,0.03,-0.47
194009,0.20,-0.33
194010,0.95,0.15
194011,0.36,-1.12
194012,6.01,3.81
194101,2.48,-0.16
194102,3.87,1.45
194103,1.80,-0.24
194104,2.65,1.54
194105,0.40,-0.51
194106,0.34,-0.16
194107,0.27,-0.20
194108,0.89,0.39
194109,0.11,-0.42
194110,1.87,1.07
194111,0.72,-0.76
194112,6.65,4.45
194201,2.59,-0.05
194202,2.23,-0.19
194203,1.15,-0.89
194204,2.10,0.99
194205,1.43,0.52
194206,0.03,-0.47
194207,0.03,-0.44
194208,0.43,-0.07
194209,0.14,-0.39
194210,0.16,-0.64
194211,2.01,0.53
194212,1.82,-0.38
194301,6.06,3.42
194302,1.13,-1.29
194303,3.63,1.59
194304,1.39,0.28
194305,0.55,-0.36
194306,0.97,0.47
194307,0.22,-0.25
194308,0.01,-0.49
194309,0.23,-0.30
194310,0.45,-0.35
194311,0.63,-0.85
194312,1.83,-0.37
194401,2.03,-0.61
194402,3.42,1.00
194403,1.44,-0.60
194404,1.14,0.03
194405,0.71,-0.20
194406,0.41,-0.09
194407,0.03,-0.44
194408,0.00,-0.50
194409,0.06,-0.47
194410,0.43,-0.37
194411,3.18,1.70
194412,1.61,-0.59
194501,0.48,-2.16
194502,5.25,2.83
194503,2.86,0.82
194504,0.59,-0.52
194505,1.19,0.28
194506,0.66,0.16
194507,0.28,-0.19
194508,0.94,0.44
194509,0.36,-0.17
194510,3.35,2.55
194511,1.41,-0.07
194512,3.58,1.38
194601,0.51,-2.13
194602,0.98,-1.44
194603,2.73,0.69
194604,0.24,-0.87
194605,0.61,-0.30
194606,0.00,-0.50
194607,0.85,0.38
194608,0.37,-0.13
194609,0.58,0.05
194610,1.78,0.98
194611,4.28,2.80
194612,2.23,0.03
194701,0.29,-2.35
