Alpine County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194711,1.41,-2.39
194712,0.76,-4.94
194801,2.90,-3.70
194802,3.69,-2.24
194803,5.62,0.52
194804,7.94,5.13
194805,2.11,0.30
194806,0.65,-0.18
194807,0.00,-0.45
194808,0.01,-0.43
194809,0.34,-0.49
194810,0.73,-1.11
194811,1.63,-2.17
194812,6.50,0.80
194901,3.50,-3.10
194902,3.68,-2.25
194903,6.78,1.68
194904,0.64,-2.17
194905,4.40,2.59
194906,0.04,-0.79
194907,0.22,-0.23
194908,0.53,0.09
194909,0.13,-0.70
194910,0.76,-1.08
194911,3.06,-0.74
194912,2.21,-3.49
195001,10.54,3.94
195002,3.33,-2.60
195003,5.27,0.17
195004,4.72,1.91
195005,1.55,-0.26
195006,1.07,0.24
195007,0.25,-0.20
195008,0.18,-0.26
195009,0.80,-0.03
195010,5.31,3.47
195011,11.75,7.95
195012,13.22,7.52
195101,4.84,-1.76
195102,3.00,-2.93
195103,1.77,-3.33
195104,3.55,0.74
195105,1.83,0.02
195106,0.61,-0.22
195107,0.01,-0.44
195108,0.46,0.02
195109,0.03,-0.80
195110,2.92,1.08
195111,5.28,1.48
195112,12.03,6.33
195201,10.78,4.18
195202,4.21,-1.72
195203,8.84,3.74
195204,2.53,-0.28
195205,0.45,-1.36
195206,0.65,-0.18
195207,1.78,1.33
195208,0.37,-0.07
195209,0.96,0.13
195210,0.16,-1.68
195211,2.60,-1.20
195212,9.06,3.36
195301,6.08,-0.52
195302,0.64,-5.29
195303,4.09,-1.01
195304,4.59,1.78
195305,4.58,2.77
195306,1.31,0.48
195307,0.78,0.33
195308,1.29,0.85
195309,0.08,-0.75
195310,1.41,-0.43
195311,2.46,-1.34
195312,2.08,-3.62
195401,5.99,-0.61
195402,5.53,-0.40
195403,8.24,3.14
195404,2.20,-0.61
195405,0.21,-1.60
195406,0.76,-0.07
195407,0.19,-0.26
195408,0.01,-0.43
195409,0.00,-0.83
195410,0.03,-1.81
195411,4.21,0.41
195412,6.73,1.03
195501,4.85,-1.75
195502,3.02,-2.91
195503,0.98,-4.12
195504,4.31,1.50
195505,2.06,0.25
195506,0.39,-0.44
195507,0.30,-0.15
195508,0.03,-0.41
195509,1.13,0.30
195510,0.23,-1.61
195511,3.13,-0.67
195512,25.93,20.23
195601,10.34,3.74
195602,3.29,-2.64
195603,0.73,-4.37
195604,3.30,0.49
195605,3.98,2.17
195606,0.29,-0.54
195607,0.54,0.09
195608,0.11,-0.33
195609,0.92,0.09
195610,4.57,2.73
195611,0.12,-3.68
195612,1.77,-3.93
195701,5.48,-1.12
195702,5.83,-0.10
195703,4.79,-0.31
195704,2.81,0.00
195705,5.44,3.63
195706,0.15,-0.68
195707,0.26,-0.19
195708,0.00,-0.44
195709,0.59,-0.24
195710,2.07,0.23
195711,3.12,-0.68
195712,5.25,-0.45
195801,5.69,-0.91
195802,9.08,3.15
195803,9.75,4.65
195804,6.95,4.14
195805,1.16,-0.65
195806,1.54,0.71
195807,1.03,0.58
195808,1.31,0.87
195809,0.97,0.14
195810,0.26,-1.58
195811,1.93,-1.87
195812,2.26,-3.44
195901,6.18,-0.42
195902,8.33,2.40
195903,1.21,-3.89
195904,0.74,-2.07
195905,2.28,0.47
195906,0.01,-0.82
195907,0.10,-0.35
195908,0.30,-0.14
195909,3.39,2.56
195910,0.01,-1.83
195911,0.01,-3.79
195912,1.59,-4.11
196001,4.41,-2.19
196002,8.25,2.32
196003,4.28,-0.82
196004,1.85,-0.96
196005,0.40,-1.41
196006,0.03,-0.80
196007,0.91,0.46
196008,0.00,-0.44
196009,0.44,-0.39
196010,0.80,-1.04
196011,5.81,2.01
196012,2.91,-2.79
196101,1.27,-5.33
196102,2.85,-3.08
196103,4.58,-0.52
196104,2.39,-0.42
196105,2.79,0.98
196106,0.49,-0.34
196107,0.63,0.18
196108,1.88,1.44
196109,1.35,0.52
196110,1.25,-0.59
196111,3.34,-0.46
196112,2.05,-3.65
196201,2.87,-3.73
196202,15.76,9.83
196203,6.32,1.22
196204,0.99,-1.82
196205,2.70,0.89
196206,0.48,-0.35
196207,0.76,0.31
196208,0.41,-0.03
196209,0.34,-0.49
196210,5.69,3.85
196211,1.18,-2.62
196212,2.38,-3.32
196301,10.02,3.42
196302,6.54,0.61
196303,6.00,0.90
196304,7.75,4.94
196305,3.91,2.10
196306,2.34,1.51
196307,0.03,-0.42
196308,0.33,-0.11
196309,2.05,1.22
196310,2.57,0.73
196311,8.46,4.66
196312,0.92,-4.78
196401,4.90,-1.70
196402,0.28,-5.65
196403,3.23,-1.87
196404,1.60,-1.21
196405,4.24,2.43
196406,1.06,0.23
196407,0.26,-0.19
196408,0.34,-0.10
196409,0.09,-0.74
196410,1.18,-0.66
196411,5.91,2.11
196412,21.02,15.32
196501,7.31,0.71
196502,1.49,-4.44
196503,2.14,-2.96
196504,4.76,1.95
196505,0.59,-1.22
196506,0.81,-0.02
196507,0.72,0.27
196508,2.29,1.85
196509,1.09,0.26
196510,0.48,-1.36
196511,11.17,7.37
196512,6.30,0.60
196601,1.99,-4.61
196602,2.04,-3.89
196603,1.13,-3.97
196604,1.89,-0.92
196605,1.06,-0.75
196606,0.21,-0.62
196607,0.18,-0.27
196608,0.21,-0.23
196609,0.61,-0.22
196610,0.01,-1.83
196611,6.43,2.63
196612,10.04,4.34
196701,11.31,4.71
196702,0.42,-5.51
196703,12.66,7.56
196704,8.09,5.28
196705,1.55,-0.26
196706,1.38,0.55
196707,0.94,0.49
196708,1.11,0.67
196709,1.97,1.14
196710,1.16,-0.68
196711,3.69,-0.11
196712,3.21,-2.49
196801,5.24,-1.36
196802,4.15,-1.78
196803,4.02,-1.08
196804,0.92,-1.89
196805,1.77,-0.04
196806,0.29,-0.54
196807,0.33,-0.12
196808,1.16,0.72
196809,0.19,-0.64
196810,1.37,-0.47
196811,5.46,1.66
196812,7.94,2.24
196901,21.73,15.13
196902,10.16,4.23
196903,2.76,-2.34
196904,3.30,0.49
196905,0.80,-1.01
196906,1.87,1.04
196907,0.46,0.01
196908,0.01,-0.43
196909,0.41,-0.42
196910,2.97,1.13
196911,2.17,-1.63
196912,9.25,3.55
197001,14.30,7.70
197002,3.13,-2.80
197003,2.38,-2.72
197004,2.47,-0.34
197005,0.04,-1.77
197006,2.43,1.60
197007,0.16,-0.29
197008,0.04,-0.40
197009,0.14,-0.69
197010,0.86,-0.98
197011,10.33,6.53
197012,9.85,4.15
197101,3.28,-3.32
197102,1.15,-4.78
197103,6.41,1.31
197104,1.57,-1.24
197105,4.12,2.31
197106,0.87,0.04
197107,0.64,0.19
197108,0.68,0.24
197109,0.62,-0.21
197110,0.90,-0.94
197111,5.32,1.52
197112,9.46,3.76
197201,1.93,-4.67
197202,1.97,-3.96
197203,0.86,-4.24
197204,3.08,0.27
197205,1.11,-0.70
197206,1.33,0.50
197207,0.04,-0.41
197208,0.51,0.07
197209,1.86,1.03
197210,3.27,1.43
197211,4.54,0.74
197212,5.10,-0.60
197301,9.25,2.65
197302,7.25,1.32
197303,3.85,-1.25
197304,0.98,-1.83
197305,1.51,-0.30
197306,0.29,-0.54
197307,0.43,-0.02
197308,1.25,0.81
197309,0.16,-0.67
197310,3.01,1.17
197311,8.95,5.15
197312,8.62,2.92
197401,4.84,-1.76
197402,1.58,-4.35
197403,8.88,3.78
197404,3.69,0.88
197405,0.44,-1.37
197406,0.16,-0.67
197407,1.73,1.28
197408,0.94,0.50
197409,0.00,-0.83
197410,2.35,0.51
197411,2.44,-1.36
197412,4.14,-1.56
197501,3.18,-3.42
197502,8.49,2.56
197503,10.47,5.37
197504,4.44,1.63
197505,0.93,-0.88
197506,0.54,-0.29
197507,0.19,-0.26
197508,1.51,1.07
197509,1.10,0.27
197510,5.58,3.74
197511,2.09,-1.71
197512,0.60,-5.10
197601,1.11,-5.49
197602,3.57,-2.36
197603,2.54,-2.56
197604,1.24,-1.57
197605,0.72,-1.09
197606,0.21,-0.62
197607,1.35,0.90
197608,2.03,1.59
197609,1.88,1.05
197610,0.97,-0.87
197611,0.93,-2.87
197612,0.20,-5.50
197701,2.28,-4.32
197702,2.15,-3.78
197703,2.40,-2.70
197704,0.43,-2.38
197705,3.53,1.72
197706,1.70,0.87
197707,0.34,-0.11
197708,0.03,-0.41
197709,0.51,-0.32
197710,0.26,-1.58
197711,4.88,1.08
197712,10.84,5.14
197801,8.02,1.42
197802,6.67,0.74
197803,5.39,0.29
197804,4.38,1.57
197805,0.92,-0.89
197806,0.44,-0.39
197807,0.17,-0.28
197808,0.29,-0.15
197809,2.65,1.82
197810,0.42,-1.42
197811,3.32,-0.48
197812,3.61,-2.09
197901,7.69,1.09
197902,7.33,1.40
197903,4.99,-0.11
197904,2.25,-0.56
197905,1.81,0.00
197906,0.13,-0.70
197907,0.99,0.54
197908,0.25,-0.19
197909,0.08,-0.75
197910,3.36,1.52
197911,3.50,-0.30
197912,7.01,1.31
198001,13.08,6.48
198002,10.35,4.42
198003,4.26,-0.84
198004,3.61,0.80
198005,1.86,0.05
198006,0.89,0.06
198007,1.02,0.57
198008,0.67,0.23
198009,0.93,0.10
198010,1.04,-0.80
198011,1.17,-2.63
198012,3.06,-2.64
198101,6.95,0.35
198102,2.69,-3.24
198103,5.66,0.56
198104,2.21,-0.60
198105,1.63,-0.18
198106,0.08,-0.75
198107,0.08,-0.37
198108,0.04,-0.40
198109,0.73,-0.10
198110,4.27,2.43
198111,10.12,6.32
198112,8.99,3.29
198201,9.39,2.79
198202,6.28,0.35
198203,9.40,4.30
198204,6.04,3.23
198205,0.66,-1.15
198206,1.77,0.94
198207,0.51,0.06
198208,0.62,0.18
198209,4.20,3.37
198210,6.83,4.99
198211,8.37,4.57
198212,7.83,2.13
198301,8.08,1.48
198302,9.56,3.63
198303,9.91,4.81
198304,5.48,2.67
198305,0.93,-0.88
198306,0.70,-0.13
198307,0.11,-0.34
198308,2.05,1.61
198309,2.68,1.85
198310,1.34,-0.50
198311,14.41,10.61
198312,10.90,5.20
198401,0.74,-5.86
198402,4.63,-1.30
198403,2.81,-2.29
198404,2.40,-0.41
198405,0.79,-1.02
198406,1.73,0.90
198407,1.10,0.65
198408,0.17,-0.27
198409,0.41,-0.42
198410,3.42,1.58
198411,9.53,5.73
198412,1.82,-3.88
198501,0.98,-5.62
198502,3.67,-2.26
198503,6.75,1.65
198504,0.65,-2.16
198505,0.14,-1.67
198506,0.47,-0.36
198507,0.73,0.28
198508,0.26,-0.18
198509,2.91,2.08
198510,2.60,0.76
198511,6.35,2.55
198512,3.94,-1.76
198601,4.10,-2.50
198602,18.80,12.87
198603,6.56,1.46
198604,1.11,-1.70
198605,0.89,-0.92
198606,0.23,-0.60
198607,0.89,0.44
198608,0.11,-0.33
198609,2.00,1.17
198610,0.38,-1.46
198611,0.30,-3.50
198612,1.14,-4.56
198701,4.03,-2.57
198702,4.95,-0.98
198703,3.76,-1.34
