Tuolumne County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193807,0.35,0.18
193808,0.03,-0.16
193809,0.83,0.09
193810,4.35,2.29
193811,1.97,-2.36
193812,2.10,-4.27
193901,5.32,-2.36
193902,4.97,-2.06
193903,5.30,-1.04
193904,0.89,-2.50
193905,2.15,0.29
193906,0.35,-0.34
193907,0.08,-0.09
193908,0.10,-0.09
193909,2.58,1.84
193910,3.79,1.73
193911,0.85,-3.48
193912,1.55,-4.82
194001,17.63,9.95
194002,12.66,5.63
194003,8.39,2.05
194004,1.29,-2.10
194005,0.44,-1.42
194006,0.12,-0.57
194007,0.00,-0.17
194008,0.02,-0.17
194009,0.17,-0.57
194010,2.27,0.21
194011,1.18,-3.15
194012,15.78,9.41
194101,7.57,-0.11
194102,11.13,4.10
194103,5.87,-0.47
194104,6.19,2.80
194105,1.30,-0.56
194106,0.19,-0.50
194107,0.03,-0.14
194108,0.29,0.10
194109,0.13,-0.61
194110,1.99,-0.07
194111,3.16,-1.17
194112,15.75,9.38
194201,7.11,-0.57
194202,6.16,-0.87
194203,3.28,-3.06
194204,7.50,4.11
194205,4.87,3.01
194206,0.00,-0.69
194207,0.00,-0.17
194208,0.08,-0.11
194209,0.10,-0.64
194210,0.67,-1.39
194211,8.68,4.35
194212,5.83,-0.54
194301,13.10,5.42
194302,4.78,-2.25
194303,11.50,5.16
194304,2.77,-0.62
194305,0.82,-1.04
194306,0.93,0.24
194307,0.08,-0.09
194308,0.00,-0.19
194309,0.09,-0.65
194310,2.12,0.06
194311,1.78,-2.55
194312,3.30,-3.07
194401,6.02,-1.66
194402,8.82,1.79
194403,3.70,-2.64
194404,4.61,1.22
194405,1.48,-0.38
194406,0.64,-0.05
194407,0.02,-0.15
194408,0.00,-0.19
194409,0.22,-0.52
194410,2.45,0.39
194411,9.76,5.43
194412,4.80,-1.57
194501,1.11,-6.57
194502,11.37,4.34
194503,8.74,2.40
194504,1.09,-2.30
194505,2.37,0.51
194506,1.17,0.48
194507,0.18,0.01
194508,0.35,0.16
194509,0.43,-0.31
194510,6.60,4.54
194511,5.95,1.62
194512,11.94,5.57
194601,2.25,-5.43
194602,3.64,-3.39
194603,7.07,0.73
194604,0.32,-3.07
194605,2.06,0.20
194606,0.00,-0.69
194607,0.29,0.12
194608,0.05,-0.14
194609,0.47,-0.27
194610,2.52,0.46
194611,9.01,4.68
194612,5.65,-0.72
194701,1.75,-5.93
194702,2.83,-4.20
194703,5.63,-0.71
194704,1.51,-1.88
194705,1.29,-0.57
194706,0.57,-0.12
