Mendocino County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193809,1.14,0.48
193810,4.43,1.55
193811,4.38,-2.30
193812,6.60,-2.80
193901,6.55,-3.92
193902,4.05,-4.77
193903,4.03,-3.00
193904,0.10,-3.33
193905,2.98,1.41
193906,0.12,-0.38
193907,0.01,-0.03
193908,0.00,-0.13
193909,0.23,-0.43
193910,0.72,-2.16
193911,0.66,-6.02
193912,12.17,2.77
194001,14.12,3.65
194002,19.22,10.40
194003,8.94,1.91
194004,1.83,-1.60
194005,2.27,0.70
194006,0.30,-0.20
194007,0.00,-0.04
194008,0.04,-0.09
194009,1.14,0.48
194010,3.68,0.80
194011,3.34,-3.34
194012,19.98,10.58
194101,15.70,5.23
194102,13.65,4.83
194103,8.72,1.69
194104,8.12,4.69
194105,3.40,1.83
194106,1.27,0.77
194107,0.01,-0.03
194108,0.03,-0.10
194109,0.20,-0.46
194110,2.33,-0.55
194111,6.09,-0.59
194112,19.62,10.22
194201,9.90,-0.57
194202,11.50,2.68
194203,2.83,-4.20
194204,8.80,5.37
194205,3.94,2.37
194206,0.06,-0.44
194207,0.01,-0.03
194208,0.00,-0.13
194209,0.20,-0.46
194210,1.35,-1.53
194211,9.05,2.37
194212,10.37,0.97
194301,14.39,3.92
194302,3.28,-5.54
194303,5.83,-1.20
194304,4.30,0.87
194305,0.97,-0.60
194306,0.52,0.02
194307,0.00,-0.04
194308,0.01,-0.12
194309,0.03,-0.63
194310,2.93,0.05
194311,2.61,-4.07
194312,3.58,-5.82
194401,8.55,-1.92
194402,5.99,-2.83
194403,3.79,-3.24
194404,3.86,0.43
194405,1.71,0.14
194406,1.24,0.74
194407,0.01,-0.03
194408,0.01,-0.12
194409,0.05,-0.61
194410,3.32,0.44
194411,11.61,4.93
194412,8.25,-1.15
194501,3.22,-7.25
194502,7.09,-1.73
194503,7.89,0.86
194504,1.14,-2.29
194505,2.97,1.40
194506,0.07,-0.43
194507,0.00,-0.04
194508,0.02,-0.11
194509,0.07,-0.59
194510,7.67,4.79
194511,10.53,3.85
194512,19.26,9.86
194601,4.88,-5.59
194602,5.33,-3.49
194603,3.50,-3.53
194604,0.32,-3.11
194605,0.49,-1.08
194606,0.04,-0.46
194607,0.23,0.19
194608,0.00,-0.13
194609,0.34,-0.32
194610,1.12,-1.76
194611,7.67,0.99
194612,4.44,-4.96
194701,2.70,-7.77
194702,5.16,-3.66
194703,9.21,2.18
194704,1.44,-1.99
194705,0.40,-1.17
194706,1.86,1.36
194707,0.03,-0.01
194708,0.06,-0.07
194709,0.04,-0.62
194710,9.01,6.13
194711,1.53,-5.15
194712,2.76,-6.64
194801,6.53,-3.94
194802,4.59,-4.23
194803,6.93,-0.10
194804,11.23,7.80
194805,2.14,0.57
194806,0.71,0.21
194807,0.06,0.02
194808,0.02,-0.11
194809,1.87,1.21
194810,1.79,-1.09
194811,3.75,-2.93
194812,8.46,-0.94
194901,1.96,-8.51
194902,7.67,-1.15
194903,13.30,6.27
194904,0.24,-3.19
194905,1.39,-0.18
194906,0.10,-0.40
194907,0.17,0.13
194908,0.06,-0.07
194909,0.04,-0.62
194910,0.61,-2.27
194911,3.72,-2.96
194912,3.50,-5.90
195001,14.72,4.25
195002,6.22,-2.60
195003,7.81,0.78
195004,2.50,-0.93
195005,1.53,-0.04
195006,0.50,0.00
195007,0.00,-0.04
195008,0.01,-0.12
195009,0.39,-0.27
195010,10.72,7.84
195011,6.52,-0.16
195012,10.43,1.03
195101,12.80,2.33
195102,8.13,-0.69
195103,2.90,-4.13
195104,2.23,-1.20
195105,2.27,0.70
195106,0.01,-0.49
195107,0.00,-0.04
195108,0.07,-0.06
195109,0.16,-0.50
195110,4.12,1.24
195111,9.83,3.15
195112,18.89,9.49
195201,14.08,3.61
195202,7.54,-1.28
195203,6.15,-0.88
195204,1.60,-1.83
195205,1.13,-0.44
195206,1.96,1.46
195207,0.04,0.00
195208,0.01,-0.12
195209,0.04,-0.62
195210,0.39,-2.49
195211,4.59,-2.09
195212,22.24,12.84
195301,17.42,6.95
195302,0.79,-8.03
195303,7.38,0.35
195304,5.02,1.59
195305,3.30,1.73
195306,1.43,0.93
195307,0.00,-0.04
195308,0.67,0.54
195309,0.01,-0.65
195310,2.49,-0.39
195311,8.38,1.70
195312,3.61,-5.79
195401,17.79,7.32
195402,6.36,-2.46
195403,7.01,-0.02
195404,5.95,2.52
195405,0.04,-1.53
195406,1.70,1.20
195407,0.01,-0.03
195408,0.97,0.84
195409,0.23,-0.43
195410,1.57,-1.31
195411,7.65,0.97
195412,10.04,0.64
195501,5.37,-5.10
195502,2.64,-6.18
195503,1.62,-5.41
195504,6.24,2.81
195505,0.01,-1.56
195506,0.04,-0.46
195507,0.01,-0.03
195508,0.00,-0.13
195509,0.64,-0.02
195510,1.14,-1.74
195511,7.83,1.15
195512,26.12,16.72
195601,19.95,9.48
195602,12.44,3.62
195603,1.52,-5.51
195604,1.49,-1.94
195605,1.68,0.11
195606,0.33,-0.17
195607,0.03,-0.01
195608,0.00,-0.13
195609,0.08,-0.58
195610,5.95,3.07
195611,0.33,-6.35
195612,1.77,-7.63
195701,8.29,-2.18
195702,9.42,0.60
195703,7.96,0.93
195704,3.29,-0.14
195705,5.83,4.26
195706,0.05,-0.45
195707,0.12,0.08
195708,0.00,-0.13
195709,2.93,2.27
195710,8.94,6.06
195711,3.86,-2.82
195712,9.04,-0.36
195801,12.76,2.29
195802,26.27,17.45
195803,10.19,3.16
195804,7.81,4.38
195805,1.28,-0.29
195806,1.59,1.09
195807,0.16,0.12
195808,0.04,-0.09
195809,0.16,-0.50
195810,0.45,-2.43
195811,2.84,-3.84
195812,3.78,-5.62
195901,15.32,4.85
195902,10.44,1.62
195903,3.33,-3.70
195904,0.75,-2.68
195905,0.34,-1.23
195906,0.01,-0.49
195907,0.00,-0.04
195908,0.12,-0.01
195909,2.73,2.07
195910,0.36,-2.52
195911,0.10,-6.58
195912,3.25,-6.15
196001,9.37,-1.10
196002,14.76,5.94
196003,10.19,3.16
196004,2.28,-1.15
196005,3.59,2.02
196006,0.00,-0.50
196007,0.01,-0.03
196008,0.00,-0.13
196009,0.01,-0.65
196010,1.31,-1.57
196011,9.46,2.78
196012,9.56,0.16
196101,6.24,-4.23
196102,8.10,-0.72
196103,10.05,3.02
196104,3.11,-0.32
196105,2.32,0.75
196106,0.11,-0.39
196107,0.00,-0.04
196108,0.31,0.18
196109,0.33,-0.33
196110,1.69,-1.19
196111,8.88,2.20
196112,5.44,-3.96
196201,3.84,-6.63
196202,12.68,3.86
196203,7.75,0.72
196204,1.35,-2.08
196205,0.79,-0.78
196206,0.02,-0.48
196207,0.00,-0.04
196208,0.84,0.71
196209,1.01,0.35
196210,11.71,8.83
196211,4.58,-2.10
