Contra Costa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195912,1.41,-1.80
196001,3.71,-0.38
196002,3.88,0.51
196003,1.68,-1.08
196004,0.91,-0.31
196005,0.71,0.17
196006,0.00,-0.13
196007,0.01,0.00
196008,0.00,-0.03
196009,0.01,-0.18
196010,0.20,-0.68
196011,3.73,1.67
196012,1.14,-2.07
196101,2.79,-1.30
196102,1.04,-2.33
196103,2.39,-0.37
196104,0.98,-0.24
196105,0.53,-0.01
196106,0.04,-0.09
196107,0.00,-0.01
196108,0.09,0.06
196109,0.26,0.07
196110,0.12,-0.76
196111,3.23,1.17
196112,1.77,-1.44
196201,1.13,-2.96
196202,7.33,3.96
196203,2.26,-0.50
196204,0.25,-0.97
196205,0.02,-0.52
196206,0.00,-0.13
196207,0.00,-0.01
196208,0.06,0.03
196209,0.06,-0.13
196210,4.92,4.04
196211,0.50,-1.56
196212,2.30,-0.91
196301,3.22,-0.87
196302,3.57,0.20
196303,3.49,0.73
196304,4.09,2.87
196305,0.55,0.01
196306,0.03,-0.10
196307,0.00,-0.01
196308,0.01,-0.02
196309,0.21,0.02
196310,1.39,0.51
196311,3.65,1.59
196312,0.41,-2.80
196401,3.65,-0.44
196402,0.11,-3.26
196403,1.54,-1.22
196404,0.23,-0.99
196405,0.34,-0.20
196406,0.56,0.43
196407,0.01,0.00
196408,0.08,0.05
196409,0.00,-0.19
196410,1.38,0.50
196411,3.00,0.94
196412,5.79,2.58
196501,3.60,-0.49
196502,0.75,-2.62
196503,1.64,-1.12
196504,2.89,1.67
196505,0.01,-0.53
196506,0.00,-0.13
196507,0.01,0.00
196508,0.21,0.18
196509,0.00,-0.19
196510,0.06,-0.82
196511,4.53,2.47
196512,3.42,0.21
196601,2.56,-1.53
196602,2.11,-1.26
196603,0.38,-2.38
196604,0.46,-0.76
196605,0.23,-0.31
196606,0.07,-0.06
196607,0.04,0.03
196608,0.11,0.08
196609,0.12,-0.07
196610,0.00,-0.88
196611,4.41,2.35
196612,3.47,0.26
196701,8.64,4.55
196702,0.33,-3.04
196703,4.61,1.85
196704,4.49,3.27
196705,0.15,-0.39
196706,0.62,0.49
196707,0.00,-0.01
196708,0.00,-0.03
196709,0.03,-0.16
196710,0.42,-0.46
196711,1.12,-0.94
196712,2.07,-1.14
196801,4.99,0.90
196802,2.02,-1.35
196803,2.57,-0.19
196804,0.43,-0.79
196805,0.23,-0.31
196806,0.00,-0.13
196807,0.00,-0.01
196808,0.15,0.12
196809,0.01,-0.18
196810,0.51,-0.37
196811,2.73,0.67
196812,3.83,0.62
196901,7.96,3.87
196902,6.51,3.14
196903,1.23,-1.53
196904,1.50,0.28
196905,0.02,-0.52
196906,0.03,-0.10
196907,0.00,-0.01
196908,0.00,-0.03
196909,0.04,-0.15
196910,1.67,0.79
196911,0.70,-1.36
196912,4.93,1.72
197001,8.18,4.09
197002,1.56,-1.81
197003,1.50,-1.26
197004,0.23,-0.99
197005,0.02,-0.52
197006,0.35,0.22
197007,0.00,-0.01
197008,0.00,-0.03
197009,0.02,-0.17
197010,0.71,-0.17
197011,6.36,4.30
197012,5.92,2.71
197101,1.45,-2.64
197102,0.42,-2.95
197103,2.49,-0.27
197104,0.93,-0.29
197105,0.57,0.03
197106,0.00,-0.13
197107,0.00,-0.01
197108,0.01,-0.02
197109,0.15,-0.04
197110,0.08,-0.80
197111,1.17,-0.89
197112,3.74,0.53
197201,1.04,-3.05
197202,1.48,-1.89
197203,0.17,-2.59
197204,1.01,-0.21
197205,0.04,-0.50
197206,0.16,0.03
197207,0.00,-0.01
197208,0.00,-0.03
197209,0.66,0.47
197210,3.20,2.32
197211,5.55,3.49
197212,2.39,-0.82
197301,8.25,4.16
197302,5.51,2.14
197303,2.63,-0.13
197304,0.18,-1.04
197305,0.03,-0.51
197306,0.00,-0.13
197307,0.00,-0.01
197308,0.00,-0.03
197309,0.23,0.04
197310,1.78,0.90
197311,5.97,3.91
197312,4.29,1.08
197401,2.85,-1.24
197402,1.13,-2.24
197403,4.40,1.64
197404,2.22,1.00
197405,0.01,-0.53
197406,0.09,-0.04
197407,0.04,0.03
197408,0.00,-0.03
197409,0.00,-0.19
197410,0.95,0.07
197411,0.63,-1.43
197412,2.15,-1.06
197501,1.34,-2.75
197502,4.72,1.35
197503,5.44,2.68
197504,1.59,0.37
197505,0.01,-0.53
197506,0.03,-0.10
197507,0.04,0.03
197508,0.13,0.10
197509,0.00,-0.19
197510,2.39,1.51
197511,0.41,-1.65
197512,0.35,-2.86
197601,0.31,-3.78
197602,1.43,-1.94
197603,1.25,-1.51
197604,0.75,-0.47
197605,0.00,-0.54
197606,0.06,-0.07
197607,0.00,-0.01
197608,0.27,0.24
197609,0.70,0.51
197610,0.50,-0.38
197611,0.78,-1.28
197612,1.40,-1.81
197701,1.40,-2.69
197702,0.94,-2.43
197703,1.74,-1.02
197704,0.20,-1.02
197705,1.05,0.51
197706,0.00,-0.13
197707,0.01,0.00
197708,0.00,-0.03
197709,0.60,0.41
197710,0.20,-0.68
197711,2.50,0.44
197712,4.23,1.02
197801,8.04,3.95
197802,3.82,0.45
197803,5.05,2.29
197804,2.78,1.56
197805,0.03,-0.51
197806,0.00,-0.13
197807,0.00,-0.01
197808,0.00,-0.03
197809,0.30,0.11
197810,0.00,-0.88
197811,1.99,-0.07
197812,0.57,-2.64
197901,6.25,2.16
197902,4.09,0.72
197903,2.61,-0.15
197904,1.01,-0.21
197905,0.30,-0.24
197906,0.00,-0.13
197907,0.03,0.02
197908,0.00,-0.03
197909,0.00,-0.19
197910,2.00,1.12
197911,2.05,-0.01
197912,4.57,1.36
198001,5.23,1.14
198002,6.50,3.13
198003,1.85,-0.91
198004,1.34,0.12
198005,0.26,-0.28
198006,0.02,-0.11
198007,0.04,0.03
198008,0.00,-0.03
198009,0.00,-0.19
198010,0.10,-0.78
198011,0.19,-1.87
198012,1.83,-1.38
198101,4.83,0.74
198102,1.11,-2.26
198103,3.69,0.93
198104,0.40,-0.82
198105,0.13,-0.41
198106,0.00,-0.13
198107,0.00,-0.01
198108,0.00,-0.03
198109,0.12,-0.07
198110,2.11,1.23
198111,5.45,3.39
198112,4.02,0.81
198201,7.09,3.00
198202,2.83,-0.54
198203,6.25,3.49
198204,3.35,2.13
198205,0.00,-0.54
198206,0.13,0.00
198207,0.01,0.00
198208,0.01,-0.02
198209,1.01,0.82
198210,2.32,1.44
198211,5.35,3.29
198212,3.07,-0.14
198301,6.44,2.35
198302,6.02,2.65
198303,8.97,6.21
198304,3.48,2.26
198305,0.38,-0.16
198306,0.00,-0.13
198307,0.00,-0.01
198308,0.19,0.16
198309,0.71,0.52
198310,0.52,-0.36
198311,6.14,4.08
198312,5.58,2.37
198401,0.32,-3.77
198402,1.77,-1.60
198403,1.34,-1.42
198404,0.63,-0.59
198405,0.03,-0.51
198406,0.11,-0.02
198407,0.00,-0.01
198408,0.10,0.07
198409,0.09,-0.10
198410,1.87,0.99
198411,5.74,3.68
198412,1.56,-1.65
198501,0.73,-3.36
198502,1.67,-1.70
198503,3.30,0.54
198504,0.19,-1.03
198505,0.06,-0.48
198506,0.22,0.09
198507,0.03,0.02
198508,0.02,-0.01
198509,0.34,0.15
198510,0.86,-0.02
198511,3.16,1.10
198512,2.41,-0.80
198601,3.46,-0.63
198602,9.33,5.96
198603,5.29,2.53
198604,0.76,-0.46
198605,0.26,-0.28
198606,0.00,-0.13
198607,0.04,0.03
198608,0.00,-0.03
198609,0.87,0.68
198610,0.10,-0.78
198611,0.12,-1.94
198612,1.12,-2.09
198701,2.61,-1.48
198702,3.91,0.54
198703,2.58,-0.18
198704,0.19,-1.03
198705,0.06,-0.48
198706,0.00,-0.13
198707,0.00,-0.01
198708,0.00,-0.03
198709,0.00,-0.19
198710,1.05,0.17
198711,1.78,-0.28
198712,4.15,0.94
198801,3.55,-0.54
198802,0.44,-2.93
198803,0.20,-2.56
198804,1.92,0.70
198805,0.62,0.08
198806,0.41,0.28
198807,0.00,-0.01
198808,0.00,-0.03
198809,0.00,-0.19
198810,0.31,-0.57
198811,2.38,0.32
198812,2.76,-0.45
198901,1.11,-2.98
198902,1.15,-2.22
198903,4.46,1.70
198904,0.48,-0.74
198905,0.10,-0.44
198906,0.13,0.00
198907,0.00,-0.01
198908,0.05,0.02
198909,1.03,0.84
198910,1.82,0.94
198911,1.34,-0.72
198912,0.01,-3.20
199001,2.92,-1.17
199002,2.45,-0.92
199003,1.03,-1.73
199004,0.38,-0.84
199005,2.30,1.76
199006,0.00,-0.13
199007,0.00,-0.01
199008,0.01,-0.02
199009,0.10,-0.09
199010,0.19,-0.69
199011,0.41,-1.65
199012,1.58,-1.63
199101,0.37,-3.72
199102,2.84,-0.53
199103,7.36,4.60
199104,0.43,-0.79
199105,0.25,-0.29
199106,0.16,0.03
199107,0.01,0.00
199108,0.13,0.10
199109,0.02,-0.17
199110,1.98,1.10
199111,0.46,-1.60
199112,1.92,-1.29
199201,1.52,-2.57
199202,5.86,2.49
199203,3.04,0.28
199204,0.45,-0.77
199205,0.00,-0.54
199206,0.28,0.15
199207,0.00,-0.01
199208,0.01,-0.02
199209,0.00,-0.19
199210,1.41,0.53
199211,0.22,-1.84
199212,5.82,2.61
199301,8.99,4.90
199302,4.45,1.08
199303,2.50,-0.26
199304,0.69,-0.53
199305,0.77,0.23
199306,0.35,0.22
199307,0.00,-0.01
199308,0.00,-0.03
