Siskiyou County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197504,2.67,-0.04
197505,0.54,-1.43
197506,0.81,-0.28
197507,0.50,0.14
197508,0.57,0.20
197509,0.25,-0.69
197510,5.93,3.32
197511,3.83,-1.57
197512,3.35,-3.00
197601,1.72,-5.02
197602,5.85,0.23
197603,2.13,-2.52
197604,2.13,-0.58
197605,0.25,-1.72
197606,0.46,-0.63
197607,0.61,0.25
197608,2.03,1.66
197609,0.99,0.05
197610,0.57,-2.04
197611,1.16,-4.24
197612,0.46,-5.89
197701,2.23,-4.51
197702,2.48,-3.14
197703,2.66,-1.99
197704,0.63,-2.08
197705,2.91,0.94
197706,1.22,0.13
197707,0.30,-0.06
197708,0.48,0.11
197709,3.38,2.44
197710,1.49,-1.12
197711,6.43,1.03
197712,10.16,3.81
197801,9.31,2.57
197802,5.47,-0.15
197803,5.59,0.94
197804,5.03,2.32
197805,0.91,-1.06
197806,1.06,-0.03
197807,0.41,0.05
197808,0.90,0.53
197809,3.06,2.12
197810,0.03,-2.58
197811,2.16,-3.24
197812,1.58,-4.77
197901,4.63,-2.11
197902,7.57,1.95
197903,2.89,-1.76
197904,3.05,0.34
197905,2.81,0.84
197906,0.20,-0.89
197907,0.33,-0.03
197908,1.06,0.69
197909,0.86,-0.08
197910,7.04,4.43
197911,6.53,1.13
197912,4.80,-1.55
198001,7.11,0.37
198002,7.03,1.41
198003,3.26,-1.39
198004,3.06,0.35
198005,1.19,-0.78
198006,1.64,0.55
198007,0.04,-0.32
198008,0.01,-0.36
198009,0.55,-0.39
198010,1.64,-0.97
198011,2.09,-3.31
198012,7.12,0.77
198101,5.02,-1.72
198102,4.43,-1.19
198103,3.74,-0.91
198104,2.06,-0.65
198105,1.87,-0.10
198106,0.38,-0.71
198107,0.08,-0.28
198108,0.03,-0.34
198109,1.33,0.39
198110,4.64,2.03
198111,13.93,8.53
198112,12.93,6.58
198201,4.18,-2.56
198202,6.50,0.88
198203,6.74,2.09
198204,4.65,1.94
198205,0.32,-1.65
198206,2.66,1.57
198207,0.35,-0.01
198208,0.29,-0.08
198209,1.02,0.08
198210,5.34,2.73
198211,5.87,0.47
198212,10.91,4.56
198301,7.28,0.54
198302,10.90,5.28
198303,11.96,7.31
198304,3.28,0.57
198305,0.95,-1.02
198306,0.45,-0.64
198307,0.48,0.12
198308,1.48,1.11
198309,0.94,0.00
198310,1.71,-0.90
198311,10.96,5.56
198312,11.90,5.55
198401,0.63,-6.11
198402,5.19,-0.43
198403,4.39,-0.26
198404,3.04,0.33
198405,1.30,-0.67
198406,0.86,-0.23
198407,0.24,-0.12
198408,0.91,0.54
198409,0.59,-0.35
198410,3.55,0.94
198411,13.51,8.11
198412,2.03,-4.32
198501,0.37,-6.37
198502,3.44,-2.18
198503,3.53,-1.12
198504,0.41,-2.30
198505,0.95,-1.02
198506,0.62,-0.47
198507,0.74,0.38
198508,0.21,-0.16
198509,2.28,1.34
198510,3.02,0.41
198511,3.34,-2.06
198512,3.12,-3.23
198601,7.63,0.89
198602,14.70,9.08
198603,5.34,0.69
198604,1.33,-1.38
198605,2.54,0.57
198606,0.51,-0.58
198607,0.10,-0.26
198608,0.01,-0.36
198609,3.28,2.34
198610,2.00,-0.61
198611,2.37,-3.03
198612,2.79,-3.56
198701,5.87,-0.87
198702,4.09,-1.53
198703,5.68,1.03
198704,0.68,-2.03
198705,1.52,-0.45
198706,0.52,-0.57
198707,1.24,0.88
198708,0.06,-0.31
198709,0.03,-0.91
198710,0.22,-2.39
198711,3.02,-2.38
198712,10.90,4.55
198801,6.29,-0.45
198802,0.36,-5.26
198803,1.02,-3.63
198804,2.88,0.17
198805,2.43,0.46
198806,1.98,0.89
198807,0.06,-0.30
198808,0.16,-0.21
198809,0.10,-0.84
198810,0.18,-2.43
198811,10.50,5.10
198812,3.07,-3.28
198901,3.28,-3.46
198902,1.54,-4.08
198903,11.39,6.74
198904,2.36,-0.35
198905,2.45,0.48
198906,0.52,-0.57
198907,0.05,-0.31
198908,0.60,0.23
198909,2.61,1.67
198910,4.94,2.33
198911,1.57,-3.83
198912,0.66,-5.69
199001,7.36,0.62
199002,2.96,-2.66
199003,2.97,-1.68
199004,1.71,-1.00
199005,6.65,4.68
199006,0.58,-0.51
199007,0.54,0.18
199008,1.28,0.91
199009,0.74,-0.20
199010,1.29,-1.32
199011,1.92,-3.48
199012,1.56,-4.79
199101,1.82,-4.92
199102,3.30,-2.32
199103,8.20,3.55
199104,2.28,-0.43
199105,2.72,0.75
199106,0.88,-0.21
199107,0.78,0.42
199108,0.35,-0.02
199109,0.11,-0.83
199110,1.46,-1.15
199111,3.43,-1.97
199112,2.96,-3.39
199201,2.70,-4.04
199202,4.89,-0.73
199203,3.07,-1.58
199204,3.09,0.38
199205,0.49,-1.48
199206,2.73,1.64
199207,0.52,0.16
199208,0.06,-0.31
199209,0.27,-0.67
199210,3.70,1.09
199211,2.26,-3.14
199212,9.41,3.06
199301,8.37,1.63
199302,4.87,-0.75
199303,4.98,0.33
199304,4.81,2.10
199305,4.50,2.53
199306,1.78,0.69
199307,0.13,-0.23
199308,1.10,0.73
199309,0.30,-0.64
199310,1.49,-1.12
199311,1.50,-3.90
199312,5.91,-0.44
