Santa Clara County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193608,0.00,-0.05
193609,0.00,-0.24
193610,1.04,0.01
193611,0.02,-2.45
193612,5.63,1.52
193701,4.80,-0.04
193702,6.20,2.00
193703,8.72,5.01
193704,0.94,-0.72
193705,0.07,-0.59
193706,0.24,0.10
193707,0.00,-0.01
193708,0.00,-0.05
193709,0.00,-0.24
193710,0.82,-0.21
193711,2.51,0.04
193712,7.02,2.91
193801,5.39,0.55
193802,9.53,5.33
193803,7.16,3.45
193804,1.96,0.30
193805,0.08,-0.58
193806,0.00,-0.14
193807,0.00,-0.01
193808,0.00,-0.05
193809,0.17,-0.07
193810,1.83,0.80
193811,1.58,-0.89
193812,1.98,-2.13
193901,3.58,-1.26
193902,2.52,-1.68
193903,3.37,-0.34
193904,0.64,-1.02
193905,0.67,0.01
193906,0.00,-0.14
193907,0.00,-0.01
193908,0.02,-0.03
193909,0.50,0.26
193910,1.03,0.00
193911,0.38,-2.09
193912,1.27,-2.84
194001,10.18,5.34
194002,10.08,5.88
194003,5.19,1.48
194004,0.73,-0.93
194005,0.48,-0.18
194006,0.00,-0.14
194007,0.02,0.01
194008,0.02,-0.03
194009,0.28,0.04
194010,0.90,-0.13
194011,0.81,-1.66
194012,9.59,5.48
194101,6.73,1.89
194102,8.76,4.56
194103,6.36,2.65
194104,5.34,3.68
194105,0.96,0.30
194106,0.09,-0.05
194107,0.01,0.00
194108,0.03,-0.02
194109,0.01,-0.23
194110,1.18,0.15
194111,0.99,-1.48
194112,9.49,5.38
194201,5.86,1.02
194202,3.37,-0.83
194203,3.03,-0.68
194204,4.57,2.91
194205,1.46,0.80
194206,0.00,-0.14
194207,0.00,-0.01
194208,0.00,-0.05
194209,0.09,-0.15
194210,1.24,0.21
194211,3.18,0.71
194212,2.69,-1.42
194301,6.56,1.72
194302,2.65,-1.55
194303,4.99,1.28
194304,1.77,0.11
194305,0.01,-0.65
194306,0.04,-0.10
194307,0.00,-0.01
194308,0.00,-0.05
194309,0.00,-0.24
194310,0.56,-0.47
194311,0.78,-1.69
194312,2.49,-1.62
194401,3.70,-1.14
194402,8.03,3.83
194403,1.47,-2.24
194404,1.70,0.04
194405,0.79,0.13
