Orange County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193503,3.06,0.64
193504,1.60,0.60
193505,0.12,-0.13
193506,0.00,-0.06
193507,0.02,0.00
193508,0.23,0.18
193509,0.04,-0.16
193510,0.10,-0.38
193511,0.83,-0.36
193512,0.52,-1.57
193601,0.16,-2.70
193602,6.57,3.62
193603,1.33,-1.09
193604,0.46,-0.54
193605,0.04,-0.21
193606,0.03,-0.03
193607,0.04,0.02
193608,0.11,0.06
193609,0.05,-0.15
193610,1.41,0.93
193611,0.20,-0.99
193612,6.54,4.45
193701,2.25,-0.61
193702,8.40,5.45
193703,3.60,1.18
193704,0.34,-0.66
193705,0.31,0.06
193706,0.01,-0.05
193707,0.00,-0.02
193708,0.00,-0.05
193709,0.01,-0.19
193710,0.00,-0.48
193711,0.04,-1.15
193712,2.04,-0.05
193801,1.54,-1.32
193802,6.36,3.41
193803,7.69,5.27
193804,1.04,0.04
193805,0.45,0.20
193806,0.02,-0.04
193807,0.02,0.00
193808,0.04,-0.01
193809,0.01,-0.19
193810,0.17,-0.31
193811,0.04,-1.15
193812,6.47,4.38
193901,2.75,-0.11
193902,1.83,-1.12
193903,1.41,-1.01
193904,0.60,-0.40
193905,0.08,-0.17
193906,0.00,-0.06
193907,0.00,-0.02
193908,0.01,-0.04
193909,1.18,0.98
193910,0.40,-0.08
193911,0.36,-0.83
193912,0.50,-1.59
194001,4.32,1.46
194002,4.34,1.39
194003,1.26,-1.16
194004,1.89,0.89
194005,0.01,-0.24
194006,0.00,-0.06
194007,0.00,-0.02
194008,0.00,-0.05
194009,0.00,-0.20
194010,1.41,0.93
194011,0.90,-0.29
194012,5.84,3.75
194101,2.21,-0.65
194102,8.04,5.09
194103,8.62,6.20
194104,3.62,2.62
194105,0.43,0.18
194106,0.04,-0.02
194107,0.07,0.05
194108,0.06,0.01
194109,0.00,-0.20
194110,2.08,1.60
194111,0.42,-0.77
194112,4.10,2.01
194201,0.55,-2.31
194202,0.98,-1.97
194203,1.26,-1.16
194204,2.63,1.63
194205,0.03,-0.22
194206,0.00,-0.06
194207,0.00,-0.02
194208,0.18,0.13
194209,0.00,-0.20
194210,0.58,0.10
194211,0.26,-0.93
194212,1.03,-1.06
194301,8.61,5.75
194302,3.29,0.34
194303,3.00,0.58
194304,0.88,-0.12
194305,0.03,-0.22
194306,0.02,-0.04
194307,0.00,-0.02
194308,0.00,-0.05
194309,0.05,-0.15
194310,0.43,-0.05
194311,0.19,-1.00
194312,6.76,4.67
194401,0.77,-2.09
194402,6.80,3.85
194403,1.55,-0.87
194404,0.95,-0.05
194405,0.04,-0.21
194406,0.05,-0.01
194407,0.00,-0.02
194408,0.00,-0.05
194409,0.04,-0.16
194410,0.01,-0.47
194411,5.13,3.94
194412,0.78,-1.31
194501,0.08,-2.78
194502,3.68,0.73
194503,3.79,1.37
194504,0.12,-0.88
194505,0.01,-0.24
194506,0.02,-0.04
194507,0.04,0.02
194508,0.27,0.22
194509,0.04,-0.16
194510,0.44,-0.04
194511,0.31,-0.88
194512,4.59,2.50
194601,0.25,-2.61
194602,0.79,-2.16
194603,3.42,1.00
194604,0.63,-0.37
194605,0.08,-0.17
194606,0.00,-0.06
194607,0.03,0.01
194608,0.01,-0.04
194609,0.15,-0.05
194610,0.85,0.37
194611,5.69,4.50
194612,2.67,0.58
194701,0.35,-2.51
194702,0.55,-2.40
194703,0.84,-1.58
194704,0.14,-0.86
194705,0.32,0.07
194706,0.03,-0.03
194707,0.00,-0.02
194708,0.04,-0.01
194709,0.10,-0.10
194710,0.10,-0.38
194711,0.32,-0.87
194712,1.76,-0.33
194801,0.02,-2.84
194802,1.52,-1.43
194803,1.78,-0.64
194804,1.65,0.65
194805,0.03,-0.22
194806,0.24,0.18
194807,0.00,-0.02
