San Benito County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194211,1.25,-0.42
194212,1.67,-1.14
194301,4.59,1.14
194302,2.12,-1.20
194303,4.54,1.73
194304,1.05,-0.21
194305,0.00,-0.45
194306,0.01,-0.06
194307,0.00,-0.01
194308,0.00,-0.02
194309,0.00,-0.20
194310,0.37,-0.29
194311,0.40,-1.27
194312,2.75,-0.06
194401,2.90,-0.55
194402,7.64,4.32
194403,0.55,-2.26
194404,1.38,0.12
194405,0.80,0.35
194406,0.15,0.08
194407,0.01,0.00
194408,0.00,-0.02
194409,0.00,-0.20
194410,0.53,-0.13
194411,3.23,1.56
194412,1.90,-0.91
194501,0.58,-2.87
194502,4.50,1.18
194503,3.22,0.41
194504,0.27,-0.99
194505,0.15,-0.30
194506,0.09,0.02
194507,0.00,-0.01
194508,0.11,0.09
194509,0.08,-0.12
194510,1.56,0.90
194511,1.67,0.00
194512,4.95,2.14
194601,0.99,-2.46
194602,2.34,-0.98
194603,2.57,-0.24
194604,0.04,-1.22
194605,0.52,0.07
194606,0.00,-0.07
194607,0.02,0.01
194608,0.00,-0.02
194609,0.01,-0.19
194610,0.34,-0.32
194611,4.05,2.38
194612,2.20,-0.61
194701,0.72,-2.73
194702,1.44,-1.88
194703,1.37,-1.44
194704,0.54,-0.72
194705,0.35,-0.10
194706,0.11,0.04
194707,0.00,-0.01
194708,0.00,-0.02
194709,0.01,-0.19
194710,1.06,0.40
194711,0.64,-1.03
194712,1.04,-1.77
194801,0.10,-3.35
194802,1.56,-1.76
194803,3.37,0.56
194804,3.27,2.01
194805,0.48,0.03
194806,0.01,-0.06
194807,0.00,-0.01
194808,0.00,-0.02
194809,0.00,-0.20
194810,0.58,-0.08
194811,0.15,-1.52
194812,4.28,1.47
194901,1.27,-2.18
194902,2.23,-1.09
194903,4.84,2.03
194904,0.05,-1.21
194905,0.32,-0.13
194906,0.00,-0.07
194907,0.03,0.02
194908,0.01,-0.01
194909,0.06,-0.14
194910,0.12,-0.54
194911,1.19,-0.48
194912,1.72,-1.09
195001,4.20,0.75
195002,1.64,-1.68
195003,1.89,-0.92
195004,1.65,0.39
195005,0.20,-0.25
195006,0.00,-0.07
195007,0.03,0.02
195008,0.02,0.00
195009,0.07,-0.13
195010,1.88,1.22
195011,3.11,1.44
195012,2.68,-0.13
195101,2.12,-1.33
195102,1.75,-1.57
