Amador County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194905,1.51,0.03
194906,0.01,-0.47
194907,0.06,0.01
194908,0.26,0.19
194909,0.12,-0.43
194910,0.21,-1.59
194911,3.25,-0.74
194912,2.40,-3.10
195001,11.15,4.45
195002,4.45,-1.60
195003,5.25,-0.36
195004,3.59,0.63
195005,1.38,-0.10
195006,0.26,-0.22
195007,0.07,0.02
195008,0.01,-0.06
195009,0.65,0.10
195010,5.06,3.26
195011,12.77,8.78
195012,10.14,4.64
195101,7.67,0.97
195102,4.08,-1.97
195103,3.24,-2.37
195104,2.45,-0.51
195105,1.94,0.46
195106,0.02,-0.46
195107,0.00,-0.05
195108,0.01,-0.06
195109,0.01,-0.54
195110,3.23,1.43
195111,6.05,2.06
195112,11.01,5.51
195201,11.89,5.19
195202,4.95,-1.10
195203,7.73,2.12
195204,2.27,-0.69
195205,0.60,-0.88
195206,0.66,0.18
195207,0.15,0.10
195208,0.00,-0.07
195209,0.54,-0.01
195210,0.02,-1.78
195211,2.74,-1.25
195212,9.31,3.81
195301,6.31,-0.39
195302,0.20,-5.85
195303,4.32,-1.29
195304,4.56,1.60
195305,2.13,0.65
195306,1.09,0.61
195307,0.11,0.06
195308,0.10,0.03
195309,0.02,-0.53
195310,1.41,-0.39
195311,3.55,-0.44
195312,2.50,-3.00
195401,5.32,-1.38
195402,4.48,-1.57
195403,7.51,1.90
195404,2.94,-0.02
195405,0.52,-0.96
195406,1.19,0.71
195407,0.01,-0.04
195408,0.03,-0.04
195409,0.01,-0.54
195410,0.05,-1.75
195411,3.86,-0.13
195412,8.14,2.64
195501,6.17,-0.53
195502,3.39,-2.66
195503,1.01,-4.60
195504,4.32,1.36
195505,1.06,-0.42
195506,0.06,-0.42
195507,0.01,-0.04
195508,0.00,-0.07
195509,0.34,-0.21
195510,0.29,-1.51
195511,3.53,-0.46
195512,21.05,15.55
195601,11.05,4.35
195602,3.53,-2.52
195603,0.57,-5.04
195604,3.13,0.17
195605,3.75,2.27
195606,0.08,-0.40
195607,0.03,-0.02
195608,0.01,-0.06
195609,0.64,0.09
195610,3.58,1.78
195611,0.05,-3.94
195612,1.99,-3.51
195701,4.67,-2.03
195702,5.99,-0.06
195703,6.38,0.77
195704,2.81,-0.15
195705,4.96,3.48
195706,0.31,-0.17
195707,0.03,-0.02
195708,0.00,-0.07
195709,0.50,-0.05
195710,1.78,-0.02
195711,2.17,-1.82
195712,5.20,-0.30
195801,7.20,0.50
195802,10.16,4.11
195803,10.88,5.27
195804,8.10,5.14
195805,1.41,-0.07
195806,0.93,0.45
195807,0.09,0.04
195808,0.06,-0.01
195809,0.38,-0.17
195810,0.19,-1.61
195811,1.04,-2.95
195812,1.55,-3.95
195901,7.69,0.99
195902,7.23,1.18
195903,1.56,-4.05
195904,1.66,-1.30
195905,0.80,-0.68
195906,0.00,-0.48
195907,0.01,-0.04
195908,0.11,0.04
195909,2.67,2.12
195910,0.01,-1.79
195911,0.00,-3.99
195912,1.59,-3.91
196001,5.89,-0.81
196002,7.79,1.74
196003,4.62,-0.99
196004,2.79,-0.17
196005,0.59,-0.89
196006,0.00,-0.48
196007,0.05,0.00
196008,0.00,-0.07
196009,0.15,-0.40
196010,0.50,-1.30
196011,6.07,2.08
196012,1.92,-3.58
196101,2.19,-4.51
196102,2.57,-3.48
196103,5.04,-0.57
196104,2.22,-0.74
196105,1.44,-0.04
196106,0.11,-0.37
196107,0.13,0.08
196108,0.24,0.17
196109,0.61,0.06
196110,0.71,-1.09
196111,3.37,-0.62
196112,2.58,-2.92
196201,2.60,-4.10
196202,13.58,7.53
196203,5.15,-0.46
196204,1.44,-1.52
196205,0.70,-0.78
196206,0.05,-0.43
196207,0.17,0.12
196208,0.07,0.00
196209,0.06,-0.49
196210,7.15,5.35
196211,1.27,-2.72
196212,3.48,-2.02
196301,5.11,-1.59
196302,6.11,0.06
196303,6.60,0.99
196304,8.46,5.50
196305,2.53,1.05
196306,0.57,0.09
196307,0.00,-0.05
196308,0.07,0.00
196309,0.65,0.10
196310,2.92,1.12
196311,7.84,3.85
196312,0.81,-4.69
196401,6.02,-0.68
196402,0.47,-5.58
196403,3.20,-2.41
196404,1.28,-1.68
196405,2.61,1.13
196406,1.04,0.56
196407,0.02,-0.03
196408,0.17,0.10
196409,0.07,-0.48
196410,2.18,0.38
196411,6.57,2.58
196412,18.06,12.56
196501,6.21,-0.49
196502,1.49,-4.56
196503,3.01,-2.60
196504,5.78,2.82
196505,0.22,-1.26
196506,0.30,-0.18
196507,0.05,0.00
196508,0.48,0.41
196509,0.20,-0.35
196510,0.54,-1.26
196511,8.11,4.12
196512,5.86,0.36
196601,3.17,-3.53
196602,2.94,-3.11
196603,1.14,-4.47
196604,1.61,-1.35
196605,0.48,-1.00
196606,0.05,-0.43
196607,0.13,0.08
196608,0.02,-0.05
196609,0.11,-0.44
196610,0.00,-1.80
196611,7.46,3.47
196612,7.50,2.00
196701,11.24,4.54
196702,0.76,-5.29
196703,8.81,3.20
196704,9.72,6.76
196705,1.23,-0.25
196706,1.19,0.71
196707,0.01,-0.04
196708,0.18,0.11
196709,0.48,-0.07
196710,1.30,-0.50
196711,3.45,-0.54
196712,3.63,-1.87
196801,6.08,-0.62
196802,4.27,-1.78
196803,4.03,-1.58
196804,0.72,-2.24
196805,1.05,-0.43
196806,0.14,-0.34
196807,0.05,0.00
196808,0.41,0.34
196809,0.05,-0.50
196810,1.67,-0.13
196811,6.39,2.40
196812,7.14,1.64
196901,17.04,10.34
196902,10.29,4.24
196903,2.85,-2.76
196904,3.90,0.94
196905,0.21,-1.27
196906,0.28,-0.20
196907,0.03,-0.02
196908,0.00,-0.07
196909,0.30,-0.25
196910,2.79,0.99
196911,3.01,-0.98
196912,8.06,2.56
197001,13.49,6.79
197002,2.96,-3.09
197003,3.75,-1.86
197004,2.20,-0.76
197005,0.02,-1.46
197006,1.42,0.94
197007,0.00,-0.05
197008,0.00,-0.07
197009,0.06,-0.49
197010,1.37,-0.43
197011,10.22,6.23
197012,10.13,4.63
197101,2.74,-3.96
197102,1.05,-5.00
197103,5.44,-0.17
197104,1.37,-1.59
197105,1.72,0.24
197106,0.68,0.20
197107,0.02,-0.03
197108,0.02,-0.05
197109,0.64,0.09
197110,0.54,-1.26
197111,4.73,0.74
197112,9.43,3.93
197201,2.02,-4.68
197202,3.11,-2.94
197203,0.97,-4.64
197204,3.29,0.33
197205,0.34,-1.14
197206,0.28,-0.20
197207,0.00,-0.05
197208,0.12,0.05
197209,1.81,1.26
197210,1.30,-0.50
197211,6.53,2.54
197212,4.95,-0.55
197301,11.72,5.02
197302,8.56,2.51
197303,5.45,-0.16
197304,1.26,-1.70
197305,0.49,-0.99
197306,0.06,-0.42
197307,0.08,0.03
197308,0.15,0.08
197309,0.42,-0.13
197310,3.64,1.84
197311,9.60,5.61
197312,8.79,3.29
197401,5.55,-1.15
197402,2.39,-3.66
197403,8.31,2.70
197404,4.14,1.18
197405,0.08,-1.40
197406,0.46,-0.02
197407,0.27,0.22
197408,0.16,0.09
197409,0.00,-0.55
197410,2.43,0.63
197411,2.54,-1.45
197412,3.52,-1.98
197501,3.08,-3.62
197502,9.42,3.37
197503,9.42,3.81
197504,4.00,1.04
197505,0.46,-1.02
197506,0.24,-0.24
197507,0.10,0.05
197508,0.46,0.39
197509,0.15,-0.40
197510,5.12,3.32
197511,1.98,-2.01
197512,1.06,-4.44
197601,0.56,-6.14
197602,2.94,-3.11
197603,1.93,-3.68
197604,1.99,-0.97
197605,0.28,-1.20
197606,0.09,-0.39
197607,0.10,0.05
197608,0.47,0.40
197609,0.96,0.41
197610,0.37,-1.43
197611,1.64,-2.35
197612,0.28,-5.22
197701,2.17,-4.53
197702,2.11,-3.94
197703,2.03,-3.58
197704,0.38,-2.58
197705,3.04,1.56
197706,0.15,-0.33
197707,0.11,0.06
197708,0.01,-0.06
197709,0.49,-0.06
197710,0.16,-1.64
197711,3.92,-0.07
197712,8.62,3.12
197801,11.20,4.50
197802,5.85,-0.20
197803,7.67,2.06
197804,7.39,4.43
197805,0.23,-1.25
197806,0.24,-0.24
197807,0.01,-0.04
197808,0.02,-0.05
197809,2.65,2.10
197810,0.03,-1.77
197811,3.34,-0.65
197812,3.08,-2.42
197901,8.08,1.38
197902,8.31,2.26
197903,6.19,0.58
197904,1.96,-1.00
197905,1.17,-0.31
197906,0.01,-0.47
197907,0.20,0.15
197908,0.11,0.04
197909,0.01,-0.54
197910,3.35,1.55
197911,4.62,0.63
197912,5.49,-0.01
198001,11.75,5.05
198002,9.14,3.09
198003,3.36,-2.25
198004,2.64,-0.32
198005,1.38,-0.10
198006,0.26,-0.22
198007,0.23,0.18
198008,0.08,0.01
198009,0.14,-0.41
198010,0.64,-1.16
198011,0.76,-3.23
198012,2.68,-2.82
198101,8.26,1.56
198102,2.16,-3.89
198103,6.21,0.60
198104,1.87,-1.09
198105,1.15,-0.33
198106,0.01,-0.47
198107,0.03,-0.02
198108,0.00,-0.07
198109,0.44,-0.11
198110,3.86,2.06
198111,9.64,5.65
198112,8.14,2.64
198201,9.37,2.67
198202,6.27,0.22
198203,11.05,5.44
198204,6.50,3.54
198205,0.21,-1.27
198206,0.61,0.13
198207,0.05,0.00
198208,0.05,-0.02
198209,3.08,2.53
198210,5.88,4.08
198211,8.95,4.96
198212,7.24,1.74
198301,9.56,2.86
198302,9.22,3.17
198303,13.23,7.62
198304,6.06,3.10
198305,1.09,-0.39
198306,0.28,-0.20
198307,0.03,-0.02
198308,0.32,0.25
198309,1.50,0.95
198310,1.71,-0.09
198311,14.52,10.53
198312,11.37,5.87
198401,0.45,-6.25
198402,4.72,-1.33
198403,3.24,-2.37
198404,2.02,-0.94
198405,0.56,-0.92
198406,0.76,0.28
198407,0.09,0.04
198408,0.03,-0.04
198409,0.16,-0.39
198410,3.26,1.46
198411,9.02,5.03
198412,2.22,-3.28
198501,1.44,-5.26
198502,3.27,-2.78
198503,6.38,0.77
198504,0.39,-2.57
198505,0.02,-1.46
198506,0.29,-0.19
198507,0.06,0.01
198508,0.14,0.07
198509,1.49,0.94
198510,1.74,-0.06
198511,7.14,3.15
198512,3.92,-1.58
198601,5.26,-1.44
198602,17.66,11.61
198603,8.22,2.61
198604,1.77,-1.19
198605,0.96,-0.52
198606,0.03,-0.45
198607,0.14,0.09
198608,0.01,-0.06
198609,2.35,1.80
198610,0.13,-1.67
198611,0.62,-3.37
198612,1.35,-4.15
198701,3.93,-2.77
198702,5.06,-0.99
198703,5.62,0.01
198704,0.44,-2.52
198705,0.79,-0.69
198706,0.11,-0.37
198707,0.01,-0.04
198708,0.04,-0.03
198709,0.02,-0.53
198710,1.23,-0.57
198711,2.49,-1.50
198712,5.20,-0.30
198801,4.46,-2.24
198802,0.63,-5.42
198803,1.19,-4.42
198804,3.68,0.72
198805,0.95,-0.53
198806,0.39,-0.09
198807,0.04,-0.01
198808,0.02,-0.05
198809,0.09,-0.46
198810,0.02,-1.78
198811,5.80,1.81
198812,4.56,-0.94
198901,1.66,-5.04
198902,2.72,-3.33
198903,9.78,4.17
198904,1.55,-1.41
198905,0.69,-0.79
198906,0.32,-0.16
198907,0.00,-0.05
198908,0.21,0.14
198909,2.75,2.20
198910,3.93,2.13
198911,2.97,-1.02
198912,0.02,-5.48
199001,5.21,-1.49
199002,3.96,-2.09
199003,2.82,-2.79
199004,2.33,-0.63
199005,3.54,2.06
199006,0.05,-0.43
199007,0.16,0.11
199008,0.11,0.04
199009,0.20,-0.35
199010,0.56,-1.24
199011,1.32,-2.67
199012,1.53,-3.97
199101,0.48,-6.22
199102,2.34,-3.71
199103,14.25,8.64
199104,1.36,-1.60
199105,1.77,0.29
199106,1.12,0.64
199107,0.05,0.00
199108,0.18,0.11
199109,0.15,-0.40
199110,4.08,2.28
199111,1.68,-2.31
199112,2.78,-2.72
199201,2.07,-4.63
199202,7.99,1.94
199203,4.55,-1.06
199204,0.86,-2.10
199205,0.11,-1.37
199206,1.03,0.55
199207,0.24,0.19
199208,0.07,0.00
199209,0.09,-0.46
199210,2.84,1.04
199211,0.50,-3.49
199212,11.31,5.81
199301,12.32,5.62
199302,8.44,2.39
199303,5.60,-0.01
199304,2.03,-0.93
199305,2.44,0.96
199306,1.03,0.55
199307,0.00,-0.05
199308,0.00,-0.07
199309,0.00,-0.55
199310,1.15,-0.65
