Fresno County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198103,5.01,1.83
198104,1.44,-0.28
198105,0.73,-0.10
198106,0.00,-0.21
198107,0.00,-0.11
198108,0.04,-0.09
198109,0.10,-0.29
198110,1.73,0.86
198111,3.79,1.93
198112,1.92,-1.06
198201,4.58,0.83
198202,1.93,-1.63
198203,6.66,3.48
198204,4.96,3.24
198205,0.25,-0.58
198206,0.82,0.61
198207,0.14,0.03
198208,0.41,0.28
198209,2.05,1.66
198210,2.74,1.87
198211,5.14,3.28
198212,4.56,1.58
198301,6.53,2.78
198302,5.93,2.37
198303,7.54,4.36
198304,2.56,0.84
198305,0.51,-0.32
198306,0.14,-0.07
198307,0.00,-0.11
198308,0.71,0.58
198309,1.14,0.75
198310,0.59,-0.28
198311,5.04,3.18
198312,5.64,2.66
198401,0.14,-3.61
198402,2.04,-1.52
198403,1.39,-1.79
198404,0.80,-0.92
198405,0.05,-0.78
198406,0.25,0.04
198407,0.53,0.42
198408,0.31,0.18
198409,0.13,-0.26
198410,1.09,0.22
198411,4.73,2.87
198412,2.56,-0.42
198501,0.97,-2.78
198502,1.40,-2.16
198503,3.38,0.20
198504,0.26,-1.46
198505,0.04,-0.79
198506,0.29,0.08
198507,0.34,0.23
198508,0.02,-0.11
198509,0.75,0.36
198510,0.98,0.11
198511,4.81,2.95
198512,2.19,-0.79
198601,3.05,-0.70
198602,9.59,6.03
198603,5.08,1.90
198604,1.27,-0.45
198605,0.16,-0.67
198606,0.00,-0.21
198607,0.10,-0.01
198608,0.11,-0.02
198609,0.94,0.55
198610,0.12,-0.75
198611,0.23,-1.63
198612,0.91,-2.07
198701,2.45,-1.30
198702,3.00,-0.56
198703,3.32,0.14
198704,0.66,-1.06
198705,0.94,0.11
198706,0.21,0.00
198707,0.01,-0.10
198708,0.03,-0.10
198709,0.03,-0.36
198710,1.58,0.71
198711,1.72,-0.14
198712,2.83,-0.15
198801,3.70,-0.05
198802,1.06,-2.50
