Stanislaus County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194907,0.00,-0.01
194908,0.01,0.00
194909,0.03,-0.14
194910,0.04,-0.59
194911,0.96,-0.50
194912,1.56,-0.66
195001,4.15,1.39
195002,1.22,-1.31
195003,1.53,-0.73
195004,0.87,-0.17
195005,0.26,-0.20
195006,0.00,-0.09
195007,0.02,0.01
195008,0.00,-0.01
195009,0.26,0.09
195010,1.54,0.91
195011,3.37,1.91
195012,3.85,1.63
195101,2.12,-0.64
195102,2.09,-0.44
195103,1.06,-1.20
195104,0.83,-0.21
195105,0.30,-0.16
195106,0.01,-0.08
195107,0.00,-0.01
195108,0.00,-0.01
195109,0.00,-0.17
195110,0.80,0.17
195111,2.00,0.54
195112,4.96,2.74
195201,4.45,1.69
195202,1.16,-1.37
195203,3.80,1.54
195204,1.84,0.80
195205,0.06,-0.40
195206,0.04,-0.05
195207,0.02,0.01
195208,0.00,-0.01
195209,0.17,0.00
195210,0.01,-0.62
195211,1.52,0.06
195212,4.44,2.22
195301,1.31,-1.45
195302,0.03,-2.50
195303,1.10,-1.16
195304,1.55,0.51
195305,0.32,-0.14
195306,0.32,0.23
195307,0.00,-0.01
195308,0.04,0.03
195309,0.00,-0.17
195310,0.30,-0.33
195311,1.16,-0.30
195312,0.85,-1.37
195401,1.97,-0.79
195402,1.40,-1.13
195403,3.09,0.83
195404,1.10,0.06
195405,0.30,-0.16
195406,0.30,0.21
195407,0.00,-0.01
195408,0.01,0.00
195409,0.00,-0.17
195410,0.00,-0.63
195411,1.67,0.21
195412,2.93,0.71
195501,3.94,1.18
195502,1.18,-1.35
195503,0.38,-1.88
195504,1.65,0.61
195505,0.70,0.24
195506,0.00,-0.09
195507,0.00,-0.01
195508,0.00,-0.01
195509,0.07,-0.10
195510,0.04,-0.59
195511,1.19,-0.27
195512,7.90,5.68
195601,4.66,1.90
195602,0.96,-1.57
195603,0.05,-2.21
195604,1.69,0.65
195605,0.86,0.40
195606,0.00,-0.09
195607,0.00,-0.01
195608,0.00,-0.01
195609,0.26,0.09
195610,0.69,0.06
195611,0.01,-1.45
195612,0.43,-1.79
195701,2.53,-0.23
195702,2.31,-0.22
195703,1.82,-0.44
195704,1.02,-0.02
195705,1.55,1.09
195706,0.07,-0.02
195707,0.00,-0.01
195708,0.00,-0.01
195709,0.22,0.05
195710,1.12,0.49
195711,0.45,-1.01
195712,2.65,0.43
195801,3.54,0.78
195802,5.36,2.83
195803,5.33,3.07
195804,4.05,3.01
195805,0.74,0.28
195806,0.11,0.02
195807,0.01,0.00
195808,0.00,-0.01
195809,0.12,-0.05
195810,0.02,-0.61
195811,0.14,-1.32
195812,0.50,-1.72
195901,3.37,0.61
195902,4.18,1.65
195903,0.28,-1.98
195904,0.71,-0.33
195905,0.05,-0.41
195906,0.00,-0.09
195907,0.00,-0.01
195908,0.03,0.02
195909,1.10,0.93
195910,0.00,-0.63
195911,0.00,-1.46
195912,0.59,-1.63
196001,2.32,-0.44
196002,3.20,0.67
196003,0.69,-1.57
196004,1.10,0.06
196005,0.12,-0.34
196006,0.00,-0.09
196007,0.00,-0.01
196008,0.00,-0.01
196009,0.04,-0.13
196010,0.03,-0.60
196011,2.58,1.12
196012,0.73,-1.49
196101,2.34,-0.42
196102,0.77,-1.76
196103,1.38,-0.88
196104,0.59,-0.45
196105,0.60,0.14
196106,0.02,-0.07
196107,0.01,0.00
196108,0.08,0.07
196109,0.08,-0.09
196110,0.03,-0.60
196111,2.31,0.85
196112,1.07,-1.15
196201,1.24,-1.52
196202,6.65,4.12
196203,1.56,-0.70
196204,0.12,-0.92
196205,0.07,-0.39
196206,0.00,-0.09
196207,0.01,0.00
196208,0.00,-0.01
196209,0.01,-0.16
196210,1.13,0.50
196211,0.40,-1.06
196212,1.79,-0.43
196301,2.09,-0.67
196302,3.55,1.02
196303,2.48,0.22
196304,3.32,2.28
196305,0.45,-0.01
196306,0.11,0.02
196307,0.00,-0.01
196308,0.00,-0.01
196309,0.21,0.04
196310,1.40,0.77
196311,2.55,1.09
196312,0.13,-2.09
196401,2.17,-0.59
196402,0.08,-2.45
196403,1.22,-1.04
196404,0.46,-0.58
196405,0.38,-0.08
196406,0.39,0.30
196407,0.01,0.00
196408,0.09,0.08
196409,0.05,-0.12
196410,1.42,0.79
196411,2.34,0.88
196412,4.23,2.01
196501,1.82,-0.94
196502,0.63,-1.90
196503,1.48,-0.78
196504,2.28,1.24
196505,0.01,-0.45
196506,0.00,-0.09
196507,0.01,0.00
196508,0.14,0.13
196509,0.01,-0.16
196510,0.11,-0.52
196511,4.74,3.28
196512,2.48,0.26
196601,1.42,-1.34
196602,1.21,-1.32
196603,0.25,-2.01
196604,0.42,-0.62
196605,0.20,-0.26
196606,0.03,-0.06
196607,0.05,0.04
196608,0.00,-0.01
196609,0.03,-0.14
196610,0.00,-0.63
196611,2.56,1.10
196612,2.85,0.63
196701,4.65,1.89
196702,0.35,-2.18
196703,2.94,0.68
196704,3.84,2.80
196705,0.20,-0.26
196706,0.41,0.32
196707,0.00,-0.01
196708,0.00,-0.01
196709,0.03,-0.14
196710,0.23,-0.40
196711,1.14,-0.32
196712,1.31,-0.91
196801,2.42,-0.34
196802,1.49,-1.04
196803,2.20,-0.06
196804,0.53,-0.51
196805,0.22,-0.24
196806,0.02,-0.07
196807,0.00,-0.01
196808,0.07,0.06
196809,0.00,-0.17
196810,0.79,0.16
196811,2.96,1.50
196812,3.03,0.81
196901,6.74,3.98
196902,5.85,3.32
196903,0.96,-1.30
196904,1.35,0.31
196905,0.01,-0.45
196906,0.01,-0.08
196907,0.00,-0.01
196908,0.00,-0.01
196909,0.42,0.25
196910,1.03,0.40
196911,1.17,-0.29
196912,1.93,-0.29
197001,4.69,1.93
197002,1.11,-1.42
197003,1.89,-0.37
197004,0.45,-0.59
197005,0.00,-0.46
197006,0.10,0.01
197007,0.00,-0.01
197008,0.00,-0.01
197009,0.00,-0.17
197010,0.42,-0.21
197011,5.02,3.56
197012,3.19,0.97
197101,0.90,-1.86
197102,0.43,-2.10
197103,1.43,-0.83
197104,1.00,-0.04
197105,0.61,0.15
197106,0.01,-0.08
197107,0.00,-0.01
197108,0.00,-0.01
197109,0.07,-0.10
197110,0.23,-0.40
197111,1.07,-0.39
197112,3.83,1.61
197201,0.79,-1.97
197202,0.56,-1.97
197203,0.04,-2.22
197204,0.62,-0.42
197205,0.04,-0.42
197206,0.04,-0.05
197207,0.00,-0.01
197208,0.00,-0.01
197209,0.20,0.03
197210,1.00,0.37
197211,4.62,3.16
197212,1.58,-0.64
197301,4.17,1.41
197302,5.14,2.61
197303,2.86,0.60
197304,0.19,-0.85
197305,0.01,-0.45
197306,0.01,-0.08
197307,0.00,-0.01
197308,0.00,-0.01
197309,0.02,-0.15
197310,2.11,1.48
197311,2.30,0.84
197312,3.75,1.53
197401,1.98,-0.78
197402,0.58,-1.95
197403,3.00,0.74
197404,1.47,0.43
197405,0.01,-0.45
197406,0.21,0.12
197407,0.05,0.04
197408,0.00,-0.01
197409,0.00,-0.17
197410,1.18,0.55
197411,0.61,-0.85
197412,2.42,0.20
197501,0.66,-2.10
197502,3.46,0.93
197503,3.82,1.56
197504,1.16,0.12
197505,0.01,-0.45
197506,0.01,-0.08
197507,0.02,0.01
197508,0.15,0.14
197509,0.02,-0.15
197510,1.39,0.76
197511,0.32,-1.14
197512,0.17,-2.05
197601,0.18,-2.58
197602,1.47,-1.06
197603,0.83,-1.43
197604,0.90,-0.14
197605,0.05,-0.41
197606,0.05,-0.04
197607,0.01,0.00
197608,0.15,0.14
197609,0.77,0.60
197610,0.49,-0.14
197611,0.89,-0.57
197612,0.79,-1.43
197701,1.01,-1.75
197702,0.63,-1.90
197703,1.05,-1.21
197704,0.13,-0.91
197705,1.20,0.74
197706,0.07,-0.02
197707,0.01,0.00
197708,0.00,-0.01
197709,0.20,0.03
197710,0.13,-0.50
197711,0.87,-0.59
197712,2.64,0.42
197801,5.17,2.41
197802,3.25,0.72
197803,4.88,2.62
197804,3.09,2.05
197805,0.01,-0.45
197806,0.01,-0.08
197807,0.00,-0.01
197808,0.00,-0.01
197809,0.59,0.42
197810,0.00,-0.63
197811,2.02,0.56
197812,0.77,-1.45
197901,3.76,1.00
197902,3.65,1.12
197903,2.24,-0.02
197904,0.48,-0.56
197905,0.17,-0.29
197906,0.00,-0.09
197907,0.04,0.03
197908,0.01,0.00
197909,0.00,-0.17
197910,1.28,0.65
197911,1.33,-0.13
197912,2.50,0.28
198001,4.23,1.47
198002,4.21,1.68
198003,1.39,-0.87
198004,0.85,-0.19
198005,0.44,-0.02
198006,0.01,-0.08
198007,0.04,0.03
198008,0.00,-0.01
198009,0.00,-0.17
198010,0.05,-0.58
198011,0.05,-1.41
198012,1.04,-1.18
198101,4.07,1.31
198102,1.01,-1.52
198103,3.52,1.26
198104,0.82,-0.22
198105,0.07,-0.39
198106,0.00,-0.09
198107,0.00,-0.01
198108,0.00,-0.01
198109,0.01,-0.16
198110,1.41,0.78
198111,3.97,2.51
198112,1.66,-0.56
198201,2.96,0.20
198202,2.05,-0.48
198203,5.44,3.18
198204,2.10,1.06
198205,0.01,-0.45
198206,0.17,0.08
198207,0.01,0.00
198208,0.00,-0.01
198209,1.08,0.91
198210,1.68,1.05
198211,3.92,2.46
198212,1.95,-0.27
198301,5.62,2.86
198302,4.09,1.56
198303,5.85,3.59
198304,2.31,1.27
198305,0.26,-0.20
198306,0.01,-0.08
198307,0.00,-0.01
198308,0.10,0.09
198309,0.98,0.81
198310,0.57,-0.06
198311,4.61,3.15
198312,3.65,1.43
198401,0.28,-2.48
198402,1.62,-0.91
198403,0.69,-1.57
198404,0.40,-0.64
198405,0.02,-0.44
198406,0.08,-0.01
198407,0.01,0.00
198408,0.00,-0.01
198409,0.03,-0.14
198410,1.61,0.98
198411,3.51,2.05
198412,1.57,-0.65
198501,0.66,-2.10
198502,0.87,-1.66
198503,2.51,0.25
198504,0.28,-0.76
198505,0.03,-0.43
198506,0.17,0.08
198507,0.01,0.00
198508,0.02,0.01
198509,0.22,0.05
198510,0.83,0.20
198511,2.97,1.51
198512,1.61,-0.61
198601,1.92,-0.84
198602,5.11,2.58
198603,4.06,1.80
198604,0.69,-0.35
198605,0.19,-0.27
198606,0.00,-0.09
198607,0.01,0.00
198608,0.00,-0.01
198609,0.69,0.52
198610,0.01,-0.62
198611,0.07,-1.39
198612,0.77,-1.45
198701,1.72,-1.04
198702,2.76,0.23
198703,2.92,0.66
198704,0.20,-0.84
198705,0.04,-0.42
198706,0.00,-0.09
198707,0.00,-0.01
198708,0.00,-0.01
198709,0.00,-0.17
198710,0.85,0.22
198711,1.13,-0.33
198712,2.55,0.33
198801,2.18,-0.58
198802,0.63,-1.90
198803,0.17,-2.09
198804,1.97,0.93
198805,0.43,-0.03
198806,0.20,0.11
198807,0.00,-0.01
198808,0.00,-0.01
198809,0.00,-0.17
198810,0.01,-0.62
198811,1.82,0.36
198812,2.62,0.40
198901,0.71,-2.05
198902,1.35,-1.18
198903,2.33,0.07
198904,0.16,-0.88
198905,0.05,-0.41
198906,0.02,-0.07
198907,0.00,-0.01
198908,0.06,0.05
198909,1.09,0.92
198910,1.24,0.61
198911,0.81,-0.65
198912,0.02,-2.20
199001,2.11,-0.65
199002,1.90,-0.63
199003,0.96,-1.30
199004,0.44,-0.60
199005,1.90,1.44
199006,0.00,-0.09
199007,0.00,-0.01
199008,0.00,-0.01
199009,0.10,-0.07
199010,0.08,-0.55
199011,0.26,-1.20
199012,0.83,-1.39
199101,0.20,-2.56
199102,1.96,-0.57
199103,5.59,3.33
199104,0.41,-0.63
199105,0.22,-0.24
199106,0.20,0.11
199107,0.00,-0.01
199108,0.08,0.07
199109,0.01,-0.16
199110,1.38,0.75
199111,0.30,-1.16
199112,1.47,-0.75
199201,1.36,-1.40
199202,5.43,2.90
199203,2.27,0.01
199204,0.17,-0.87
199205,0.00,-0.46
199206,0.13,0.04
199207,0.03,0.02
199208,0.00,-0.01
199209,0.00,-0.17
199210,0.84,0.21
199211,0.15,-1.31
199212,3.90,1.68
199301,6.08,3.32
199302,4.48,1.95
199303,3.33,1.07
199304,0.36,-0.68
199305,0.93,0.47
199306,0.38,0.29
199307,0.00,-0.01
199308,0.00,-0.01
