Kings County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198006,0.00,-0.04
198007,0.04,0.03
198008,0.00,-0.01
198009,0.00,-0.13
198010,0.11,-0.25
198011,0.04,-0.62
198012,0.24,-0.85
198101,1.40,-0.13
198102,0.84,-0.66
198103,2.00,0.64
198104,0.78,0.14
198105,0.22,-0.06
198106,0.00,-0.04
198107,0.00,-0.01
198108,0.00,-0.01
198109,0.00,-0.13
198110,0.64,0.28
198111,1.01,0.35
198112,0.22,-0.87
198201,1.05,-0.48
198202,0.50,-1.00
198203,3.02,1.66
198204,1.83,1.19
198205,0.02,-0.26
198206,0.21,0.17
198207,0.02,0.01
198208,0.00,-0.01
198209,0.73,0.60
198210,0.81,0.45
198211,1.84,1.18
198212,0.78,-0.31
198301,3.35,1.82
198302,2.34,0.84
198303,3.32,1.96
198304,1.11,0.47
198305,0.10,-0.18
198306,0.00,-0.04
198307,0.00,-0.01
198308,0.10,0.09
198309,0.76,0.63
198310,0.43,0.07
198311,1.06,0.40
198312,1.60,0.51
198401,0.10,-1.43
198402,0.35,-1.15
198403,0.15,-1.21
198404,0.22,-0.42
198405,0.00,-0.28
198406,0.02,-0.02
198407,0.03,0.02
198408,0.01,0.00
198409,0.00,-0.13
198410,0.50,0.14
198411,1.55,0.89
198412,1.67,0.58
198501,0.57,-0.96
198502,0.24,-1.26
198503,0.79,-0.57
198504,0.08,-0.56
198505,0.01,-0.27
198506,0.04,0.00
198507,0.00,-0.01
198508,0.01,0.00
198509,0.14,0.01
198510,0.49,0.13
198511,1.97,1.31
198512,0.68,-0.41
198601,1.46,-0.07
198602,2.28,0.78
198603,2.19,0.83
198604,0.48,-0.16
198605,0.01,-0.27
198606,0.00,-0.04
198607,0.04,0.03
198608,0.00,-0.01
198609,0.18,0.05
198610,0.00,-0.36
198611,0.34,-0.32
198612,0.64,-0.45
198701,1.72,0.19
198702,1.38,-0.12
198703,1.87,0.51
198704,0.13,-0.51
198705,0.08,-0.20
198706,0.13,0.09
198707,0.00,-0.01
198708,0.00,-0.01
198709,0.00,-0.13
198710,0.83,0.47
198711,0.78,0.12
198712,1.53,0.44
198801,1.37,-0.16
198802,1.11,-0.39
198803,0.36,-1.00
198804,1.66,1.02
198805,0.17,-0.11
198806,0.03,-0.01
198807,0.00,-0.01
198808,0.00,-0.01
198809,0.00,-0.13
198810,0.00,-0.36
198811,0.68,0.02
198812,2.04,0.95
198901,0.20,-1.33
198902,1.01,-0.49
198903,0.87,-0.49
198904,0.04,-0.60
198905,0.27,-0.01
198906,0.00,-0.04
198907,0.00,-0.01
198908,0.01,0.00
198909,0.63,0.50
198910,0.14,-0.22
198911,0.13,-0.53
198912,0.01,-1.08
199001,1.62,0.09
199002,0.84,-0.66
199003,0.22,-1.14
199004,0.47,-0.17
199005,0.85,0.57
199006,0.00,-0.04
199007,0.00,-0.01
199008,0.00,-0.01
199009,0.12,-0.01
199010,0.02,-0.34
199011,0.17,-0.49
199012,0.24,-0.85
199101,0.52,-1.01
199102,0.87,-0.63
199103,5.84,4.48
199104,0.19,-0.45
199105,0.01,-0.27
199106,0.02,-0.02
199107,0.00,-0.01
199108,0.00,-0.01
199109,0.03,-0.10
199110,0.36,0.00
199111,0.09,-0.57
199112,1.60,0.51
199201,1.34,-0.19
199202,3.71,2.21
199203,1.28,-0.08
199204,0.04,-0.60
199205,0.00,-0.28
199206,0.00,-0.04
199207,0.02,0.01
199208,0.00,-0.01
199209,0.00,-0.13
199210,0.93,0.57
199211,0.00,-0.66
199212,2.19,1.10
199301,3.85,2.32
199302,2.80,1.30
199303,1.79,0.43
199304,0.04,-0.60
199305,0.17,-0.11
199306,0.18,0.14
199307,0.00,-0.01
199308,0.00,-0.01
