Sacramento County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195310,0.42,-0.49
195311,1.91,-0.20
195312,0.97,-1.98
195401,3.01,-0.89
195402,2.98,-0.51
195403,3.63,0.82
195404,1.83,0.41
195405,0.27,-0.41
195406,0.22,0.05
195407,0.00,-0.01
195408,0.12,0.10
195409,0.00,-0.22
195410,0.03,-0.88
195411,2.65,0.54
195412,4.95,2.00
195501,3.43,-0.47
195502,1.58,-1.91
195503,0.40,-2.41
195504,2.47,1.05
195505,0.58,-0.10
195506,0.00,-0.17
195507,0.00,-0.01
195508,0.00,-0.02
195509,0.57,0.35
195510,0.39,-0.52
195511,1.49,-0.62
195512,10.94,7.99
195601,6.70,2.80
195602,2.19,-1.30
195603,0.11,-2.70
195604,1.72,0.30
195605,1.32,0.64
195606,0.01,-0.16
195607,0.00,-0.01
195608,0.00,-0.02
195609,0.62,0.40
195610,1.47,0.56
195611,0.04,-2.07
195612,0.43,-2.52
195701,2.47,-1.43
195702,3.60,0.11
195703,2.72,-0.09
195704,1.65,0.23
195705,2.28,1.60
195706,0.08,-0.09
195707,0.00,-0.01
195708,0.00,-0.02
195709,0.62,0.40
195710,1.39,0.48
195711,0.65,-1.46
195712,2.97,0.02
195801,4.73,0.83
195802,7.24,3.75
195803,5.94,3.13
195804,4.72,3.30
195805,0.78,0.10
195806,0.44,0.27
195807,0.01,0.00
195808,0.03,0.01
195809,0.17,-0.05
195810,0.20,-0.71
195811,0.23,-1.88
195812,0.80,-2.15
195901,4.73,0.83
195902,4.41,0.92
195903,0.65,-2.16
195904,0.98,-0.44
195905,0.04,-0.64
195906,0.00,-0.17
195907,0.00,-0.01
195908,0.02,0.00
195909,1.30,1.08
195910,0.00,-0.91
195911,0.00,-2.11
195912,1.16,-1.79
196001,3.68,-0.22
196002,3.82,0.33
196003,2.02,-0.79
196004,1.33,-0.09
196005,0.48,-0.20
196006,0.00,-0.17
196007,0.01,0.00
196008,0.00,-0.02
196009,0.04,-0.18
196010,0.08,-0.83
196011,3.91,1.80
196012,1.03,-1.92
196101,2.65,-1.25
196102,1.30,-2.19
196103,2.64,-0.17
196104,0.90,-0.52
196105,0.43,-0.25
196106,0.03,-0.14
196107,0.01,0.00
196108,0.05,0.03
196109,0.17,-0.05
196110,0.15,-0.76
196111,2.53,0.42
196112,1.65,-1.30
196201,1.33,-2.57
196202,8.10,4.61
196203,2.07,-0.74
196204,0.46,-0.96
196205,0.22,-0.46
196206,0.00,-0.17
196207,0.04,0.03
196208,0.08,0.06
196209,0.03,-0.19
196210,4.73,3.82
196211,0.55,-1.56
196212,2.07,-0.88
196301,3.12,-0.78
196302,3.02,-0.47
196303,3.72,0.91
196304,4.20,2.78
196305,0.89,0.21
196306,0.06,-0.11
196307,0.00,-0.01
196308,0.00,-0.02
196309,0.26,0.04
196310,1.58,0.67
196311,4.51,2.40
196312,0.37,-2.58
196401,3.51,-0.39
196402,0.32,-3.17
196403,1.34,-1.47
196404,0.35,-1.07
196405,0.69,0.01
196406,0.54,0.37
196407,0.02,0.01
196408,0.10,0.08
196409,0.02,-0.20
196410,1.57,0.66
196411,3.09,0.98
196412,6.88,3.93
196501,3.45,-0.45
196502,0.67,-2.82
196503,1.51,-1.30
196504,3.10,1.68
196505,0.05,-0.63
196506,0.01,-0.16
196507,0.01,0.00
196508,0.21,0.19
196509,0.01,-0.21
196510,0.18,-0.73
196511,3.70,1.59
196512,3.13,0.18
196601,2.11,-1.79
196602,1.75,-1.74
196603,0.37,-2.44
196604,0.58,-0.84
196605,0.26,-0.42
196606,0.03,-0.14
196607,0.08,0.07
196608,0.01,-0.01
196609,0.05,-0.17
196610,0.00,-0.91
196611,5.23,3.12
196612,3.43,0.48
196701,7.45,3.55
196702,0.53,-2.96
196703,4.01,1.20
196704,4.26,2.84
196705,0.24,-0.44
196706,0.65,0.48
196707,0.01,0.00
196708,0.01,-0.01
196709,0.04,-0.18
196710,0.42,-0.49
196711,1.57,-0.54
196712,1.50,-1.45
196801,3.81,-0.09
196802,2.38,-1.11
196803,2.40,-0.41
196804,0.39,-1.03
196805,0.39,-0.29
196806,0.10,-0.07
196807,0.01,0.00
196808,0.13,0.11
196809,0.01,-0.21
196810,0.69,-0.22
196811,3.14,1.03
196812,3.41,0.46
196901,9.06,5.16
196902,6.49,3.00
196903,1.41,-1.40
196904,1.76,0.34
196905,0.04,-0.64
196906,0.13,-0.04
196907,0.01,0.00
196908,0.00,-0.02
196909,0.06,-0.16
196910,1.08,0.17
196911,1.12,-0.99
196912,4.59,1.64
197001,7.46,3.56
197002,1.56,-1.93
197003,1.88,-0.93
197004,0.42,-1.00
197005,0.01,-0.67
197006,0.37,0.20
197007,0.00,-0.01
197008,0.00,-0.02
197009,0.03,-0.19
197010,0.91,0.00
197011,6.70,4.59
197012,4.57,1.62
197101,1.23,-2.67
197102,0.42,-3.07
197103,2.51,-0.30
197104,0.70,-0.72
197105,0.99,0.31
197106,0.10,-0.07
197107,0.00,-0.01
197108,0.00,-0.02
197109,0.11,-0.11
197110,0.29,-0.62
197111,1.34,-0.77
197112,4.44,1.49
197201,0.97,-2.93
197202,1.64,-1.85
197203,0.37,-2.44
197204,1.48,0.06
197205,0.27,-0.41
197206,0.18,0.01
197207,0.00,-0.01
197208,0.00,-0.02
197209,0.87,0.65
197210,1.49,0.58
197211,4.91,2.80
197212,2.22,-0.73
197301,7.85,3.95
197302,5.61,2.12
197303,3.05,0.24
197304,0.36,-1.06
197305,0.10,-0.58
197306,0.01,-0.16
197307,0.00,-0.01
197308,0.00,-0.02
197309,0.28,0.06
197310,1.85,0.94
197311,5.88,3.77
197312,4.05,1.10
197401,3.39,-0.51
197402,1.21,-2.28
197403,4.04,1.23
197404,1.85,0.43
197405,0.01,-0.67
197406,0.41,0.24
197407,0.10,0.09
197408,0.01,-0.01
197409,0.00,-0.22
197410,1.23,0.32
197411,1.07,-1.04
197412,2.41,-0.54
197501,1.14,-2.76
197502,5.54,2.05
197503,4.67,1.86
197504,1.41,-0.01
197505,0.05,-0.63
197506,0.04,-0.13
197507,0.07,0.06
197508,0.19,0.17
197509,0.01,-0.21
197510,2.44,1.53
197511,0.60,-1.51
197512,0.49,-2.46
197601,0.32,-3.58
197602,1.45,-2.04
197603,0.93,-1.88
197604,1.28,-0.14
197605,0.01,-0.67
197606,0.06,-0.11
197607,0.00,-0.01
197608,0.21,0.19
197609,0.56,0.34
197610,0.11,-0.80
197611,0.75,-1.36
197612,0.56,-2.39
197701,1.27,-2.63
197702,1.16,-2.33
197703,1.34,-1.47
197704,0.21,-1.21
197705,1.28,0.60
197706,0.00,-0.17
197707,0.03,0.02
197708,0.01,-0.01
197709,0.46,0.24
197710,0.22,-0.69
197711,2.02,-0.09
197712,3.94,0.99
197801,8.61,4.71
197802,3.67,0.18
197803,4.63,1.82
197804,3.05,1.63
197805,0.03,-0.65
197806,0.04,-0.13
197807,0.00,-0.01
197808,0.00,-0.02
197809,0.54,0.32
197810,0.01,-0.90
197811,3.00,0.89
197812,0.86,-2.09
197901,5.62,1.72
197902,4.89,1.40
197903,2.67,-0.14
197904,1.04,-0.38
197905,0.21,-0.47
197906,0.00,-0.17
197907,0.09,0.08
197908,0.01,-0.01
197909,0.01,-0.21
197910,1.85,0.94
197911,1.91,-0.20
197912,3.46,0.51
198001,5.75,1.85
198002,6.81,3.32
198003,2.27,-0.54
198004,1.16,-0.26
198005,0.52,-0.16
198006,0.04,-0.13
198007,0.10,0.09
198008,0.00,-0.02
198009,0.00,-0.22
198010,0.14,-0.77
198011,0.23,-1.88
198012,1.82,-1.13
198101,4.99,1.09
198102,1.04,-2.45
198103,3.84,1.03
198104,0.80,-0.62
198105,0.46,-0.22
198106,0.00,-0.17
198107,0.00,-0.01
198108,0.00,-0.02
198109,0.22,0.00
198110,2.24,1.33
198111,6.13,4.02
198112,3.66,0.71
198201,5.32,1.42
198202,3.04,-0.45
198203,6.76,3.95
198204,3.54,2.12
198205,0.01,-0.67
198206,0.23,0.06
198207,0.01,0.00
198208,0.00,-0.02
198209,1.30,1.08
198210,2.89,1.98
198211,6.04,3.93
198212,3.42,0.47
198301,5.96,2.06
198302,5.64,2.15
198303,8.09,5.28
198304,4.18,2.76
198305,0.47,-0.21
198306,0.17,0.00
198307,0.00,-0.01
198308,0.08,0.06
198309,0.71,0.49
198310,0.68,-0.23
198311,6.50,4.39
198312,5.94,2.99
198401,0.29,-3.61
198402,1.84,-1.65
198403,1.50,-1.31
198404,0.63,-0.79
198405,0.07,-0.61
198406,0.19,0.02
198407,0.02,0.01
198408,0.07,0.05
198409,0.07,-0.15
198410,1.84,0.93
198411,5.33,3.22
198412,1.57,-1.38
198501,0.84,-3.06
198502,1.74,-1.75
198503,2.86,0.05
198504,0.11,-1.31
198505,0.01,-0.67
198506,0.21,0.04
198507,0.00,-0.01
198508,0.04,0.02
198509,0.56,0.34
198510,0.80,-0.11
198511,4.27,2.16
198512,2.57,-0.38
198601,3.64,-0.26
198602,9.37,5.88
198603,4.34,1.53
198604,1.14,-0.28
198605,0.22,-0.46
198606,0.00,-0.17
198607,0.01,0.00
198608,0.00,-0.02
198609,0.91,0.69
198610,0.18,-0.73
198611,0.24,-1.87
198612,0.98,-1.97
198701,2.52,-1.38
198702,3.73,0.24
198703,3.67,0.86
198704,0.23,-1.19
198705,0.15,-0.53
198706,0.00,-0.17
198707,0.00,-0.01
198708,0.00,-0.02
198709,0.00,-0.22
198710,0.91,0.00
198711,2.45,0.34
198712,3.44,0.49
198801,3.24,-0.66
198802,0.66,-2.83
198803,0.34,-2.47
198804,2.30,0.88
198805,0.74,0.06
198806,0.29,0.12
198807,0.01,0.00
198808,0.00,-0.02
198809,0.02,-0.20
198810,0.12,-0.79
198811,2.39,0.28
198812,2.77,-0.18
198901,0.84,-3.06
198902,1.42,-2.07
198903,6.04,3.23
198904,0.41,-1.01
198905,0.10,-0.58
198906,0.37,0.20
198907,0.00,-0.01
198908,0.16,0.14
198909,1.35,1.13
198910,1.86,0.95
198911,1.45,-0.66
198912,0.00,-2.95
199001,3.89,-0.01
199002,2.83,-0.66
199003,1.13,-1.68
199004,0.80,-0.62
199005,2.75,2.07
199006,0.00,-0.17
199007,0.01,0.00
199008,0.00,-0.02
199009,0.01,-0.21
199010,0.25,-0.66
199011,0.67,-1.44
199012,1.37,-1.58
199101,0.41,-3.49
199102,2.67,-0.82
199103,7.81,5.00
199104,0.44,-0.98
199105,0.43,-0.25
199106,0.39,0.22
199107,0.02,0.01
199108,0.11,0.09
199109,0.02,-0.20
199110,1.70,0.79
199111,0.47,-1.64
199112,1.82,-1.13
199201,1.62,-2.28
199202,6.42,2.93
199203,2.75,-0.06
199204,1.09,-0.33
199205,0.00,-0.68
199206,0.30,0.13
199207,0.01,0.00
199208,0.00,-0.02
199209,0.00,-0.22
199210,1.37,0.46
199211,0.32,-1.79
199212,5.66,2.71
199301,8.52,4.62
199302,5.39,1.90
199303,2.85,0.04
199304,0.75,-0.67
199305,1.30,0.62
199306,0.85,0.68
199307,0.00,-0.01
199308,0.00,-0.02
199309,0.00,-0.22
